LSOA21CD,Index of Multiple Deprivation (IMD) Score_weighted
E01000001,6.207999986348933
E01000002,5.143048582416267
E01000003,19.401951434179907
E01000005,28.651999758928433
E01000006,19.837000000014232
E01000007,31.576008995235178
E01000008,37.59599184480818
E01000009,32.84399603392321
E01000011,30.679000407314387
E01000012,34.71400210687706
E01000013,38.997000000034014
E01000014,35.67000000002812
E01000015,33.632000000008986
E01000016,32.83899999999515
E01000017,39.00400000002749
E01000018,33.40599999999434
E01000019,33.62000000004266
E01000020,36.035000000005816
E01000021,38.8879997873878
E01000022,34.413000000018194
E01000024,29.33900000003319
E01000025,36.702000419487966
E01000027,37.34700000002873
E01000028,40.07800000000995
E01000029,22.503000000031335
E01000030,38.41499999999257
E01000031,22.672000000018112
E01000032,29.958000000001
E01000033,37.977999999964055
E01000034,35.895000000042
E01000035,26.175000000003656
E01000036,19.27000000000771
E01000037,17.987999999997484
E01000038,19.64599999999158
E01000039,22.287999997156483
E01000040,34.60800000000341
E01000041,33.172999999975985
E01000042,41.573000009666046
E01000043,28.07500000001481
E01000044,28.38900001888485
E01000045,35.688000000043516
E01000046,29.76300000002345
E01000049,41.1719821161806
E01000050,34.700999999995666
E01000051,36.940999999970394
E01000052,33.28399999999158
E01000053,40.04400000000889
E01000054,29.787999999994465
E01000055,30.8980000000098
E01000056,35.90300000002831
E01000057,32.88700000002245
E01000058,31.76300000000169
E01000059,32.331000000039126
E01000060,36.154000000020076
E01000061,46.28300000001739
E01000062,26.669000000019025
E01000063,33.37099999999747
E01000064,35.283000000022
E01000065,39.89000000001325
E01000066,25.76299998307101
E01000067,20.973000000012604
E01000068,25.60300000002263
E01000069,16.374998666448672
E01000070,21.03799999183232
E01000071,18.84800133211066
E01000072,41.01600000003237
E01000073,38.75700003904774
E01000074,35.04400000002069
E01000075,36.99900000004309
E01000076,36.246000000028175
E01000077,41.03199999999236
E01000078,35.03300000002546
E01000079,34.52200000002802
E01000080,33.18500000002722
E01000081,30.608000000025523
E01000082,27.895000000003098
E01000083,34.377000000003385
E01000084,39.81500000001717
E01000085,35.15399999999789
E01000086,38.15600000002673
E01000087,34.35700000000282
E01000088,28.848999999984727
E01000089,28.967999999973348
E01000090,28.31699829561259
E01000091,42.182996781691905
E01000093,46.92199993964636
E01000094,28.1819990253165
E01000095,32.25399895236849
E01000096,40.92600000002074
E01000097,38.00899991250072
E01000098,39.40499999998414
E01000099,29.26599999932451
E01000100,31.829997528104602
E01000101,40.46300200924665
E01000102,42.63099999998852
E01000103,32.894000000030864
E01000104,34.67199999998715
E01000105,44.149000000001614
E01000106,43.52300000003035
E01000107,28.331999975073607
E01000108,28.166000000013586
E01000110,17.741000000004348
E01000111,28.903000215324877
E01000112,24.743000318168406
E01000113,25.267999999983914
E01000114,23.28799923287217
E01000115,6.22700000001342
E01000116,7.79000000000316
E01000117,9.642000000000827
E01000118,9.812000000006073
E01000119,11.589000018329424
E01000120,5.901999979990341
E01000121,36.20300000000516
E01000122,10.152000000004742
E01000123,11.048000000016764
E01000124,23.58899999999864
E01000126,33.62522052946554
E01000127,27.543000000028194
E01000128,27.054986760797348
E01000129,31.000000106667233
E01000130,30.862792604882618
E01000131,20.903999837691345
E01000132,25.530000000006616
E01000133,30.773999999979047
E01000134,24.669000000003688
E01000135,12.523000489958719
E01000136,8.960000050717374
E01000137,28.78600000000422
E01000138,27.860000000017752
E01000139,12.388000221454138
E01000140,16.816999491933384
E01000141,28.797000025278912
E01000142,16.66899866717021
E01000143,31.34200115154623
E01000144,18.33800001411254
E01000145,14.626000000003843
E01000146,18.537999963478086
E01000147,12.785998429063683
E01000150,15.583000034542971
E01000151,38.89699988861886
E01000152,32.41800105376856
E01000153,41.6489993512942
E01000154,32.66701008882921
E01000156,8.319000000013856
E01000157,12.654999999992283
E01000158,19.721000000010456
E01000159,16.257000000008375
E01000160,12.121000000024063
E01000161,14.513000000016632
E01000162,18.503999999983094
E01000163,28.540999999980063
E01000164,25.33100000002537
E01000165,13.25800000000509
E01000166,14.860999999997832
E01000167,28.349999999999678
E01000168,6.975000000007872
E01000169,13.225999999999688
E01000170,20.383999999993726
E01000171,24.2610000125194
E01000172,8.42100003720291
E01000173,9.709000000010926
E01000174,16.27099997458895
E01000175,7.614000027008873
E01000176,30.549000000010658
E01000177,8.263000000022446
E01000178,8.05500000001653
E01000179,8.467000000007397
E01000180,14.555000000009455
E01000181,8.204000000004434
E01000182,8.009999999998104
E01000183,10.612999935674244
E01000184,31.921000004723467
E01000185,25.823999999975726
E01000186,5.195000000004182
E01000187,13.015000000010353
E01000188,8.028044669541023
E01000189,24.52595533132268
E01000190,10.149000000011823
E01000191,6.834000000002889
E01000192,15.471999960260607
E01000193,16.116999886352573
E01000194,19.39200019644326
E01000195,26.998999893570723
E01000196,12.283996720367124
E01000197,12.51600327277214
E01000198,11.84099999999574
E01000199,7.222000000002625
E01000200,9.566000000000525
E01000201,7.184000000010885
E01000202,6.73500000000287
E01000203,15.522999999993944
E01000204,10.063000006882847
E01000205,7.725000000001625
E01000206,9.118000000007743
E01000207,6.585000000004062
E01000208,6.6120000643444845
E01000209,7.05800000000467
E01000210,8.197000000012023
E01000211,14.568000000010391
E01000212,10.294000000010982
E01000213,7.583000000000582
E01000214,10.502999989850114
E01000215,13.565000000001296
E01000216,10.017000000006407
E01000217,10.825999999998501
E01000218,15.329999999993348
E01000219,19.86999992502102
E01000220,17.109000075000825
E01000221,45.842000342019546
E01000222,27.09799630104118
E01000223,35.811999838618306
E01000224,19.679003523362745
E01000225,10.981000000004189
E01000226,31.657999999979143
E01000227,9.965000000014447
E01000228,12.492000000015395
E01000229,21.609000106395914
E01000230,7.886000000017132
E01000231,17.62799999999557
E01000232,14.534000000012899
E01000233,8.85300000001285
E01000234,8.657000000010722
E01000235,23.34700000000856
E01000236,10.57199999999971
E01000237,9.545000004905994
E01000238,14.457000000012831
E01000239,21.568000015792677
E01000240,19.599000000000164
E01000241,10.70600000000654
E01000242,19.153999999998504
E01000243,14.09300000002111
E01000244,15.648999999995075
E01000245,24.115999999981245
E01000246,10.621000000018377
E01000247,10.138000000004249
E01000248,7.295989256722752
E01000249,5.862999994897611
E01000250,13.030010744832957
E01000251,18.85299977511953
E01000252,13.376000187008794
E01000253,9.449000002091879
E01000254,7.764000000006571
E01000255,18.728999933917695
E01000256,10.628000000002126
E01000257,25.000999357114686
E01000258,9.155999911157073
E01000259,13.363999980079381
E01000260,19.849999941095444
E01000261,7.627999984719409
E01000263,5.865000000000624
E01000264,16.48200000000729
E01000265,15.103000000002991
E01000266,8.023000024445839
E01000267,12.749999998135252
E01000268,15.262000210971525
E01000269,10.433999999999225
E01000270,11.979999814391801
E01000271,6.648000000002616
E01000272,4.839000000284386
E01000273,14.148000030415355
E01000274,15.582000000008641
E01000275,13.504000000014337
E01000276,4.061000000006831
E01000277,18.229999999987296
E01000278,5.525000000002451
E01000279,8.956000000029167
E01000280,3.958000000005673
E01000281,10.93299933807848
E01000282,8.581999963547853
E01000283,4.647000000006499
E01000284,15.477000667980189
E01000285,15.13399999999936
E01000286,23.897000000387553
E01000287,22.722999999985692
E01000288,13.041000000007875
E01000289,38.32999999998082
E01000290,19.93700000262505
E01000291,32.93599999998049
E01000292,11.314999997402014
E01000293,7.608000001040658
E01000294,12.24200000000676
E01000295,13.305999999994905
E01000296,12.110000000010782
E01000297,9.009000000009406
E01000298,11.827000000001258
