LSOA11CD,LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Children and Young People Sub-domain Score,Adult Skills Sub-domain Score,Geographical Barriers Sub-domain Score,Wider Barriers Sub-domain Score,Indoors Sub-domain Score,Outdoors Sub-domain Score
E01001152,Croydon 005D,E09000008,Croydon,37.166,0.225,0.14,18.303,0.455,0.949,37.311,47.465,0.269,0.308,0.108,0.31,-2.246,5.121,0.871,1.368
E01001153,Croydon 006D,E09000008,Croydon,22.665,0.139,0.093,18.453,-0.391,0.551,31.095,32.189,0.192,0.147,0.298,0.28,-0.455,3.88,0.404,0.986
E01001154,Croydon 006E,E09000008,Croydon,28.926,0.161,0.099,22.01,-0.431,0.869,36.731,46.246,0.215,0.153,0.157,0.345,-1.108,4.955,0.767,1.48
E01001155,Croydon 010E,E09000008,Croydon,43.809,0.281,0.167,23.794,0.927,0.847,46.115,30.417,0.27,0.491,0.252,0.35,-1.325,6.309,-0.044,1.438
E01001156,Croydon 001C,E09000008,Croydon,26.234,0.174,0.098,16.509,0.558,-0.034,39.414,21.362,0.199,0.299,0.377,0.231,0.122,4.178,-0.341,0.99
E01001157,Croydon 002B,E09000008,Croydon,18.181,0.115,0.072,10.15,-0.471,0.78,27.594,25.631,0.158,0.174,-0.587,0.286,-0.518,3.364,0.168,0.761
E01001158,Croydon 005E,E09000008,Croydon,20.443,0.127,0.081,15.799,-0.181,0.014,33.638,31.246,0.187,0.127,0.273,0.244,-0.302,4.057,0.356,0.981
E01001159,Croydon 002C,E09000008,Croydon,14.456,0.093,0.053,6.753,-0.687,0.186,35.731,21.627,0.127,0.127,-0.436,0.213,0.197,3.458,-0.163,0.836
E01001160,Croydon 002D,E09000008,Croydon,13.743,0.107,0.064,11.653,-0.545,0.075,23.336,19.009,0.11,0.152,-0.273,0.276,-0.9,2.937,-0.311,0.745
E01001161,Croydon 003D,E09000008,Croydon,42.566,0.293,0.19,34.035,0.662,0.506,41.19,18.853,0.33,0.47,0.522,0.413,-0.346,5.018,-0.534,0.917
E01001162,Croydon 001D,E09000008,Croydon,28.352,0.171,0.127,16.265,0.048,0.629,37.681,28.83,0.204,0.211,0.204,0.266,0.029,4.116,0.219,0.978
E01001163,Croydon 002E,E09000008,Croydon,16.31,0.09,0.068,7.185,-0.625,0.43,25.545,38.527,0.149,0.11,-0.41,0.219,-0.822,3.294,0.658,1.064
E01001164,Croydon 001E,E09000008,Croydon,20.492,0.133,0.087,8.536,-0.419,0.415,33.903,30.175,0.231,0.194,-0.148,0.198,-0.404,4.212,0.27,1.017
E01001165,Croydon 024C,E09000008,Croydon,24.16,0.125,0.095,14.689,-0.17,0.783,33.91,36.338,0.169,0.172,0.055,0.271,0.005,3.6,0.556,1.074
E01001166,Croydon 024D,E09000008,Croydon,32.149,0.201,0.108,19.834,0.777,0.209,43.367,31.227,0.296,0.307,0.325,0.293,-0.23,5.155,0.371,0.958
E01001167,Croydon 028A,E09000008,Croydon,21.834,0.131,0.08,11.225,-0.061,0.43,35.614,32.091,0.187,0.167,-0.712,0.309,0.158,3.538,0.09,1.417
E01001168,Croydon 024E,E09000008,Croydon,21.176,0.099,0.061,13.242,0.087,0.546,33.707,42.319,0.133,0.125,0.033,0.251,0.015,3.544,0.752,1.207
E01001169,Croydon 028B,E09000008,Croydon,32.702,0.214,0.14,29.027,0.594,0.056,37.639,24.03,0.251,0.283,0.343,0.39,-0.458,4.734,0.107,0.7
E01001170,Croydon 027E,E09000008,Croydon,27.089,0.147,0.113,8.827,0.436,0.574,32.654,41.051,0.167,0.199,-0.428,0.251,-0.868,4.41,0.719,1.165
E01001171,Croydon 028C,E09000008,Croydon,24.566,0.152,0.114,18.315,-0.069,-0.245,41.922,20.23,0.208,0.18,0.268,0.284,-0.168,4.923,-0.192,0.734
E01001172,Croydon 028D,E09000008,Croydon,43.062,0.289,0.183,40.156,0.614,0.517,42.705,20.461,0.351,0.352,0.64,0.45,-0.172,5.013,-0.131,0.678
E01001173,Croydon 028E,E09000008,Croydon,19.768,0.13,0.085,10.557,-0.012,0.005,37.138,17.055,0.19,0.158,-0.172,0.244,0.095,3.929,-0.568,0.775
E01001174,Croydon 011A,E09000008,Croydon,22.452,0.153,0.087,18.196,-0.493,0.819,30.008,24.596,0.161,0.22,0.074,0.314,-0.416,3.668,0.0,0.908
E01001175,Croydon 011B,E09000008,Croydon,30.599,0.171,0.134,11.75,0.334,0.898,35.174,36.144,0.182,0.203,-0.474,0.298,-0.944,4.745,0.304,1.457
E01001176,Croydon 011C,E09000008,Croydon,22.748,0.129,0.079,12.329,-0.476,0.86,37.202,32.146,0.132,0.186,-0.447,0.303,-0.623,4.807,0.219,1.261
E01001177,Croydon 016C,E09000008,Croydon,31.6,0.192,0.141,16.347,0.341,0.555,39.33,31.371,0.21,0.239,-0.168,0.324,-0.472,4.927,0.432,0.864
E01001178,Croydon 015D,E09000008,Croydon,58.173,0.419,0.219,32.458,1.296,0.503,47.333,32.465,0.572,0.538,0.802,0.35,-0.561,6.083,0.238,1.262
E01001179,Croydon 016D,E09000008,Croydon,20.706,0.129,0.067,13.224,-0.515,0.517,28.984,43.81,0.147,0.172,-0.507,0.319,-1.158,4.025,0.803,1.217
E01001180,Croydon 016E,E09000008,Croydon,27.841,0.169,0.088,14.589,-0.251,0.788,34.982,50.916,0.195,0.244,-0.383,0.324,-1.543,4.835,1.119,1.063
E01001181,Croydon 015E,E09000008,Croydon,42.449,0.25,0.155,20.034,0.595,1.0,46.141,46.81,0.262,0.413,0.129,0.328,-1.096,6.244,0.81,1.434
E01001182,Croydon 011D,E09000008,Croydon,21.65,0.128,0.078,14.168,-0.244,0.705,31.055,33.851,0.174,0.145,-0.126,0.292,-0.965,4.238,0.241,1.368
E01001183,Croydon 011E,E09000008,Croydon,24.133,0.148,0.099,16.692,-0.389,0.599,36.72,28.592,0.166,0.244,0.026,0.302,-1.614,5.027,-0.122,1.383
E01001184,Croydon 011F,E09000008,Croydon,16.909,0.103,0.067,10.378,-0.327,0.531,27.477,27.475,0.137,0.148,-0.743,0.3,-0.676,3.524,0.18,0.913
E01001185,Croydon 014B,E09000008,Croydon,19.985,0.124,0.08,17.057,-0.141,0.156,32.225,26.714,0.19,0.166,0.013,0.309,-0.561,4.132,0.173,0.858
E01001186,Croydon 014C,E09000008,Croydon,29.074,0.186,0.136,17.502,0.32,0.213,37.395,26.57,0.204,0.262,0.285,0.269,-0.998,4.996,0.222,0.76
E01001187,Croydon 017E,E09000008,Croydon,20.607,0.124,0.09,14.263,-0.362,-0.008,32.194,35.963,0.146,0.182,-0.126,0.293,-1.034,4.423,0.75,0.628
E01001188,Croydon 014D,E09000008,Croydon,28.153,0.178,0.114,17.762,-0.008,0.853,33.772,31.23,0.257,0.213,-0.032,0.324,-1.086,4.632,0.409,0.892
E01001189,Croydon 045B,E09000008,Croydon,17.717,0.101,0.098,12.54,-0.397,0.357,25.922,22.189,0.128,0.092,-0.178,0.276,-0.587,3.138,-0.147,0.868
E01001190,Croydon 045C,E09000008,Croydon,27.441,0.175,0.113,13.533,0.236,0.239,35.996,37.229,0.256,0.214,-0.046,0.271,0.151,3.616,0.787,0.655
E01001191,Croydon 008D,E09000008,Croydon,34.93,0.219,0.132,14.11,0.247,0.792,38.807,48.831,0.313,0.261,-0.126,0.291,-1.609,5.279,1.039,1.097
E01001192,Croydon 008E,E09000008,Croydon,27.765,0.167,0.114,17.187,0.168,0.778,36.49,26.158,0.181,0.272,0.284,0.264,-1.12,4.937,0.161,0.825
E01001193,Croydon 014E,E09000008,Croydon,34.356,0.232,0.169,26.507,0.295,0.068,43.109,14.404,0.291,0.235,0.515,0.34,-0.301,5.209,-1.132,0.796
E01001194,Croydon 045D,E09000008,Croydon,18.25,0.111,0.068,16.904,-0.374,0.763,23.569,27.808,0.174,0.145,0.203,0.276,-1.207,3.129,0.261,0.818
E01001195,Ealing 021A,E09000009,Ealing,13.986,0.085,0.033,10.441,-0.865,0.284,36.978,23.333,0.113,0.14,-0.263,0.256,0.036,4.014,-0.146,0.974
E01001196,Ealing 015A,E09000009,Ealing,38.041,0.245,0.175,15.316,0.65,0.373,38.541,40.473,0.326,0.275,-0.044,0.295,-0.826,5.058,0.449,1.593
E01001197,Ealing 021B,E09000009,Ealing,22.602,0.131,0.11,7.279,-0.014,0.36,33.653,30.943,0.107,0.223,-0.596,0.243,-0.744,4.474,0.135,1.28
E01001198,Ealing 021C,E09000009,Ealing,14.822,0.072,0.068,2.203,-0.421,0.322,29.625,32.964,0.087,0.116,-1.173,0.177,-0.845,3.992,0.196,1.353
E01001199,Ealing 021D,E09000009,Ealing,22.254,0.178,0.105,11.745,-0.048,-0.122,31.141,22.304,0.266,0.264,0.057,0.219,-1.567,4.38,-0.505,1.201
E01001200,Ealing 025A,E09000009,Ealing,15.981,0.085,0.072,3.514,-0.128,0.332,29.254,29.299,0.099,0.123,-0.8,0.182,-0.561,3.723,0.081,1.213
E01001201,Ealing 025B,E09000009,Ealing,17.646,0.112,0.077,7.488,-0.557,0.237,29.408,34.545,0.155,0.202,-0.207,0.184,-0.689,3.859,0.444,1.126
E01001202,Ealing 025C,E09000009,Ealing,33.786,0.207,0.138,11.356,0.087,1.16,38.443,38.75,0.229,0.353,-0.266,0.271,-1.813,5.243,0.206,1.777
E01001203,Ealing 025D,E09000009,Ealing,32.757,0.222,0.15,10.312,0.394,0.23,37.315,39.622,0.234,0.418,-0.287,0.257,-1.396,5.075,0.412,1.578
E01001204,Ealing 018A,E09000009,Ealing,13.681,0.114,0.069,2.248,-0.596,-0.435,28.414,23.044,0.174,0.128,-1.073,0.169,-0.169,2.971,-0.372,1.163
E01001205,Ealing 018B,E09000009,Ealing,31.013,0.186,0.136,10.646,-0.28,0.487,53.57,25.289,0.179,0.241,-0.164,0.244,0.502,5.167,-0.108,1.098
E01001206,Ealing 018C,E09000009,Ealing,42.319,0.314,0.19,27.99,0.033,-0.287,55.874,18.46,0.374,0.393,0.275,0.389,0.305,5.944,-0.484,0.846
E01001207,Ealing 018D,E09000009,Ealing,16.207,0.095,0.066,3.76,-0.378,0.25,28.08,37.498,0.142,0.141,-0.66,0.167,-0.706,3.658,0.432,1.382
E01001208,Ealing 018E,E09000009,Ealing,11.841,0.065,0.052,1.458,-0.88,0.463,19.995,36.809,0.069,0.099,-1.076,0.119,-0.622,1.981,0.383,1.401
E01001209,Ealing 013A,E09000009,Ealing,7.107,0.045,0.037,0.767,-1.114,-0.166,18.771,30.227,0.038,0.092,-1.37,0.106,-1.909,2.284,0.172,1.167
E01001210,Ealing 016A,E09000009,Ealing,50.708,0.348,0.24,23.227,0.61,-0.066,58.909,25.254,0.392,0.398,0.007,0.376,0.404,6.147,-0.562,1.467
E01001211,Ealing 013B,E09000009,Ealing,10.395,0.08,0.055,0.744,-0.826,0.097,25.563,17.234,0.059,0.158,-1.598,0.132,-1.105,3.461,-1.057,1.03
E01001212,Ealing 018F,E09000009,Ealing,13.453,0.079,0.085,1.671,-0.388,-0.533,27.335,25.772,0.073,0.087,-1.089,0.142,-0.58,3.39,-0.096,1.126
E01001213,Ealing 023A,E09000009,Ealing,28.161,0.169,0.108,24.964,-0.054,0.519,38.603,31.374,0.21,0.296,0.082,0.384,-0.734,5.021,-0.022,1.496
E01001214,Ealing 023B,E09000009,Ealing,15.937,0.086,0.079,17.225,-0.537,-0.249,30.37,23.91,0.092,0.113,-0.077,0.323,-1.179,4.215,-0.347,1.216
E01001215,Ealing 023C,E09000009,Ealing,30.196,0.173,0.094,17.875,0.285,0.998,38.437,37.781,0.162,0.379,-0.5,0.369,-1.805,5.242,0.16,1.765
E01001216,Ealing 023D,E09000009,Ealing,22.184,0.117,0.071,15.428,-0.258,0.388,39.759,36.939,0.105,0.174,-0.237,0.32,-0.179,4.705,0.283,1.549
E01001217,Ealing 014A,E09000009,Ealing,16.083,0.113,0.063,13.12,-0.509,0.231,28.68,23.666,0.143,0.16,-0.859,0.338,-0.85,3.861,-0.039,0.871
E01001218,Ealing 012A,E09000009,Ealing,36.313,0.24,0.135,22.895,0.527,0.253,51.89,20.314,0.252,0.446,-0.184,0.393,0.222,5.547,-0.599,1.09
E01001219,Ealing 029A,E09000009,Ealing,36.023,0.243,0.159,25.18,0.16,-0.222,51.234,20.309,0.224,0.433,-0.667,0.445,-0.115,6.088,-0.38,0.936
E01001220,Ealing 029B,E09000009,Ealing,47.749,0.325,0.192,31.433,0.11,0.912,51.978,28.726,0.311,0.47,0.153,0.436,-0.047,6.081,-0.583,1.738
E01001221,Ealing 020A,E09000009,Ealing,24.068,0.135,0.069,14.256,-0.269,1.067,36.375,34.788,0.216,0.345,0.441,0.116,-0.368,4.508,0.146,1.563
E01001222,Ealing 019A,E09000009,Ealing,21.852,0.125,0.081,6.483,-0.313,0.19,36.123,46.085,0.154,0.271,-0.212,0.141,-1.069,4.888,0.641,1.693
E01001223,Ealing 020B,E09000009,Ealing,11.671,0.062,0.058,0.566,-0.564,-0.453,33.57,25.581,0.059,0.092,-1.613,0.114,-0.161,3.869,-0.01,1.009
E01001224,Ealing 019B,E09000009,Ealing,9.146,0.045,0.044,0.327,-0.858,-0.453,24.473,36.929,0.069,0.052,-1.827,0.1,-0.466,2.707,0.554,1.131
E01001225,Ealing 020C,E09000009,Ealing,21.713,0.109,0.075,2.265,-0.499,1.241,31.876,39.465,0.125,0.19,-0.798,0.107,-0.323,3.843,0.419,1.554
E01001226,Ealing 019C,E09000009,Ealing,13.363,0.078,0.058,1.939,-0.225,-0.61,36.113,23.364,0.08,0.132,-0.894,0.111,0.099,3.772,-0.327,1.156
E01001227,Ealing 019D,E09000009,Ealing,10.29,0.054,0.053,0.669,-0.926,-0.428,27.991,33.142,0.046,0.078,-1.524,0.116,-0.224,2.996,0.388,1.097
E01001228,Ealing 019E,E09000009,Ealing,11.398,0.076,0.043,2.026,-0.293,-0.632,35.171,18.531,0.099,0.156,-0.876,0.114,-0.046,3.903,-1.006,1.127
E01001229,Ealing 031A,E09000009,Ealing,30.226,0.198,0.136,19.319,0.186,0.483,37.531,26.773,0.208,0.318,0.313,0.289,-0.224,4.489,-0.017,1.121
E01001230,Ealing 031B,E09000009,Ealing,21.257,0.112,0.123,6.24,-0.515,-0.033,31.454,39.828,0.093,0.099,-0.249,0.148,-0.196,3.578,0.726,1.049
E01001231,Ealing 027A,E09000009,Ealing,13.847,0.058,0.031,2.267,-1.213,0.424,38.322,38.445,0.108,0.071,-0.876,0.137,0.316,3.609,0.343,1.59
E01001232,Ealing 031C,E09000009,Ealing,23.753,0.125,0.105,10.07,-0.178,0.363,45.993,21.127,0.106,0.196,-0.062,0.213,0.65,3.944,-1.061,1.357
E01001233,Ealing 031D,E09000009,Ealing,23.841,0.164,0.11,3.41,-0.12,0.935,29.49,26.932,0.17,0.333,-0.918,0.192,-1.677,4.162,-0.339,1.442
E01001234,Ealing 027B,E09000009,Ealing,22.923,0.103,0.059,5.093,-0.411,1.029,36.866,52.014,0.219,0.16,-0.364,0.13,-0.165,4.319,0.786,1.86
E01001235,Ealing 020D,E09000009,Ealing,14.225,0.078,0.051,7.143,-0.501,0.638,26.613,28.805,0.092,0.156,-0.105,0.1,-0.761,3.445,-0.702,1.805
E01001236,Ealing 020E,E09000009,Ealing,16.278,0.121,0.054,7.674,-0.409,-0.087,32.614,31.408,0.16,0.248,-0.063,0.11,-0.186,3.769,0.066,1.395
E01001237,Ealing 031E,E09000009,Ealing,17.023,0.062,0.041,1.512,-0.163,0.893,36.914,36.875,0.056,0.16,-1.047,0.117,0.265,3.495,0.431,1.337
E01001238,Ealing 015B,E09000009,Ealing,24.534,0.125,0.067,15.067,-0.562,-0.211,55.543,40.163,0.277,0.336,0.338,0.213,0.203,6.112,0.414,1.617
E01001239,Ealing 015C,E09000009,Ealing,32.662,0.206,0.134,16.446,0.145,-0.021,58.732,23.239,0.34,0.251,-0.231,0.331,0.736,5.307,-0.576,1.318
E01001240,Ealing 024A,E09000009,Ealing,20.451,0.133,0.067,14.097,-0.482,0.177,38.914,31.348,0.186,0.237,-0.094,0.286,-0.737,5.053,0.003,1.464
E01001241,Ealing 024B,E09000009,Ealing,22.203,0.123,0.068,7.447,-0.513,1.275,35.983,30.872,0.249,0.171,-0.768,0.261,-0.725,4.735,-0.664,1.933
E01001242,Ealing 024C,E09000009,Ealing,26.914,0.15,0.118,13.821,0.052,0.548,38.889,31.886,0.153,0.225,0.02,0.264,-0.772,5.07,0.14,1.347
E01001243,Ealing 024D,E09000009,Ealing,25.381,0.16,0.097,10.713,-0.724,0.584,39.908,39.369,0.166,0.304,-0.169,0.246,-0.383,4.916,0.178,1.845
E01001244,Ealing 024E,E09000009,Ealing,28.857,0.188,0.103,10.089,0.003,-0.012,45.313,43.737,0.216,0.402,-0.118,0.226,-0.65,5.862,0.344,1.964
E01001245,Ealing 024F,E09000009,Ealing,15.441,0.099,0.057,5.3,-0.547,0.209,29.718,34.669,0.133,0.213,-0.373,0.15,-1.132,4.114,0.048,1.663
E01001246,Ealing 015D,E09000009,Ealing,32.021,0.2,0.117,18.964,-0.339,0.404,45.591,45.732,0.331,0.221,0.101,0.319,0.252,4.733,0.871,1.226
E01001247,Ealing 015E,E09000009,Ealing,21.278,0.119,0.063,12.246,-0.265,0.348,45.088,28.719,0.18,0.218,-0.05,0.251,0.27,4.642,-0.111,1.382
E01001248,Ealing 035A,E09000009,Ealing,17.386,0.125,0.085,9.809,-0.452,0.07,28.422,24.092,0.13,0.195,-0.28,0.248,-0.615,3.621,-0.14,1.03
E01001249,Ealing 028A,E09000009,Ealing,41.534,0.27,0.176,14.648,0.573,1.05,40.063,38.77,0.304,0.552,0.199,0.241,-1.667,5.456,0.198,1.789
E01001250,Ealing 028B,E09000009,Ealing,37.117,0.229,0.188,16.974,0.526,0.625,36.613,32.788,0.257,0.298,0.247,0.268,-0.79,4.835,-0.093,1.671
E01001251,Ealing 030A,E09000009,Ealing,18.709,0.117,0.082,3.635,-0.225,0.16,27.963,39.924,0.159,0.132,-0.975,0.203,-0.732,3.661,0.573,1.344
E01001252,Ealing 030B,E09000009,Ealing,25.654,0.165,0.111,9.41,0.11,0.113,35.712,38.212,0.188,0.27,-0.514,0.27,-0.915,4.791,0.453,1.404
E01001253,Ealing 030C,E09000009,Ealing,15.645,0.125,0.075,5.68,-0.488,-0.514,30.578,24.226,0.162,0.159,-0.657,0.22,-0.398,3.743,0.017,0.851
E01001254,Ealing 030D,E09000009,Ealing,14.588,0.102,0.064,3.72,-0.464,-0.279,30.525,29.602,0.099,0.216,-0.746,0.181,-0.32,3.613,0.176,1.107
E01001255,Ealing 028C,E09000009,Ealing,13.456,0.065,0.073,3.266,-0.632,0.284,23.694,33.847,0.036,0.122,-0.825,0.177,-0.959,3.045,0.212,1.398
E01001257,Ealing 008A,E09000009,Ealing,40.826,0.274,0.177,30.508,0.229,0.46,49.728,21.379,0.291,0.374,-0.052,0.449,-0.089,5.825,-0.275,0.935
E01001258,Ealing 010B,E09000009,Ealing,15.858,0.099,0.075,11.29,-0.542,-0.221,29.103,29.257,0.11,0.173,-1.004,0.323,-1.342,4.083,0.21,1.025
E01001259,Ealing 014B,E09000009,Ealing,20.119,0.126,0.066,16.107,-0.327,0.716,30.366,29.81,0.16,0.231,-0.566,0.354,-1.371,4.254,-0.121,1.478
E01001260,Ealing 012B,E09000009,Ealing,20.741,0.103,0.065,8.329,-0.192,1.097,30.243,36.628,0.084,0.208,-1.016,0.287,-1.044,4.147,0.062,1.795
E01001261,Ealing 012C,E09000009,Ealing,22.674,0.126,0.083,14.781,-0.676,0.42,38.36,39.008,0.124,0.252,-0.346,0.324,-1.482,5.219,0.263,1.725
E01001262,Ealing 010C,E09000009,Ealing,31.334,0.214,0.129,20.258,-0.039,0.58,41.16,28.503,0.271,0.275,-0.156,0.364,-0.091,4.743,-0.616,1.739
E01001263,Ealing 010D,E09000009,Ealing,34.487,0.24,0.156,18.18,0.13,0.392,44.471,26.171,0.277,0.27,-0.761,0.385,0.085,4.868,-0.257,1.321
E01001264,Ealing 010E,E09000009,Ealing,24.398,0.14,0.115,23.537,-0.787,0.188,39.156,27.105,0.148,0.165,0.194,0.356,-0.064,4.475,0.01,1.114
E01001265,Ealing 006A,E09000009,Ealing,20.568,0.095,0.076,10.867,-0.438,-0.602,56.208,21.927,0.123,0.139,-0.577,0.295,1.049,4.35,-0.193,0.898
E01001266,Ealing 006B,E09000009,Ealing,16.109,0.091,0.056,10.11,-0.675,0.084,37.866,28.3,0.108,0.126,-0.5,0.278,0.213,3.791,0.051,1.165
E01001267,Ealing 006C,E09000009,Ealing,31.849,0.222,0.126,15.779,-0.019,0.342,45.353,32.736,0.246,0.377,-0.515,0.347,0.137,4.885,-0.264,1.816
E01001268,Ealing 012D,E09000009,Ealing,18.541,0.107,0.082,8.555,0.051,-0.032,30.915,30.712,0.114,0.163,-0.846,0.282,-0.151,3.391,-0.014,1.429
E01001269,Ealing 001A,E09000009,Ealing,13.557,0.066,0.049,11.358,-1.355,0.096,31.507,35.486,0.071,0.123,-0.714,0.311,-0.558,4.038,0.55,1.013
E01001270,Ealing 004A,E09000009,Ealing,15.651,0.098,0.061,8.434,-0.691,0.431,32.266,23.806,0.103,0.182,-0.809,0.278,-0.178,3.705,-0.216,1.084
E01001271,Ealing 001B,E09000009,Ealing,16.877,0.117,0.07,18.002,-0.864,-0.029,29.917,26.154,0.155,0.187,0.016,0.32,-0.759,3.981,-0.167,1.234
E01001272,Ealing 006D,E09000009,Ealing,19.058,0.099,0.068,7.384,-0.418,0.134,40.673,35.502,0.109,0.154,-0.714,0.256,0.136,4.324,0.131,1.634
E01001273,Ealing 020F,E09000009,Ealing,9.462,0.045,0.033,2.153,-1.152,0.07,29.45,30.917,0.051,0.086,-0.959,0.149,-0.149,3.119,0.038,1.389
E01001274,Ealing 020G,E09000009,Ealing,8.494,0.048,0.038,6.53,-1.333,-0.668,32.697,18.633,0.047,0.103,-0.463,0.213,0.023,3.344,-0.778,1.044
E01001275,Ealing 020H,E09000009,Ealing,19.035,0.091,0.08,6.142,-0.348,0.549,36.436,31.212,0.072,0.154,-0.206,0.101,-0.126,4.196,0.05,1.398
E01001276,Ealing 011A,E09000009,Ealing,20.56,0.128,0.071,12.366,-0.814,-0.149,44.773,31.642,0.179,0.177,-0.123,0.266,0.225,4.688,0.133,1.336
E01001277,Ealing 011B,E09000009,Ealing,17.535,0.108,0.052,8.0,-0.84,-0.082,38.916,39.184,0.149,0.159,-0.345,0.225,0.083,4.185,0.012,2.032
E01001278,Ealing 011C,E09000009,Ealing,23.769,0.135,0.061,12.057,-0.724,0.497,40.337,52.502,0.236,0.176,0.082,0.22,-0.048,4.596,0.63,2.189
E01001279,Ealing 013C,E09000009,Ealing,7.15,0.028,0.031,0.358,-0.877,-0.431,21.905,35.101,0.034,0.04,-1.794,0.102,-0.241,1.767,0.371,1.284
E01001280,Ealing 011D,E09000009,Ealing,13.686,0.079,0.043,6.333,-0.886,-0.336,38.65,30.658,0.09,0.186,-0.253,0.155,0.356,3.558,-0.532,1.839
E01001281,Ealing 013D,E09000009,Ealing,7.459,0.041,0.035,0.234,-0.929,-0.548,21.497,34.729,0.028,0.091,-1.674,0.069,-0.511,2.146,0.147,1.559
E01001282,Ealing 016B,E09000009,Ealing,35.01,0.237,0.173,18.61,0.234,0.069,43.932,26.699,0.234,0.36,-0.116,0.343,-0.118,5.078,0.062,1.015
E01001283,Ealing 016C,E09000009,Ealing,40.085,0.274,0.196,17.047,0.43,0.682,37.718,32.592,0.259,0.419,-0.104,0.324,-1.265,5.104,0.243,1.267
E01001284,Ealing 022A,E09000009,Ealing,15.752,0.076,0.06,9.884,-0.513,0.801,23.35,33.419,0.078,0.119,-0.333,0.257,-1.046,3.027,0.266,1.296
E01001285,Ealing 016D,E09000009,Ealing,23.184,0.154,0.116,14.88,-0.299,0.146,30.882,30.631,0.148,0.209,-0.182,0.308,-1.248,4.3,0.306,1.002
E01001286,Ealing 016E,E09000009,Ealing,23.532,0.149,0.107,14.007,-0.06,-0.023,37.204,27.988,0.151,0.219,-0.188,0.298,-0.092,4.251,0.087,1.091
E01001287,Ealing 016F,E09000009,Ealing,31.223,0.266,0.156,14.981,-0.334,-0.25,40.976,19.434,0.337,0.294,-0.267,0.318,-0.649,5.246,-0.542,0.977
E01001288,Ealing 022B,E09000009,Ealing,16.018,0.1,0.079,3.032,-0.341,-0.173,26.283,37.044,0.104,0.176,-1.045,0.193,-1.345,3.669,0.604,1.049
E01001289,Ealing 022C,E09000009,Ealing,15.526,0.095,0.073,2.553,-0.477,-0.404,29.056,38.847,0.101,0.139,-1.135,0.185,-0.275,3.278,0.516,1.354
E01001290,Ealing 022D,E09000009,Ealing,12.68,0.076,0.059,2.638,-0.554,-0.269,29.074,31.355,0.091,0.101,-1.098,0.185,-0.806,3.887,0.234,1.171
E01001291,Ealing 014C,E09000009,Ealing,19.365,0.129,0.098,11.864,-0.679,0.197,32.568,23.485,0.155,0.174,-0.61,0.31,-0.508,4.131,-0.224,1.064
E01001292,Ealing 014D,E09000009,Ealing,13.864,0.086,0.064,9.379,-0.694,-0.033,27.63,28.178,0.095,0.152,-0.829,0.292,-1.439,3.893,0.132,1.048
E01001293,Ealing 014E,E09000009,Ealing,17.362,0.113,0.081,11.515,-0.227,-0.366,33.573,21.563,0.1,0.215,-1.033,0.327,-0.975,4.574,-0.183,0.853
E01001294,Ealing 017A,E09000009,Ealing,22.485,0.156,0.088,17.799,-0.198,0.563,31.262,24.131,0.178,0.236,-0.547,0.371,-0.99,4.278,-0.199,1.098
E01001295,Ealing 017B,E09000009,Ealing,17.222,0.124,0.074,11.963,-0.416,-0.282,30.559,28.311,0.147,0.202,-0.778,0.322,-1.264,4.259,0.17,1.005
E01001296,Ealing 017C,E09000009,Ealing,22.011,0.14,0.111,16.299,0.029,-0.083,30.735,24.341,0.139,0.186,-0.737,0.366,-1.417,4.309,-0.096,1.002
E01001297,Ealing 017D,E09000009,Ealing,23.36,0.144,0.11,15.442,0.147,0.256,33.311,22.219,0.147,0.264,-0.763,0.358,-1.668,4.665,-0.297,1.025
E01001298,Ealing 017E,E09000009,Ealing,27.974,0.163,0.108,16.977,0.808,0.264,35.826,26.98,0.159,0.249,-0.419,0.353,-1.65,4.935,0.047,1.056
E01001299,Ealing 035B,E09000009,Ealing,8.007,0.052,0.049,1.762,-1.157,-0.518,22.212,28.03,0.065,0.07,-1.248,0.165,-0.593,2.409,0.107,1.068
E01001300,Ealing 039A,E09000009,Ealing,8.87,0.044,0.037,1.779,-0.908,0.198,20.099,34.665,0.03,0.129,-0.964,0.119,-1.768,2.553,0.188,1.498
E01001301,Ealing 039B,E09000009,Ealing,20.032,0.118,0.072,4.637,0.17,0.784,28.743,31.044,0.134,0.281,-0.433,0.135,-1.354,4.032,-0.274,1.704
E01001302,Ealing 039C,E09000009,Ealing,11.697,0.059,0.047,1.32,-0.946,0.608,23.763,33.08,0.084,0.085,-1.284,0.145,-0.773,2.924,0.27,1.268
E01001303,Ealing 032A,E09000009,Ealing,9.914,0.051,0.034,0.703,-1.107,-0.036,21.53,44.256,0.064,0.076,-1.392,0.102,-1.138,2.723,0.834,1.183
E01001304,Ealing 039D,E09000009,Ealing,14.074,0.097,0.069,1.745,-0.365,-0.186,24.932,32.505,0.089,0.301,-1.031,0.135,-0.702,3.078,0.175,1.349
