LSOA11CD,LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Children and Young People Sub-domain Score,Adult Skills Sub-domain Score,Geographical Barriers Sub-domain Score,Wider Barriers Sub-domain Score,Indoors Sub-domain Score,Outdoors Sub-domain Score
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,29.958,0.146,0.106,23.035,0.095,0.913,39.922,38.369,0.169,0.191,-0.176,0.393,-0.649,5.126,0.789,0.763
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,37.978,0.257,0.136,32.037,0.278,0.162,55.686,21.763,0.345,0.252,0.08,0.449,0.569,5.286,-0.02,0.661
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,35.895,0.216,0.147,33.858,0.661,0.302,45.083,18.01,0.249,0.313,0.39,0.429,0.098,4.909,-0.235,0.553
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,26.175,0.15,0.092,25.536,0.397,0.242,39.025,23.071,0.221,0.189,0.239,0.371,-0.574,4.963,0.055,0.68
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,19.27,0.112,0.073,15.969,-0.185,0.386,31.724,27.612,0.169,0.116,-0.78,0.364,-1.142,4.387,0.359,0.626
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,17.988,0.096,0.101,20.288,-0.504,-0.067,29.715,19.057,0.128,0.107,-0.025,0.35,-0.341,3.504,-0.195,0.62
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,19.646,0.127,0.079,18.702,-0.103,0.204,27.945,27.001,0.204,0.164,-0.46,0.374,-1.163,3.881,0.051,1.051
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,22.288,0.127,0.074,19.753,0.173,0.092,42.779,17.527,0.165,0.196,-0.022,0.344,0.477,3.899,-0.277,0.547
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,34.608,0.218,0.123,31.332,0.155,0.607,45.801,29.323,0.262,0.317,0.382,0.408,-1.724,6.313,0.038,1.27
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,33.173,0.172,0.105,33.867,0.349,0.432,48.606,33.127,0.198,0.225,0.142,0.458,-0.112,5.698,0.5,0.897
