LSOA21CD,IMD SCORE_weighted
E01000001,6.161643139285286
E01000002,5.585179941385704
E01000003,13.292872456313146
E01000005,21.364985616479803
E01000006,17.077753403142424
E01000007,37.23529088292005
E01000008,45.21665751918548
E01000009,29.412998543115737
E01000011,29.482276083452884
E01000012,37.34259509400124
E01000013,39.7966375915956
E01000014,37.83185778158691
E01000015,38.81132044428036
E01000016,31.641196584304648
E01000017,35.34140636036235
E01000018,32.63274607001395
E01000019,32.705016728063505
E01000020,34.19443578599623
E01000021,34.17493431870058
E01000022,28.616089096272475
E01000024,29.295941623500877
E01000025,32.730586470240894
E01000027,49.15510127700095
E01000028,43.010727993181256
E01000029,26.83174383241578
E01000030,52.51388167767017
E01000031,26.75193412239551
E01000032,29.60317013169471
E01000033,40.953144018872045
E01000034,31.398907134397174
E01000035,28.154037449884935
E01000036,21.53273355339764
E01000037,22.278460540914285
E01000038,18.870825324011772
E01000039,18.38584813366004
E01000040,38.86714524535712
E01000041,32.86070856198181
E01000042,39.48744854647493
E01000043,32.93679640313032
E01000044,31.96925954744722
E01000045,40.11699689463417
E01000046,28.921528208749717
E01000049,44.55624456748208
E01000050,34.647183384241096
E01000051,53.85015347689788
E01000052,29.235571932414803
E01000053,32.75133301033476
E01000054,29.767627516346984
E01000055,29.707364295765604
E01000056,37.70845152979687
E01000057,38.85553727307347
E01000058,37.36087104446152
E01000059,34.54749201690161
E01000060,42.00406822677794
E01000061,51.257073533654484
E01000062,33.29432450203702
E01000063,33.924076930742174
E01000064,35.193441088160185
E01000065,36.595445353308136
E01000066,25.42170398021186
E01000067,23.073234652462933
E01000068,23.351351048742416
E01000069,15.880424380117306
E01000070,20.42380586917911
E01000071,16.91156119831407
E01000072,42.40276142238982
E01000073,36.41937634561157
E01000074,32.25956267077637
E01000075,34.93253846180038
E01000076,42.344203202466566
E01000077,34.700358963263014
E01000078,37.66256298894095
E01000079,35.196324377707704
E01000080,34.215031237819595
E01000081,32.40216238685053
E01000082,35.6045629370595
E01000083,37.601612221330036
E01000084,35.68666543126065
E01000085,39.15955636530401
E01000086,32.43201236487609
E01000087,35.56410395767585
E01000088,27.83385108184358
E01000089,29.735355195222613
E01000090,26.751303403609626
E01000091,46.832221708858285
E01000093,48.78885925741763
E01000094,31.8144313648609
E01000095,32.91361921742101
E01000096,51.17915381050592
E01000097,36.80083255640254
E01000098,34.67590791110154
E01000099,36.958638935949025
E01000100,35.91619506382664
E01000101,37.97401658028423
E01000102,34.60924538537382
E01000103,39.991041866636415
E01000104,48.42506357343949
E01000105,43.331243415697806
E01000106,46.26411971239181
E01000107,25.605376277137598
E01000108,26.870409507920147
E01000110,19.071697828403924
E01000111,30.50289251437204
E01000112,26.367737837632944
E01000113,20.163463131169774
E01000114,26.764348952090653
E01000115,4.643456293493717
E01000116,9.081222019457504
E01000117,10.511201598080286
E01000118,12.95068828554191
E01000119,9.625189835654128
E01000120,7.290315086941104
E01000121,31.94329913874633
E01000122,8.94921242975001
E01000123,13.394456909058796
E01000124,25.33215173397033
E01000126,32.73334496643306
E01000127,23.704210358085287
E01000128,22.708995154920874
E01000129,34.26664289698043
E01000130,27.466365978723168
E01000131,17.78327322602406
E01000132,26.09902488233091
E01000133,28.773562418971263
E01000134,22.664082885241296
E01000135,9.640981448351157
E01000136,10.242713869406078
E01000137,30.82667379425494
E01000138,19.667174130519598
E01000139,14.444739116175343
E01000140,17.825376640003736
E01000141,28.41259480052413
E01000142,20.348577285251167
E01000143,29.002963891574538
E01000144,13.748720264658797
E01000145,9.153470392820315
E01000146,14.402161286211172
E01000147,14.790975006700162
E01000150,19.478928329221716
E01000151,37.22073276633009
E01000152,34.902925100523326
E01000153,38.47893479413936
E01000154,43.34201392686271
E01000156,15.279752063916748
E01000157,16.439468545582738
E01000158,18.187814004177092
E01000159,16.33241678211913
E01000160,11.472372971225186
E01000161,13.989276920854767
E01000162,19.020164477402503
E01000163,29.59514486362115
E01000164,28.486603920074046
E01000165,11.318246574013221
E01000166,13.868544389610909
E01000167,21.742417058682058
E01000168,5.596801566689305
E01000169,10.209521491796368
E01000170,17.987715866151913
E01000171,17.626913135057727
E01000172,8.68087385383302
E01000173,8.463670479466648
E01000174,15.670590256822976
E01000175,8.407931333625
E01000176,26.833664128463003
E01000177,11.019394235654307
E01000178,14.637430922156444
E01000179,12.576637175452964
E01000180,17.155117777199713
E01000181,13.855685906570654
E01000182,10.787715932549743
E01000183,12.397783631943526
E01000184,43.69950708553878
E01000185,35.98283899948811
E01000186,6.809922549958966
E01000187,13.872263363279044
E01000188,6.973429361753952
E01000189,42.138307588188205
E01000190,10.967018331828003
E01000191,9.175664422942118
E01000192,15.34724897971423
E01000193,14.190431133868245
E01000194,20.568949857536776
E01000195,29.329695735537328
E01000196,11.866341135996983
E01000197,12.576967096504747
E01000198,11.038735577961729
E01000199,8.594201519867147
E01000200,12.680718857778247
E01000201,7.741287366946962
E01000202,9.171171396446264
E01000203,22.813902034453978
E01000204,10.553270413786281
E01000205,6.980777652998293
E01000206,9.521067795081203
E01000207,6.6269830636048885
E01000208,7.892186961469319
E01000209,8.530952907680037
E01000210,8.38697431825315
E01000211,15.946460580612422
E01000212,8.489423020782196
E01000213,9.426855156895192
E01000214,10.791209450293877
E01000215,12.03893649104838
E01000216,11.38353111563967
E01000217,10.37958812408861
E01000218,11.769842583937521
E01000219,13.647151902666119
E01000220,16.927028733349818
E01000221,36.677500168741815
E01000222,24.863304903748308
E01000223,32.67454753160878
E01000224,17.250164837921336
E01000225,11.134093447270569
E01000226,28.06811013279586
E01000227,10.716323919318768
E01000228,12.827138442380207
E01000229,23.49477109587593
E01000230,8.512381749542602
E01000231,15.618487548860047
E01000232,13.823148756974012
E01000233,12.167632292326072
E01000234,9.248241288393126
E01000235,23.52375215573578
E01000236,16.707491163965262
E01000237,14.455946112121886
E01000238,16.39914389569713
E01000239,18.638095925946406
E01000240,17.874444669233792
E01000241,11.932837109255251
E01000242,16.47765245001967
E01000243,17.63249684370481
E01000244,14.48466330299825
E01000245,31.837345460330663
E01000246,9.944919567357523
E01000247,10.890543915572076
E01000248,10.169056204096051
E01000249,5.331207169438359
E01000250,12.866748225535606
E01000251,22.887172137896705
E01000252,15.942521888470585
E01000253,10.115277953368754
E01000254,7.106905653382723
E01000255,18.027115792268507
E01000256,12.133073701662424
E01000257,30.57435177507606
E01000258,11.340356818139874
E01000259,12.278720486714214
E01000260,19.06451093287375
E01000261,8.455348642255867
E01000263,5.393941110032483
E01000264,14.609543362152001
E01000265,19.96902603259787
E01000266,8.516928365824512
E01000267,11.031268442223084
E01000268,20.93303071879595
E01000269,9.523792247001106
E01000270,9.766268887776667
E01000271,7.841838911329457
E01000272,5.706238924990056
E01000273,14.682563330693434
E01000274,18.991064926049184
E01000275,11.549887263504415
E01000276,5.305817361981284
E01000277,18.00976884573467
E01000278,5.484171965327374
E01000279,7.744034523304909
E01000280,4.286068262703586
E01000281,13.238365357375155
E01000282,10.132704675314974
E01000283,4.696619829046436
E01000284,18.688911982470906
E01000285,13.575818797025784
E01000286,21.956183061701566
E01000287,22.507425191227085
E01000288,12.785349118084405
E01000289,35.51994031811314
E01000290,18.588170158101207
E01000291,29.286994684390436
E01000292,10.239656133061592
E01000293,6.973503033238092
E01000294,12.674753646636875
E01000295,14.565940572830957
E01000296,16.06031019514216
E01000297,15.78728462116996
E01000298,13.575168915538901
E01000299,16.907755738151106
E01000300,10.971926668013229
E01000301,7.3804286423402425
E01000302,19.51804457676267
E01000303,7.831535090720854
E01000304,15.376739268531935
E01000305,25.156344011412525
E01000306,18.831664043838117
E01000307,22.36195086142113
E01000308,37.00101386628689
E01000309,12.067575087286295
E01000310,18.672078465728156
