LSOA21CD,All categories: Economic activity_weighted,Economically active: Total_weighted,Economically active: Employee: Part-time_weighted,Economically active: Employee: Full-time_weighted,Economically active: Self-employed with employees: Part-time_weighted,Economically active: Self-employed with employees: Full-time_weighted,Economically active: Self-employed without employees: Part-time_weighted,Economically active: Self-employed without employees: Full-time_weighted,Economically active: Unemployed_weighted,Economically active: Full-time student_weighted,Economically inactive: Total_weighted,Economically inactive: Retired_weighted,Economically inactive: Student (including full-time students)_weighted,Economically inactive: Looking after home or family_weighted,Economically inactive: Long-term sick or disabled_weighted,Economically inactive: Other_weighted
E01000802,1326.0,1026.0,147.0,587.0,8.0,15.0,47.0,108.0,80.0,34.0,300.0,101.0,69.0,40.0,56.0,34.0
E01000803,1200.0,906.0,136.0,526.0,1.0,15.0,53.0,85.0,58.0,32.0,294.0,104.0,72.0,39.0,49.0,30.0
E01000804,1055.0,783.0,127.0,422.0,7.0,47.0,46.0,75.0,37.0,22.0,272.0,141.0,53.0,49.0,20.0,9.0
E01000805,1156.0,863.0,165.0,478.0,3.0,23.0,37.0,62.0,65.0,30.0,293.0,117.0,62.0,44.0,44.0,26.0
E01000806,1262.0,949.0,172.0,508.0,3.0,17.0,32.0,62.0,98.0,57.0,313.0,56.0,91.0,55.0,65.0,46.0
E01000807,1098.0,754.0,132.0,436.0,4.0,19.0,33.0,62.0,32.0,36.0,344.0,189.0,61.0,63.0,9.0,22.0
E01000808,1115.0,746.0,147.0,430.0,10.0,26.0,34.0,51.0,26.0,22.0,369.0,213.0,49.0,70.0,13.0,24.0
E01000809,1053.0,773.0,148.0,443.0,2.0,18.0,41.0,64.0,35.0,22.0,280.0,184.0,40.0,40.0,6.0,10.0
E01000810,1078.0,728.0,144.0,423.0,5.0,21.0,39.0,54.0,27.0,15.0,350.0,224.0,45.0,64.0,6.0,11.0
E01000811,979.0,714.0,127.0,440.0,4.0,16.0,24.0,62.0,24.0,17.0,265.0,151.0,38.0,49.0,16.0,11.0
E01000812,1136.0,788.0,146.0,474.0,3.0,19.0,38.0,54.0,31.0,23.0,348.0,199.0,43.0,57.0,29.0,20.0
E01000813,1118.0,762.0,165.0,427.0,5.0,23.0,25.0,59.0,32.0,26.0,356.0,232.0,42.0,59.0,9.0,14.0
E01000814,1156.0,794.0,167.0,441.0,8.0,24.0,44.0,58.0,19.0,33.0,362.0,210.0,68.0,57.0,8.0,19.0
E01000815,1105.0,752.0,173.0,394.0,5.0,25.0,43.0,68.0,16.0,28.0,353.0,216.0,61.0,57.0,7.0,12.0
E01000816,1102.0,801.0,142.0,484.0,6.0,14.0,32.0,54.0,45.0,24.0,301.0,157.0,46.0,49.0,31.0,18.0
E01000818,1072.0,779.0,153.0,412.0,5.0,27.0,33.0,88.0,28.0,33.0,293.0,159.0,48.0,54.0,16.0,16.0
E01000819,1183.0,821.0,144.0,431.0,3.0,22.0,41.0,60.0,87.0,33.0,362.0,126.0,70.0,67.0,63.0,36.0
E01000820,1017.0,715.0,102.0,436.0,8.0,37.0,33.0,50.0,33.0,16.0,302.0,117.0,38.0,56.0,60.0,31.0
E01000822,1196.0,905.0,128.0,569.0,8.0,19.0,35.0,69.0,58.0,19.0,291.0,111.0,62.0,53.0,39.0,26.0
E01000823,1295.0,1030.0,147.0,643.0,4.0,25.0,55.0,83.0,42.0,31.0,265.0,120.0,55.0,45.0,27.0,18.0
E01000824,900.0,716.0,123.0,429.0,6.0,14.0,30.0,50.0,46.0,18.0,184.0,66.0,40.0,28.0,29.0,21.0
E01000825,1189.0,887.0,101.0,586.0,4.0,18.0,31.0,66.0,60.0,21.0,302.0,127.0,46.0,48.0,57.0,24.0
E01000826,1163.0,810.0,167.0,426.0,5.0,42.0,56.0,57.0,23.0,34.0,353.0,209.0,80.0,51.0,5.0,8.0
E01000827,1196.0,828.0,137.0,472.0,7.0,32.0,44.0,76.0,42.0,18.0,368.0,218.0,54.0,59.0,21.0,16.0
E01000828,1131.0,822.0,122.0,506.0,7.0,28.0,34.0,73.0,34.0,18.0,309.0,168.0,52.0,47.0,30.0,12.0
E01000829,1264.0,1001.0,164.0,621.0,3.0,16.0,56.0,73.0,41.0,27.0,263.0,128.0,45.0,61.0,16.0,13.0
E01000830,1089.0,745.0,161.0,355.0,7.0,58.0,35.0,67.0,22.0,40.0,344.0,189.0,60.0,65.0,4.0,26.0
E01000831,1158.0,833.0,144.0,475.0,6.0,34.0,47.0,65.0,36.0,26.0,325.0,197.0,47.0,49.0,17.0,15.0
E01000832,1056.0,755.0,164.0,377.0,8.0,30.0,37.0,75.0,28.0,36.0,301.0,175.0,62.0,45.0,8.0,11.0
E01000833,998.0,706.0,144.0,362.0,11.0,37.0,42.0,56.0,29.0,25.0,292.0,155.0,57.0,56.0,11.0,13.0
E01000834,956.0,729.0,163.0,381.0,6.0,14.0,29.0,85.0,18.0,33.0,227.0,108.0,59.0,36.0,7.0,17.0
E01000835,1119.0,836.0,176.0,460.0,4.0,21.0,43.0,63.0,33.0,36.0,283.0,141.0,57.0,53.0,16.0,16.0
E01000836,983.0,743.0,170.0,393.0,5.0,22.0,31.0,66.0,23.0,33.0,240.0,123.0,65.0,35.0,7.0,10.0
E01000837,1017.0,725.0,154.0,406.0,2.0,24.0,41.0,46.0,32.0,20.0,292.0,161.0,46.0,42.0,22.0,21.0
E01000838,982.0,694.0,161.0,358.0,3.0,20.0,28.0,74.0,19.0,31.0,288.0,169.0,59.0,39.0,12.0,9.0
E01000839,1106.0,797.0,185.0,437.0,3.0,25.0,39.0,57.0,28.0,23.0,309.0,185.0,62.0,44.0,7.0,11.0
E01000840,1048.0,710.0,172.0,380.0,1.0,24.0,49.0,47.0,21.0,16.0,338.0,234.0,45.0,37.0,13.0,9.0
E01000841,1108.0,811.0,186.0,452.0,5.0,21.0,33.0,61.0,27.0,26.0,297.0,169.0,51.0,53.0,11.0,13.0
E01000842,1175.0,887.0,54.0,543.0,6.0,34.0,81.0,112.0,35.0,22.0,288.0,100.0,74.0,47.0,24.0,43.0
E01000843,1299.0,983.0,81.0,580.0,4.0,41.0,67.0,118.0,67.0,25.0,316.0,81.0,82.0,70.0,35.0,48.0
E01000844,1408.0,1125.0,74.0,724.0,5.0,64.0,63.0,138.0,35.0,22.0,283.0,74.0,63.0,74.0,41.0,31.0
E01000845,1166.0,887.0,65.0,557.0,9.0,42.0,56.0,95.0,33.0,30.0,279.0,82.0,85.0,50.0,29.0,33.0
E01000846,1027.0,655.0,113.0,310.0,5.0,23.0,51.0,54.0,62.0,37.0,372.0,100.0,94.0,79.0,53.0,46.0
E01000847,1171.0,785.0,100.0,407.0,13.0,39.0,46.0,91.0,68.0,21.0,386.0,79.0,104.0,92.0,61.0,50.0
E01000848,1273.0,1050.0,85.0,656.0,6.0,60.0,72.0,116.0,41.0,14.0,223.0,81.0,44.0,49.0,21.0,28.0
E01000849,1274.0,1020.0,96.0,652.0,4.0,27.0,70.0,104.0,33.0,34.0,254.0,86.0,75.0,44.0,25.0,24.0
E01000850,1548.0,989.0,76.0,643.0,3.0,44.0,33.0,80.0,31.0,79.0,559.0,64.0,404.0,21.0,45.0,25.0
E01000851,2206.0,1119.0,82.0,581.0,8.0,50.0,46.0,111.0,44.0,197.0,1087.0,59.0,928.0,28.0,35.0,37.0
E01000853,1231.0,733.0,123.0,367.0,1.0,12.0,45.0,52.0,98.0,35.0,498.0,161.0,180.0,40.0,84.0,33.0
E01000855,1623.0,1180.0,96.0,783.0,2.0,23.0,44.0,118.0,53.0,61.0,443.0,132.0,222.0,22.0,26.0,41.0
E01000856,1246.0,839.0,130.0,378.0,11.0,21.0,39.0,116.0,100.0,44.0,407.0,70.0,140.0,66.0,78.0,53.0
E01000857,1122.0,801.0,63.0,461.0,4.0,65.0,69.0,101.0,24.0,14.0,321.0,113.0,66.0,57.0,54.0,31.0
E01000858,1457.0,904.0,134.0,474.0,6.0,29.0,40.0,83.0,88.0,50.0,553.0,100.0,172.0,89.0,128.0,64.0
E01000859,1289.0,1034.0,83.0,544.0,12.0,68.0,86.0,177.0,41.0,23.0,255.0,107.0,47.0,49.0,28.0,24.0
E01000860,1039.0,687.0,70.0,380.0,10.0,37.0,51.0,87.0,31.0,21.0,352.0,164.0,66.0,44.0,39.0,39.0
E01000861,1339.0,914.0,112.0,485.0,6.0,25.0,57.0,106.0,68.0,55.0,425.0,59.0,231.0,40.0,51.0,44.0
E01000862,1360.0,1055.0,85.0,578.0,15.0,80.0,76.0,173.0,31.0,17.0,305.0,93.0,106.0,60.0,16.0,30.0
E01000863,1290.0,984.0,79.0,557.0,4.0,29.0,55.0,121.0,64.0,75.0,306.0,43.0,133.0,34.0,60.0,36.0
E01000866,1606.0,1140.0,143.0,610.0,5.0,43.0,70.0,128.0,81.0,60.0,466.0,120.0,147.0,58.0,102.0,39.0
E01000867,1225.0,772.0,109.0,412.0,3.0,23.0,34.0,58.0,54.0,79.0,453.0,80.0,171.0,72.0,65.0,65.0
E01000868,1014.0,700.0,143.0,333.0,10.0,18.0,29.0,47.0,90.0,30.0,314.0,52.0,74.0,68.0,87.0,33.0
E01000869,1733.0,1254.0,136.0,682.0,8.0,40.0,66.0,163.0,77.0,82.0,479.0,112.0,199.0,50.0,62.0,56.0
E01000870,1357.0,955.0,123.0,500.0,3.0,33.0,55.0,124.0,71.0,46.0,402.0,93.0,121.0,38.0,115.0,35.0
E01000871,1267.0,933.0,109.0,489.0,6.0,57.0,65.0,111.0,61.0,35.0,334.0,99.0,92.0,62.0,38.0,43.0
E01000872,1623.0,1270.0,120.0,808.0,14.0,33.0,55.0,118.0,70.0,52.0,353.0,74.0,109.0,52.0,70.0,48.0
E01000873,1317.0,1053.0,100.0,688.0,1.0,31.0,75.0,99.0,44.0,15.0,264.0,99.0,68.0,42.0,37.0,18.0
E01000874,1245.0,984.0,75.0,628.0,7.0,43.0,86.0,77.0,35.0,33.0,261.0,95.0,90.0,47.0,7.0,22.0
E01000875,1394.0,1047.0,96.0,695.0,7.0,14.0,54.0,93.0,60.0,28.0,347.0,72.0,135.0,38.0,60.0,42.0
E01000876,1359.0,942.0,112.0,554.0,9.0,20.0,34.0,75.0,91.0,47.0,417.0,108.0,114.0,63.0,85.0,47.0
E01000877,1296.0,1033.0,92.0,664.0,4.0,34.0,52.0,108.0,54.0,25.0,263.0,76.0,68.0,48.0,42.0,29.0
E01000878,1289.0,739.0,78.0,381.0,11.0,54.0,38.0,51.0,33.0,93.0,550.0,91.0,319.0,79.0,18.0,43.0
E01000879,1119.0,795.0,66.0,448.0,9.0,45.0,55.0,71.0,36.0,65.0,324.0,83.0,116.0,60.0,19.0,46.0
E01000880,1104.0,819.0,58.0,507.0,9.0,61.0,64.0,80.0,27.0,13.0,285.0,70.0,80.0,92.0,12.0,31.0
E01000881,1162.0,842.0,75.0,496.0,8.0,35.0,45.0,108.0,39.0,36.0,320.0,61.0,142.0,64.0,34.0,19.0
E01000882,1198.0,980.0,86.0,604.0,6.0,55.0,55.0,127.0,25.0,22.0,218.0,68.0,52.0,63.0,8.0,27.0
E01000883,1065.0,761.0,60.0,503.0,4.0,42.0,33.0,64.0,38.0,17.0,304.0,66.0,118.0,60.0,16.0,44.0
E01000884,1056.0,743.0,92.0,362.0,8.0,72.0,78.0,83.0,25.0,23.0,313.0,75.0,95.0,93.0,17.0,33.0
E01000885,1018.0,688.0,79.0,339.0,19.0,54.0,71.0,88.0,21.0,17.0,330.0,131.0,62.0,87.0,12.0,38.0
E01000886,1112.0,841.0,93.0,451.0,8.0,34.0,76.0,118.0,37.0,24.0,271.0,101.0,78.0,35.0,27.0,30.0
E01000887,1190.0,944.0,95.0,579.0,4.0,31.0,46.0,107.0,55.0,27.0,246.0,75.0,72.0,31.0,38.0,30.0
E01000888,1204.0,877.0,104.0,481.0,7.0,23.0,59.0,108.0,58.0,37.0,327.0,83.0,115.0,46.0,51.0,32.0
E01000889,1216.0,764.0,153.0,384.0,2.0,6.0,26.0,53.0,90.0,50.0,452.0,98.0,110.0,95.0,105.0,44.0
E01000890,1186.0,679.0,154.0,301.0,3.0,16.0,31.0,36.0,90.0,48.0,507.0,135.0,103.0,69.0,148.0,52.0
E01000891,1138.0,638.0,125.0,306.0,3.0,11.0,29.0,34.0,88.0,42.0,500.0,103.0,142.0,75.0,119.0,61.0
E01000892,1372.0,998.0,107.0,584.0,6.0,48.0,49.0,124.0,50.0,30.0,374.0,118.0,99.0,62.0,60.0,35.0
E01000893,1194.0,936.0,105.0,458.0,12.0,52.0,107.0,151.0,34.0,17.0,258.0,89.0,75.0,50.0,19.0,25.0
E01000894,1034.0,799.0,68.0,440.0,12.0,62.0,80.0,91.0,29.0,17.0,235.0,90.0,51.0,60.0,13.0,21.0
E01000895,1201.0,925.0,80.0,536.0,5.0,47.0,79.0,125.0,28.0,25.0,276.0,95.0,59.0,72.0,17.0,33.0
E01000896,1255.0,951.0,89.0,544.0,6.0,60.0,80.0,119.0,37.0,16.0,304.0,101.0,70.0,75.0,20.0,38.0
E01000897,1161.0,901.0,70.0,544.0,7.0,54.0,79.0,102.0,30.0,15.0,260.0,87.0,64.0,75.0,10.0,24.0
E01000898,1377.0,1039.0,79.0,725.0,5.0,27.0,35.0,83.0,52.0,33.0,338.0,111.0,82.0,40.0,57.0,48.0
E01000899,1201.0,848.0,76.0,437.0,13.0,90.0,83.0,116.0,21.0,12.0,353.0,131.0,66.0,93.0,15.0,48.0
E01000900,1400.0,985.0,128.0,569.0,6.0,23.0,42.0,94.0,87.0,36.0,415.0,110.0,117.0,75.0,74.0,39.0
E01000901,1418.0,806.0,130.0,406.0,5.0,11.0,37.0,41.0,92.0,84.0,612.0,79.0,264.0,115.0,101.0,53.0
E01000902,1026.0,630.0,124.0,312.0,1.0,20.0,26.0,42.0,67.0,38.0,396.0,74.0,111.0,85.0,87.0,39.0
E01000903,1148.0,832.0,69.0,454.0,9.0,42.0,62.0,105.0,57.0,34.0,316.0,91.0,97.0,39.0,56.0,33.0
E01000904,1640.0,1139.0,154.0,631.0,6.0,25.0,58.0,84.0,100.0,81.0,501.0,137.0,142.0,79.0,97.0,46.0
E01000905,1392.0,804.0,158.0,385.0,3.0,14.0,32.0,54.0,96.0,62.0,588.0,141.0,145.0,117.0,117.0,68.0
E01000906,1246.0,989.0,63.0,638.0,5.0,41.0,61.0,111.0,39.0,31.0,257.0,81.0,83.0,36.0,33.0,24.0
E01000907,1062.0,719.0,111.0,371.0,8.0,28.0,44.0,60.0,71.0,26.0,343.0,80.0,89.0,64.0,80.0,30.0
E01000908,1184.0,833.0,135.0,402.0,11.0,24.0,80.0,86.0,67.0,28.0,351.0,125.0,58.0,55.0,82.0,31.0
E01000909,1253.0,886.0,120.0,437.0,9.0,54.0,82.0,121.0,43.0,20.0,367.0,142.0,89.0,52.0,53.0,31.0
E01000910,1133.0,853.0,98.0,443.0,8.0,34.0,68.0,139.0,33.0,30.0,280.0,111.0,78.0,49.0,22.0,20.0
E01000911,1133.0,814.0,111.0,430.0,5.0,19.0,70.0,107.0,52.0,20.0,319.0,97.0,81.0,52.0,62.0,27.0
E01000912,1235.0,848.0,108.0,440.0,7.0,20.0,56.0,95.0,75.0,47.0,387.0,113.0,111.0,43.0,91.0,29.0
E01000913,1286.0,963.0,125.0,463.0,16.0,94.0,89.0,136.0,20.0,20.0,323.0,135.0,80.0,62.0,16.0,30.0
E01000914,1524.0,1015.0,84.0,568.0,10.0,63.0,46.0,146.0,51.0,47.0,509.0,75.0,308.0,43.0,49.0,34.0
E01000915,1158.0,770.0,103.0,427.0,13.0,25.0,30.0,58.0,79.0,35.0,388.0,94.0,114.0,69.0,69.0,42.0
E01000916,1492.0,1041.0,105.0,646.0,5.0,45.0,31.0,110.0,59.0,40.0,451.0,85.0,224.0,52.0,54.0,36.0
E01000917,1415.0,864.0,161.0,406.0,7.0,19.0,38.0,69.0,121.0,43.0,551.0,111.0,161.0,96.0,130.0,53.0
E01000918,1800.0,1139.0,144.0,574.0,10.0,39.0,60.0,118.0,86.0,108.0,661.0,120.0,296.0,66.0,111.0,68.0
E01000919,1797.0,1080.0,167.0,565.0,2.0,45.0,46.0,107.0,51.0,97.0,717.0,98.0,444.0,55.0,71.0,49.0
E01000920,1619.0,1169.0,116.0,626.0,7.0,63.0,64.0,176.0,67.0,50.0,450.0,98.0,194.0,56.0,62.0,40.0
E01000921,1662.0,1326.0,131.0,822.0,9.0,38.0,66.0,148.0,63.0,49.0,336.0,81.0,114.0,42.0,55.0,44.0
E01000922,1260.0,820.0,89.0,474.0,2.0,31.0,37.0,82.0,49.0,56.0,440.0,74.0,229.0,41.0,61.0,35.0
E01000923,1179.0,863.0,97.0,473.0,3.0,26.0,59.0,109.0,61.0,35.0,316.0,84.0,93.0,40.0,79.0,20.0
E01000924,1382.0,1050.0,119.0,597.0,2.0,28.0,73.0,145.0,52.0,34.0,332.0,103.0,103.0,37.0,51.0,38.0
E01000925,1084.0,679.0,112.0,329.0,3.0,15.0,37.0,61.0,81.0,41.0,405.0,84.0,131.0,81.0,62.0,47.0
E01000926,1490.0,1152.0,109.0,776.0,4.0,23.0,37.0,116.0,45.0,42.0,338.0,56.0,144.0,45.0,50.0,43.0
E01000927,1419.0,1055.0,110.0,606.0,4.0,42.0,74.0,134.0,48.0,37.0,364.0,89.0,109.0,58.0,71.0,37.0
E01000928,1264.0,900.0,130.0,486.0,1.0,39.0,66.0,106.0,51.0,21.0,364.0,109.0,93.0,48.0,81.0,33.0
E01000929,1188.0,738.0,103.0,371.0,7.0,11.0,46.0,67.0,90.0,43.0,450.0,121.0,91.0,95.0,85.0,58.0
E01000930,1415.0,912.0,128.0,507.0,4.0,25.0,41.0,68.0,85.0,54.0,503.0,167.0,122.0,62.0,88.0,64.0
E01000931,1494.0,1022.0,156.0,589.0,5.0,14.0,42.0,59.0,111.0,46.0,472.0,123.0,124.0,65.0,105.0,55.0
E01000932,1605.0,1282.0,118.0,888.0,4.0,30.0,48.0,104.0,54.0,36.0,323.0,87.0,68.0,48.0,80.0,40.0
E01000933,1414.0,1119.0,108.0,693.0,6.0,24.0,52.0,121.0,73.0,42.0,295.0,93.0,77.0,52.0,44.0,29.0
E01000934,1178.0,755.0,136.0,383.0,3.0,7.0,36.0,52.0,85.0,53.0,423.0,109.0,121.0,60.0,84.0,49.0
E01000935,1000.0,676.0,126.0,363.0,4.0,9.0,26.0,40.0,70.0,38.0,324.0,69.0,85.0,62.0,71.0,37.0
E01000937,1322.0,600.0,56.0,277.0,1.0,10.0,35.0,37.0,44.0,140.0,722.0,32.0,603.0,36.0,24.0,27.0
E01000938,1354.0,904.0,130.0,432.0,3.0,19.0,45.0,45.0,95.0,135.0,450.0,64.0,254.0,49.0,52.0,31.0
E01000939,897.0,475.0,114.0,185.0,5.0,10.0,12.0,21.0,65.0,63.0,422.0,76.0,192.0,65.0,40.0,49.0
E01000941,933.0,553.0,111.0,250.0,6.0,13.0,24.0,44.0,67.0,38.0,380.0,66.0,104.0,54.0,117.0,39.0
E01000942,1957.0,793.0,53.0,368.0,2.0,20.0,33.0,55.0,34.0,228.0,1164.0,62.0,1017.0,21.0,45.0,19.0
E01000943,923.0,554.0,61.0,286.0,6.0,17.0,25.0,57.0,42.0,60.0,369.0,47.0,246.0,22.0,26.0,28.0
E01000944,1552.0,662.0,136.0,300.0,8.0,9.0,21.0,38.0,78.0,72.0,890.0,60.0,632.0,72.0,72.0,54.0
E01000946,1199.0,798.0,90.0,481.0,9.0,40.0,31.0,75.0,38.0,34.0,401.0,87.0,174.0,62.0,43.0,35.0
E01000947,1715.0,1131.0,115.0,637.0,4.0,39.0,42.0,95.0,89.0,110.0,584.0,56.0,292.0,56.0,122.0,58.0
E01000948,1380.0,955.0,110.0,551.0,8.0,40.0,50.0,114.0,44.0,38.0,425.0,116.0,140.0,57.0,74.0,38.0
E01000949,1201.0,827.0,126.0,541.0,2.0,7.0,18.0,32.0,70.0,31.0,374.0,87.0,146.0,47.0,50.0,44.0
E01000951,1106.0,593.0,107.0,274.0,2.0,8.0,23.0,33.0,80.0,66.0,513.0,76.0,251.0,70.0,65.0,51.0
E01000952,1318.0,750.0,136.0,357.0,1.0,15.0,28.0,55.0,76.0,82.0,568.0,98.0,268.0,69.0,91.0,42.0
E01000954,1097.0,626.0,135.0,294.0,2.0,10.0,15.0,37.0,84.0,49.0,471.0,67.0,157.0,109.0,89.0,49.0
E01000955,1141.0,607.0,144.0,273.0,6.0,13.0,13.0,27.0,63.0,68.0,534.0,85.0,242.0,56.0,101.0,50.0
E01000956,1150.0,680.0,109.0,340.0,5.0,13.0,24.0,39.0,74.0,76.0,470.0,47.0,232.0,72.0,69.0,50.0
E01000957,1379.0,927.0,118.0,536.0,10.0,13.0,42.0,72.0,82.0,54.0,452.0,83.0,168.0,66.0,90.0,45.0
E01000958,1820.0,1105.0,136.0,614.0,7.0,20.0,45.0,73.0,93.0,117.0,715.0,58.0,398.0,86.0,98.0,75.0
E01000959,1252.0,685.0,151.0,326.0,5.0,9.0,22.0,26.0,64.0,82.0,567.0,104.0,228.0,78.0,96.0,61.0
E01000960,1380.0,1007.0,105.0,602.0,5.0,28.0,58.0,102.0,67.0,40.0,373.0,102.0,110.0,82.0,35.0,44.0
E01000961,1123.0,707.0,100.0,377.0,8.0,25.0,38.0,45.0,72.0,42.0,416.0,81.0,122.0,99.0,65.0,49.0
E01000962,1330.0,1131.0,74.0,781.0,3.0,36.0,54.0,106.0,50.0,27.0,199.0,56.0,70.0,30.0,22.0,21.0
E01000963,1416.0,896.0,66.0,603.0,4.0,40.0,53.0,71.0,38.0,21.0,520.0,99.0,173.0,158.0,21.0,69.0
E01000964,1220.0,896.0,82.0,576.0,4.0,35.0,42.0,85.0,51.0,21.0,324.0,78.0,101.0,59.0,41.0,45.0
E01000965,1243.0,964.0,88.0,683.0,4.0,27.0,34.0,68.0,29.0,31.0,279.0,78.0,88.0,38.0,45.0,30.0
E01000966,1237.0,1019.0,65.0,685.0,10.0,61.0,57.0,97.0,20.0,24.0,218.0,64.0,63.0,53.0,15.0,23.0
E01000967,1031.0,716.0,75.0,424.0,2.0,50.0,43.0,79.0,25.0,18.0,315.0,90.0,70.0,76.0,27.0,52.0
E01000968,1275.0,1013.0,84.0,729.0,2.0,34.0,38.0,67.0,39.0,20.0,262.0,85.0,55.0,59.0,32.0,31.0
E01000969,1720.0,1430.0,91.0,996.0,9.0,60.0,74.0,117.0,56.0,27.0,290.0,85.0,96.0,54.0,25.0,30.0
E01000970,1331.0,1140.0,65.0,833.0,4.0,28.0,42.0,109.0,39.0,20.0,191.0,53.0,56.0,20.0,35.0,27.0
E01000971,1177.0,945.0,86.0,604.0,2.0,35.0,59.0,91.0,38.0,30.0,232.0,82.0,60.0,39.0,36.0,15.0
E01000972,1611.0,1096.0,111.0,668.0,11.0,29.0,39.0,90.0,90.0,58.0,515.0,109.0,140.0,77.0,123.0,66.0
E01000973,1613.0,1247.0,115.0,825.0,1.0,26.0,45.0,100.0,88.0,47.0,366.0,82.0,126.0,50.0,70.0,38.0
E01000974,1414.0,1033.0,120.0,640.0,3.0,23.0,34.0,79.0,79.0,55.0,381.0,78.0,129.0,43.0,82.0,49.0
E01000975,1287.0,998.0,107.0,640.0,1.0,22.0,31.0,97.0,54.0,46.0,289.0,82.0,66.0,67.0,41.0,33.0
E01000976,1452.0,1082.0,137.0,643.0,1.0,32.0,37.0,83.0,82.0,67.0,370.0,124.0,78.0,78.0,45.0,45.0
E01000977,1350.0,994.0,137.0,617.0,3.0,9.0,31.0,54.0,104.0,39.0,356.0,126.0,45.0,49.0,103.0,33.0
E01000978,1424.0,1124.0,117.0,783.0,2.0,22.0,22.0,69.0,86.0,23.0,300.0,94.0,72.0,67.0,36.0,31.0
E01000979,1348.0,1083.0,123.0,733.0,0.0,12.0,35.0,95.0,53.0,32.0,265.0,91.0,49.0,63.0,31.0,31.0
E01000980,1045.0,783.0,121.0,488.0,4.0,11.0,25.0,52.0,56.0,26.0,262.0,61.0,77.0,58.0,34.0,32.0
E01000981,1187.0,923.0,146.0,574.0,3.0,11.0,33.0,61.0,57.0,38.0,264.0,87.0,59.0,63.0,33.0,22.0
E01000982,1213.0,931.0,148.0,567.0,2.0,11.0,25.0,65.0,70.0,43.0,282.0,85.0,56.0,57.0,50.0,34.0
E01000983,1311.0,1025.0,195.0,602.0,7.0,19.0,24.0,72.0,64.0,42.0,286.0,112.0,74.0,50.0,26.0,24.0
E01000984,1325.0,955.0,122.0,591.0,5.0,20.0,35.0,48.0,77.0,57.0,370.0,111.0,67.0,70.0,74.0,48.0
E01000985,1085.0,800.0,146.0,422.0,5.0,31.0,36.0,77.0,43.0,40.0,285.0,155.0,56.0,35.0,16.0,23.0
E01000986,1262.0,919.0,151.0,536.0,3.0,27.0,32.0,94.0,41.0,35.0,343.0,153.0,71.0,56.0,32.0,31.0
E01000987,1088.0,820.0,152.0,467.0,4.0,18.0,32.0,79.0,37.0,31.0,268.0,133.0,66.0,32.0,22.0,15.0
E01000989,1235.0,935.0,203.0,526.0,7.0,24.0,22.0,83.0,29.0,41.0,300.0,151.0,67.0,52.0,16.0,14.0
E01000990,1000.0,650.0,129.0,329.0,1.0,12.0,17.0,46.0,70.0,46.0,350.0,127.0,83.0,59.0,57.0,24.0
E01000991,1212.0,902.0,167.0,476.0,5.0,32.0,41.0,93.0,42.0,46.0,310.0,203.0,45.0,24.0,15.0,23.0
E01000992,1370.0,967.0,191.0,506.0,6.0,30.0,28.0,50.0,98.0,58.0,403.0,92.0,100.0,81.0,90.0,40.0
E01000993,1194.0,897.0,168.0,500.0,5.0,20.0,37.0,75.0,49.0,43.0,297.0,132.0,73.0,39.0,24.0,29.0
E01000994,1153.0,803.0,127.0,404.0,5.0,20.0,32.0,63.0,75.0,77.0,350.0,106.0,97.0,66.0,33.0,48.0
E01000995,1137.0,813.0,146.0,398.0,2.0,19.0,39.0,55.0,81.0,73.0,324.0,90.0,100.0,54.0,28.0,52.0
E01000996,949.0,691.0,105.0,390.0,3.0,11.0,29.0,46.0,46.0,61.0,258.0,93.0,75.0,35.0,27.0,28.0
E01000997,1005.0,708.0,122.0,368.0,5.0,14.0,10.0,52.0,71.0,66.0,297.0,86.0,79.0,49.0,49.0,34.0
E01000998,1170.0,838.0,137.0,448.0,7.0,28.0,22.0,49.0,82.0,65.0,332.0,80.0,90.0,67.0,62.0,33.0
E01000999,1016.0,708.0,103.0,394.0,5.0,24.0,28.0,53.0,50.0,51.0,308.0,95.0,81.0,49.0,38.0,45.0
E01001000,945.0,701.0,112.0,370.0,2.0,24.0,29.0,44.0,67.0,53.0,244.0,82.0,72.0,35.0,29.0,26.0
E01001001,861.0,599.0,105.0,320.0,2.0,12.0,19.0,36.0,74.0,31.0,262.0,68.0,67.0,42.0,39.0,46.0
E01001002,969.0,689.0,118.0,376.0,6.0,10.0,29.0,42.0,52.0,56.0,280.0,84.0,96.0,41.0,28.0,31.0
E01001003,1081.0,805.0,128.0,498.0,4.0,17.0,20.0,44.0,57.0,37.0,276.0,80.0,63.0,52.0,42.0,39.0
E01001004,1470.0,1052.0,190.0,586.0,9.0,8.0,35.0,50.0,89.0,85.0,418.0,55.0,129.0,104.0,53.0,77.0
E01001005,1172.0,847.0,175.0,413.0,7.0,20.0,24.0,52.0,78.0,78.0,325.0,75.0,86.0,89.0,24.0,51.0
E01001006,1045.0,773.0,141.0,422.0,5.0,5.0,25.0,54.0,64.0,57.0,272.0,48.0,67.0,80.0,39.0,38.0
E01001007,1396.0,967.0,206.0,468.0,4.0,17.0,26.0,54.0,90.0,102.0,429.0,100.0,127.0,100.0,48.0,54.0
E01001008,1110.0,743.0,172.0,366.0,6.0,15.0,17.0,39.0,76.0,52.0,367.0,79.0,111.0,100.0,39.0,38.0
