LSOA21CD,All categories: Economic activity_weighted,Economically active: Total_weighted,Economically active: Employee: Part-time_weighted,Economically active: Employee: Full-time_weighted,Economically active: Self-employed with employees: Part-time_weighted,Economically active: Self-employed with employees: Full-time_weighted,Economically active: Self-employed without employees: Part-time_weighted,Economically active: Self-employed without employees: Full-time_weighted,Economically active: Unemployed_weighted,Economically active: Full-time student_weighted,Economically inactive: Total_weighted,Economically inactive: Retired_weighted,Economically inactive: Student (including full-time students)_weighted,Economically inactive: Looking after home or family_weighted,Economically inactive: Long-term sick or disabled_weighted,Economically inactive: Other_weighted
E01000046,1188.0,838.0,159.0,428.0,3.0,19.0,33.0,69.0,90.0,37.0,350.0,82.0,94.0,88.0,57.0,29.0
E01000049,1112.0,732.0,147.0,290.0,7.0,12.0,25.0,42.0,125.0,84.0,380.0,66.0,99.0,114.0,54.0,47.0
E01000050,1112.0,685.0,120.0,321.0,4.0,16.0,25.0,48.0,81.0,70.0,427.0,102.0,113.0,99.0,60.0,53.0
E01000051,1252.0,738.0,150.0,306.0,5.0,19.0,20.0,27.0,132.0,79.0,514.0,46.0,141.0,134.0,109.0,84.0
E01000052,1385.0,971.0,179.0,484.0,6.0,23.0,33.0,68.0,84.0,94.0,414.0,101.0,96.0,86.0,75.0,56.0
E01000053,1029.0,711.0,99.0,395.0,5.0,29.0,18.0,50.0,81.0,34.0,318.0,93.0,62.0,55.0,61.0,47.0
E01000054,1150.0,790.0,160.0,418.0,3.0,10.0,27.0,53.0,81.0,38.0,360.0,107.0,81.0,82.0,66.0,24.0
E01000055,1093.0,770.0,130.0,406.0,2.0,21.0,29.0,55.0,85.0,42.0,323.0,89.0,80.0,79.0,48.0,27.0
E01000056,1048.0,700.0,132.0,354.0,4.0,14.0,22.0,45.0,82.0,47.0,348.0,101.0,76.0,76.0,64.0,31.0
E01000057,987.0,671.0,107.0,371.0,2.0,15.0,22.0,45.0,63.0,46.0,316.0,83.0,65.0,72.0,49.0,47.0
E01000058,1284.0,888.0,170.0,489.0,4.0,19.0,26.0,54.0,79.0,47.0,396.0,104.0,93.0,91.0,68.0,40.0
E01000059,1050.0,709.0,135.0,402.0,5.0,11.0,16.0,36.0,71.0,33.0,341.0,90.0,74.0,78.0,64.0,35.0
E01000060,1174.0,790.0,149.0,409.0,5.0,23.0,28.0,42.0,95.0,39.0,384.0,124.0,72.0,84.0,68.0,36.0
E01000061,1154.0,746.0,130.0,366.0,4.0,5.0,20.0,26.0,139.0,56.0,408.0,36.0,114.0,125.0,73.0,60.0
E01000062,1299.0,908.0,149.0,495.0,4.0,12.0,22.0,51.0,112.0,63.0,391.0,129.0,75.0,92.0,59.0,36.0
E01000063,1101.0,757.0,156.0,392.0,0.0,21.0,19.0,60.0,88.0,21.0,344.0,104.0,61.0,84.0,71.0,24.0
E01000064,1252.0,855.0,159.0,437.0,4.0,18.0,34.0,68.0,85.0,50.0,397.0,109.0,99.0,84.0,63.0,42.0
E01000065,1157.0,756.0,135.0,379.0,4.0,13.0,34.0,67.0,86.0,38.0,401.0,128.0,84.0,72.0,79.0,38.0
E01000066,1323.0,877.0,153.0,476.0,6.0,28.0,39.0,64.0,65.0,46.0,446.0,111.0,95.0,114.0,69.0,57.0
E01000067,1394.0,916.0,178.0,452.0,3.0,23.0,45.0,70.0,80.0,65.0,478.0,135.0,138.0,110.0,46.0,49.0
E01000068,1171.0,800.0,146.0,408.0,8.0,29.0,33.0,57.0,48.0,71.0,371.0,104.0,106.0,89.0,23.0,49.0
E01000069,1267.0,862.0,164.0,461.0,8.0,20.0,33.0,70.0,37.0,69.0,405.0,112.0,130.0,95.0,28.0,40.0
E01000070,1410.0,945.0,161.0,485.0,11.0,37.0,34.0,81.0,76.0,60.0,465.0,159.0,134.0,94.0,26.0,52.0
E01000071,1571.0,1081.0,184.0,578.0,9.0,28.0,50.0,78.0,86.0,68.0,490.0,149.0,130.0,122.0,31.0,58.0
E01000072,1331.0,847.0,147.0,431.0,4.0,12.0,18.0,65.0,101.0,69.0,484.0,123.0,91.0,128.0,100.0,42.0
E01000073,1074.0,736.0,141.0,389.0,3.0,17.0,30.0,46.0,75.0,35.0,338.0,89.0,66.0,92.0,62.0,29.0
E01000074,1052.0,724.0,139.0,374.0,4.0,16.0,26.0,47.0,68.0,50.0,328.0,101.0,61.0,67.0,63.0,36.0
E01000075,1204.0,758.0,155.0,400.0,3.0,20.0,25.0,52.0,70.0,33.0,446.0,157.0,97.0,72.0,66.0,54.0
E01000076,1296.0,856.0,153.0,447.0,7.0,11.0,21.0,70.0,94.0,53.0,440.0,114.0,87.0,96.0,98.0,45.0
E01000077,1031.0,710.0,136.0,350.0,3.0,16.0,21.0,57.0,84.0,43.0,321.0,81.0,68.0,69.0,72.0,31.0
E01000078,1144.0,722.0,129.0,371.0,2.0,21.0,24.0,40.0,87.0,48.0,422.0,112.0,78.0,107.0,66.0,59.0
E01000079,1026.0,649.0,129.0,344.0,4.0,10.0,20.0,44.0,69.0,29.0,377.0,120.0,62.0,76.0,76.0,43.0
E01000080,1062.0,721.0,133.0,364.0,6.0,13.0,30.0,39.0,96.0,40.0,341.0,93.0,79.0,65.0,67.0,37.0
E01000081,1173.0,788.0,142.0,433.0,2.0,18.0,18.0,58.0,69.0,48.0,385.0,102.0,69.0,92.0,69.0,53.0
E01000082,1158.0,759.0,143.0,411.0,4.0,18.0,24.0,44.0,80.0,35.0,399.0,119.0,72.0,84.0,83.0,41.0
E01000083,1155.0,762.0,139.0,403.0,5.0,12.0,39.0,49.0,81.0,34.0,393.0,116.0,69.0,97.0,67.0,44.0
E01000084,920.0,640.0,135.0,318.0,4.0,7.0,23.0,47.0,63.0,43.0,280.0,81.0,52.0,78.0,35.0,34.0
E01000085,1162.0,745.0,138.0,367.0,2.0,17.0,34.0,46.0,104.0,37.0,417.0,118.0,59.0,94.0,87.0,59.0
E01000086,985.0,695.0,124.0,378.0,2.0,13.0,17.0,45.0,72.0,44.0,290.0,89.0,60.0,62.0,47.0,32.0
E01000087,942.0,636.0,124.0,328.0,5.0,17.0,21.0,46.0,63.0,32.0,306.0,91.0,66.0,61.0,52.0,36.0
E01000088,1216.0,846.0,148.0,441.0,6.0,13.0,31.0,65.0,75.0,67.0,370.0,107.0,76.0,80.0,57.0,50.0
E01000089,1143.0,810.0,168.0,415.0,2.0,11.0,18.0,72.0,73.0,51.0,333.0,80.0,89.0,97.0,37.0,30.0
E01000090,1068.0,746.0,133.0,381.0,9.0,12.0,31.0,60.0,67.0,53.0,322.0,94.0,94.0,57.0,40.0,37.0
E01000091,1069.0,698.0,113.0,356.0,5.0,20.0,18.0,36.0,93.0,57.0,371.0,82.0,85.0,102.0,59.0,43.0
E01000093,1048.0,690.0,133.0,310.0,6.0,20.0,21.0,47.0,95.0,58.0,358.0,63.0,71.0,87.0,89.0,48.0
E01000094,922.0,707.0,110.0,366.0,4.0,12.0,32.0,62.0,70.0,51.0,215.0,15.0,64.0,54.0,33.0,49.0
E01000095,1061.0,761.0,142.0,398.0,3.0,18.0,29.0,55.0,77.0,39.0,300.0,69.0,84.0,67.0,47.0,33.0
E01000096,1188.0,765.0,151.0,340.0,9.0,15.0,15.0,40.0,118.0,77.0,423.0,52.0,121.0,117.0,70.0,63.0
E01000097,1089.0,717.0,161.0,369.0,7.0,14.0,32.0,44.0,66.0,24.0,372.0,124.0,68.0,92.0,62.0,26.0
E01000098,1186.0,803.0,130.0,417.0,4.0,14.0,28.0,49.0,109.0,52.0,383.0,84.0,90.0,95.0,65.0,49.0
E01000099,1191.0,827.0,178.0,424.0,3.0,14.0,19.0,65.0,91.0,33.0,364.0,110.0,70.0,76.0,68.0,40.0
E01000100,1114.0,755.0,130.0,399.0,6.0,13.0,20.0,48.0,96.0,43.0,359.0,118.0,72.0,79.0,63.0,27.0
E01000101,1078.0,715.0,140.0,402.0,6.0,21.0,13.0,39.0,62.0,32.0,363.0,109.0,70.0,85.0,63.0,36.0
E01000102,1057.0,709.0,120.0,398.0,4.0,14.0,21.0,44.0,80.0,28.0,348.0,110.0,60.0,83.0,68.0,27.0
E01000103,1179.0,802.0,144.0,395.0,5.0,18.0,25.0,45.0,103.0,67.0,377.0,85.0,108.0,77.0,63.0,44.0
E01000104,1216.0,834.0,143.0,418.0,0.0,18.0,19.0,48.0,131.0,57.0,382.0,91.0,89.0,76.0,68.0,58.0
E01000105,1441.0,945.0,151.0,507.0,1.0,19.0,24.0,54.0,145.0,44.0,496.0,146.0,82.0,98.0,107.0,63.0
E01000106,1355.0,872.0,142.0,483.0,3.0,12.0,22.0,58.0,102.0,50.0,483.0,125.0,80.0,100.0,111.0,67.0
E01000107,1117.0,775.0,145.0,406.0,4.0,13.0,32.0,58.0,72.0,45.0,342.0,139.0,63.0,67.0,37.0,36.0
E01000108,1156.0,832.0,155.0,470.0,4.0,13.0,14.0,54.0,78.0,44.0,324.0,130.0,67.0,53.0,38.0,36.0
E01000110,1026.0,736.0,131.0,410.0,4.0,13.0,24.0,62.0,54.0,38.0,290.0,120.0,63.0,54.0,38.0,15.0
E01000111,1256.0,856.0,160.0,442.0,6.0,12.0,29.0,71.0,88.0,48.0,400.0,132.0,92.0,98.0,48.0,30.0
E01000112,1357.0,975.0,161.0,544.0,7.0,20.0,32.0,82.0,88.0,41.0,382.0,109.0,94.0,86.0,44.0,49.0
E01000113,1196.0,862.0,159.0,490.0,5.0,11.0,23.0,52.0,83.0,39.0,334.0,118.0,68.0,76.0,34.0,38.0
E01000114,1450.0,993.0,174.0,544.0,7.0,23.0,36.0,80.0,65.0,64.0,457.0,156.0,84.0,105.0,54.0,58.0
E01000115,1066.0,743.0,147.0,333.0,12.0,61.0,53.0,71.0,32.0,34.0,323.0,125.0,86.0,63.0,23.0,26.0
E01000116,1228.0,913.0,191.0,456.0,6.0,40.0,51.0,96.0,37.0,36.0,315.0,161.0,62.0,46.0,23.0,23.0
E01000117,1314.0,955.0,155.0,506.0,8.0,36.0,60.0,96.0,68.0,26.0,359.0,162.0,83.0,58.0,35.0,21.0
E01000118,1390.0,1047.0,203.0,533.0,15.0,39.0,54.0,84.0,79.0,40.0,343.0,141.0,85.0,59.0,32.0,26.0
E01000119,1241.0,844.0,140.0,444.0,6.0,47.0,55.0,81.0,49.0,22.0,397.0,187.0,94.0,59.0,31.0,26.0
E01000120,1081.0,737.0,129.0,374.0,14.0,38.0,45.0,69.0,32.0,36.0,344.0,147.0,95.0,55.0,19.0,28.0
E01000121,988.0,625.0,135.0,303.0,3.0,9.0,28.0,47.0,74.0,26.0,363.0,71.0,99.0,78.0,80.0,35.0
E01000122,1088.0,788.0,129.0,426.0,10.0,46.0,41.0,78.0,37.0,21.0,300.0,128.0,86.0,38.0,25.0,23.0
E01000123,1283.0,978.0,160.0,517.0,9.0,32.0,58.0,93.0,73.0,36.0,305.0,103.0,67.0,56.0,36.0,43.0
E01000124,1206.0,865.0,141.0,470.0,5.0,20.0,45.0,71.0,73.0,40.0,341.0,100.0,83.0,76.0,44.0,38.0
E01000126,1485.0,1014.0,177.0,469.0,9.0,15.0,49.0,83.0,118.0,94.0,471.0,57.0,167.0,116.0,76.0,55.0
E01000127,1074.0,747.0,130.0,371.0,1.0,16.0,34.0,76.0,73.0,46.0,327.0,72.0,88.0,72.0,60.0,35.0
E01000128,1283.0,897.0,156.0,442.0,6.0,25.0,45.0,93.0,70.0,60.0,386.0,106.0,109.0,88.0,38.0,45.0
E01000129,1252.0,810.0,168.0,356.0,7.0,19.0,44.0,72.0,73.0,71.0,442.0,94.0,100.0,93.0,67.0,88.0
E01000130,1183.0,820.0,149.0,412.0,11.0,20.0,44.0,61.0,81.0,42.0,363.0,74.0,105.0,67.0,72.0,45.0
E01000131,1342.0,903.0,165.0,440.0,4.0,36.0,50.0,96.0,53.0,59.0,439.0,135.0,108.0,83.0,65.0,48.0
E01000132,1027.0,718.0,136.0,351.0,4.0,18.0,27.0,70.0,64.0,48.0,309.0,76.0,83.0,67.0,33.0,50.0
E01000133,1125.0,737.0,135.0,371.0,5.0,20.0,30.0,59.0,74.0,43.0,388.0,94.0,99.0,75.0,73.0,47.0
E01000134,1181.0,847.0,173.0,395.0,11.0,16.0,35.0,84.0,92.0,41.0,334.0,89.0,95.0,61.0,40.0,49.0
E01000135,1123.0,774.0,116.0,360.0,10.0,56.0,75.0,71.0,47.0,39.0,349.0,82.0,132.0,68.0,22.0,45.0
E01000136,1040.0,728.0,88.0,366.0,17.0,68.0,63.0,86.0,20.0,20.0,312.0,88.0,95.0,86.0,18.0,25.0
E01000137,1177.0,756.0,138.0,389.0,1.0,15.0,39.0,73.0,64.0,37.0,421.0,108.0,97.0,82.0,75.0,59.0
E01000138,1063.0,728.0,127.0,325.0,10.0,34.0,52.0,90.0,48.0,42.0,335.0,95.0,111.0,69.0,25.0,35.0
E01000139,1103.0,811.0,108.0,401.0,10.0,47.0,62.0,88.0,61.0,34.0,292.0,76.0,96.0,62.0,25.0,33.0
E01000140,1296.0,923.0,126.0,453.0,10.0,39.0,68.0,99.0,70.0,58.0,373.0,84.0,147.0,44.0,46.0,52.0
E01000141,1656.0,1278.0,182.0,635.0,15.0,32.0,95.0,124.0,104.0,91.0,378.0,58.0,158.0,71.0,52.0,39.0
