LSOA11CD,Borough,All categories: Distance travelled to work,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Work mainly at or from home,Other,Total distance (km),Average distance (km)
E01000826,Bromley ,782,65.0,131.0,111.0,248.0,23.0,10.0,9.0,15.0,90.0,80.0,8800.3,14.4
E01000827,Bromley ,780,85.0,95.0,99.0,288.0,18.0,13.0,4.0,9.0,88.0,81.0,7798.0,12.8
E01000828,Bromley ,784,107.0,89.0,67.0,326.0,22.0,17.0,9.0,9.0,76.0,62.0,8174.3,12.7
E01000829,Bromley ,954,137.0,73.0,97.0,395.0,37.0,15.0,10.0,13.0,100.0,77.0,10250.3,13.2
E01000830,Bromley ,717,69.0,114.0,99.0,233.0,11.0,6.0,6.0,11.0,114.0,54.0,7740.7,14.1
E01000831,Bromley ,793,81.0,82.0,98.0,307.0,23.0,8.0,3.0,12.0,112.0,67.0,8424.5,13.7
E01000832,Bromley ,723,71.0,120.0,92.0,226.0,19.0,5.0,3.0,4.0,105.0,78.0,5848.3,10.8
E01000833,Bromley ,675,60.0,119.0,90.0,214.0,22.0,10.0,3.0,8.0,74.0,75.0,6283.1,11.9
E01000834,Bromley ,706,77.0,133.0,89.0,224.0,20.0,3.0,4.0,6.0,69.0,81.0,6470.3,11.6
E01000835,Bromley ,795,90.0,114.0,128.0,240.0,20.0,8.0,4.0,8.0,103.0,80.0,7009.9,11.5
E01000836,Bromley ,711,72.0,127.0,97.0,249.0,31.0,12.0,4.0,3.0,72.0,44.0,7431.2,12.5
E01000837,Bromley ,686,77.0,122.0,81.0,231.0,24.0,9.0,9.0,8.0,68.0,57.0,6892.2,12.3
E01000838,Bromley ,671,68.0,108.0,101.0,199.0,20.0,11.0,6.0,5.0,85.0,68.0,6523.6,12.6
E01000839,Bromley ,766,73.0,111.0,94.0,298.0,34.0,12.0,4.0,8.0,73.0,59.0,8291.4,13.1
E01000840,Bromley ,685,67.0,106.0,96.0,221.0,27.0,3.0,5.0,5.0,86.0,69.0,5940.4,11.2
E01000841,Bromley ,779,97.0,142.0,100.0,252.0,16.0,4.0,4.0,10.0,92.0,62.0,7219.9,11.6
E01000842,Camden ,849,76.0,193.0,293.0,55.0,6.0,3.0,8.0,8.0,147.0,60.0,4935.8,7.7
E01000843,Camden ,909,88.0,222.0,300.0,62.0,2.0,3.0,3.0,14.0,133.0,82.0,5645.4,8.1
E01000844,Camden ,1089,74.0,273.0,370.0,100.0,11.0,6.0,7.0,14.0,172.0,62.0,7879.6,9.2
E01000845,Camden ,847,70.0,245.0,259.0,57.0,10.0,1.0,3.0,14.0,122.0,66.0,5987.9,9.1
E01000846,Camden ,582,79.0,182.0,137.0,24.0,9.0,1.0,2.0,5.0,75.0,68.0,2864.4,6.5
E01000847,Camden ,712,72.0,186.0,206.0,49.0,11.0,4.0,4.0,5.0,117.0,58.0,4036.6,7.5
E01000848,Camden ,1008,91.0,211.0,369.0,71.0,15.0,7.0,5.0,19.0,156.0,64.0,8026.8,10.2
E01000849,Camden ,982,96.0,229.0,354.0,64.0,19.0,4.0,2.0,11.0,120.0,83.0,6424.0,8.2
E01000850,Camden ,937,398.0,206.0,66.0,39.0,16.0,10.0,3.0,19.0,122.0,58.0,5108.1,6.7
E01000851,Camden ,1017,390.0,248.0,78.0,31.0,9.0,5.0,5.0,25.0,140.0,86.0,6992.1,8.8
E01000852,Camden ,497,181.0,111.0,50.0,16.0,6.0,2.0,5.0,11.0,59.0,56.0,2736.2,7.2
E01000853,Camden ,622,229.0,168.0,51.0,32.0,3.0,2.0,4.0,9.0,75.0,49.0,3221.5,6.5
E01000854,Camden ,638,238.0,150.0,53.0,30.0,10.0,4.0,2.0,13.0,76.0,62.0,4582.8,9.2
E01000855,Camden ,1110,503.0,227.0,92.0,31.0,12.0,0.0,2.0,14.0,148.0,81.0,5467.1,6.2
E01000856,Camden ,731,109.0,258.0,131.0,24.0,5.0,3.0,2.0,9.0,111.0,79.0,3683.5,6.8
E01000857,Camden ,773,91.0,268.0,157.0,50.0,7.0,2.0,3.0,13.0,127.0,55.0,5377.6,9.1
E01000858,Camden ,801,127.0,274.0,157.0,43.0,10.0,5.0,7.0,4.0,87.0,87.0,3832.8,6.1
E01000859,Camden ,992,92.0,329.0,183.0,41.0,10.0,0.0,2.0,22.0,227.0,86.0,6944.3,10.2
E01000860,Camden ,656,130.0,236.0,100.0,21.0,3.0,1.0,3.0,9.0,103.0,50.0,3910.4,7.8
E01000861,Camden ,839,143.0,299.0,122.0,37.0,12.0,2.0,4.0,14.0,121.0,85.0,4792.4,7.6
E01000862,Camden ,1020,121.0,388.0,160.0,27.0,9.0,4.0,11.0,17.0,200.0,83.0,7167.4,9.7
E01000863,Camden ,907,134.0,340.0,115.0,31.0,6.0,5.0,7.0,15.0,172.0,82.0,5228.3,8.0
E01000864,Camden ,876,140.0,350.0,144.0,34.0,12.0,2.0,4.0,17.0,116.0,57.0,6270.4,8.9
E01000865,Camden ,642,65.0,268.0,102.0,22.0,6.0,0.0,7.0,11.0,88.0,73.0,4080.5,8.5
E01000866,Camden ,1044,120.0,404.0,211.0,48.0,16.0,3.0,2.0,18.0,118.0,104.0,7149.2,8.7
E01000867,Camden ,700,118.0,289.0,111.0,39.0,10.0,2.0,2.0,7.0,65.0,57.0,4193.3,7.3
E01000868,Camden ,605,135.0,204.0,94.0,22.0,3.0,1.0,6.0,5.0,75.0,60.0,2897.6,6.2
E01000869,Camden ,1166,128.0,465.0,208.0,56.0,10.0,4.0,5.0,15.0,173.0,102.0,7161.9,8.0
E01000870,Camden ,873,122.0,282.0,182.0,33.0,10.0,3.0,4.0,19.0,131.0,87.0,8268.4,12.6
E01000871,Camden ,865,67.0,133.0,358.0,73.0,11.0,10.0,2.0,10.0,122.0,79.0,6547.9,9.9
E01000872,Camden ,1191,60.0,210.0,541.0,124.0,16.0,6.0,4.0,14.0,93.0,123.0,11014.6,11.3
E01000873,Camden ,1004,60.0,130.0,465.0,96.0,20.0,9.0,10.0,10.0,120.0,84.0,8550.6,10.7
E01000874,Camden ,943,55.0,113.0,468.0,82.0,19.0,7.0,6.0,10.0,119.0,64.0,7711.0,10.1
E01000875,Camden ,982,56.0,132.0,458.0,103.0,13.0,0.0,4.0,10.0,110.0,96.0,7577.2,9.8
E01000876,Camden ,839,65.0,136.0,373.0,67.0,23.0,6.0,4.0,5.0,67.0,93.0,5877.1,8.7
E01000877,Camden ,973,60.0,127.0,480.0,98.0,12.0,3.0,7.0,9.0,106.0,71.0,7810.6,9.8
E01000878,Camden ,675,43.0,67.0,307.0,61.0,10.0,4.0,3.0,12.0,123.0,45.0,5771.5,11.4
E01000879,Camden ,737,62.0,83.0,331.0,57.0,12.0,8.0,4.0,14.0,106.0,60.0,6125.6,10.7
E01000880,Camden ,790,58.0,93.0,327.0,70.0,10.0,2.0,3.0,9.0,162.0,56.0,5740.4,10.0
E01000881,Camden ,795,58.0,120.0,320.0,64.0,9.0,5.0,7.0,12.0,141.0,59.0,6067.4,10.2
E01000882,Camden ,954,58.0,199.0,341.0,88.0,10.0,8.0,8.0,12.0,163.0,67.0,7381.2,10.2
E01000883,Camden ,717,52.0,128.0,279.0,67.0,21.0,10.0,2.0,2.0,107.0,49.0,4597.8,8.2
E01000884,Camden ,716,39.0,80.0,317.0,55.0,8.0,4.0,2.0,9.0,150.0,52.0,6044.1,11.8
E01000885,Camden ,664,44.0,58.0,285.0,30.0,7.0,3.0,2.0,8.0,184.0,43.0,4560.3,10.4
E01000886,Camden ,802,92.0,197.0,225.0,53.0,15.0,2.0,1.0,11.0,138.0,68.0,4810.8,8.1
E01000887,Camden ,885,110.0,185.0,329.0,39.0,15.0,5.0,3.0,9.0,123.0,67.0,6043.7,8.7
E01000888,Camden ,812,102.0,178.0,269.0,37.0,11.0,6.0,3.0,7.0,105.0,94.0,4800.5,7.8
E01000889,Camden ,659,155.0,187.0,128.0,39.0,4.0,2.0,5.0,7.0,59.0,73.0,4280.7,8.1
E01000890,Camden ,575,143.0,170.0,122.0,29.0,5.0,3.0,1.0,5.0,47.0,50.0,3002.2,6.3
E01000891,Camden ,540,109.0,156.0,145.0,24.0,5.0,2.0,4.0,6.0,49.0,40.0,3357.2,7.4
E01000892,Camden ,943,124.0,237.0,278.0,68.0,13.0,1.0,6.0,13.0,137.0,66.0,5872.3,7.9
E01000893,Camden ,900,62.0,146.0,304.0,47.0,6.0,4.0,8.0,18.0,225.0,80.0,5683.3,9.6
E01000894,Camden ,767,61.0,81.0,353.0,43.0,8.0,0.0,3.0,9.0,171.0,38.0,5615.0,10.1
E01000895,Camden ,893,85.0,111.0,371.0,61.0,6.0,3.0,3.0,15.0,165.0,73.0,6371.0,9.7
E01000896,Camden ,910,70.0,116.0,381.0,79.0,14.0,1.0,8.0,9.0,171.0,61.0,5980.8,8.8
E01000897,Camden ,870,67.0,134.0,364.0,57.0,8.0,5.0,5.0,9.0,173.0,48.0,5981.1,9.2
E01000898,Camden ,978,336.0,180.0,255.0,46.0,6.0,2.0,3.0,5.0,100.0,45.0,3833.7,4.6
E01000899,Camden ,826,86.0,58.0,357.0,48.0,11.0,2.0,3.0,16.0,203.0,42.0,6421.8,11.1
E01000900,Camden ,885,149.0,263.0,193.0,58.0,9.0,5.0,2.0,6.0,122.0,78.0,4193.4,6.1
E01000901,Camden ,680,131.0,219.0,148.0,28.0,8.0,3.0,3.0,3.0,71.0,66.0,3160.2,5.8
E01000902,Camden ,550,122.0,163.0,131.0,30.0,10.0,2.0,2.0,7.0,38.0,45.0,4250.3,9.1
E01000903,Camden ,768,88.0,200.0,203.0,54.0,13.0,4.0,5.0,6.0,130.0,65.0,4377.4,7.6
E01000904,Camden ,1016,181.0,338.0,240.0,55.0,6.0,3.0,3.0,11.0,83.0,96.0,6546.4,7.8
E01000905,Camden ,693,143.0,225.0,126.0,43.0,10.0,4.0,5.0,12.0,63.0,62.0,5175.2,9.1
E01000906,Camden ,945,91.0,286.0,282.0,54.0,18.0,6.0,7.0,11.0,119.0,71.0,6291.9,8.3
E01000907,Camden ,639,80.0,131.0,230.0,39.0,10.0,6.0,6.0,9.0,74.0,54.0,4730.7,9.3
E01000908,Camden ,758,72.0,176.0,258.0,44.0,3.0,1.0,9.0,11.0,111.0,73.0,6537.1,11.4
E01000909,Camden ,836,83.0,159.0,303.0,43.0,5.0,2.0,3.0,11.0,169.0,58.0,5589.9,9.2
E01000910,Camden ,810,78.0,194.0,270.0,31.0,9.0,1.0,2.0,8.0,143.0,74.0,5169.0,8.7
E01000911,Camden ,755,68.0,188.0,232.0,42.0,6.0,1.0,5.0,10.0,125.0,78.0,4449.5,8.1
E01000912,Camden ,757,122.0,200.0,181.0,50.0,12.0,4.0,1.0,7.0,98.0,82.0,4118.8,7.1
E01000913,Camden ,938,53.0,119.0,398.0,46.0,11.0,6.0,3.0,11.0,229.0,62.0,5544.8,8.6
E01000914,Camden ,952,381.0,205.0,75.0,28.0,8.0,4.0,5.0,22.0,166.0,58.0,5895.6,8.1
E01000915,Camden ,675,271.0,164.0,74.0,24.0,8.0,1.0,1.0,14.0,61.0,57.0,4168.5,7.5
E01000916,Camden ,972,438.0,236.0,88.0,32.0,5.0,3.0,5.0,13.0,90.0,62.0,4952.7,6.0
E01000917,Camden ,726,269.0,183.0,73.0,39.0,11.0,2.0,7.0,9.0,67.0,66.0,3750.8,6.3
E01000918,Camden ,1038,351.0,267.0,70.0,57.0,11.0,0.0,2.0,19.0,172.0,89.0,5942.5,7.6
E01000919,Camden ,1008,326.0,243.0,65.0,124.0,4.0,1.0,4.0,16.0,119.0,106.0,6519.9,8.3
E01000920,Camden ,1094,441.0,243.0,82.0,21.0,13.0,3.0,5.0,18.0,184.0,84.0,5667.8,6.9
E01000921,Camden ,1257,108.0,428.0,341.0,70.0,15.0,7.0,8.0,12.0,172.0,96.0,7403.7,7.5
E01000922,Camden ,756,105.0,262.0,145.0,38.0,11.0,3.0,5.0,14.0,91.0,82.0,5086.9,8.7
E01000923,Camden ,795,95.0,259.0,203.0,29.0,8.0,8.0,5.0,10.0,109.0,69.0,4710.8,7.6
E01000924,Camden ,989,100.0,369.0,227.0,36.0,10.0,1.0,5.0,16.0,115.0,110.0,6989.6,9.1
E01000925,Camden ,583,86.0,207.0,118.0,33.0,12.0,2.0,1.0,12.0,68.0,44.0,4335.5,9.2
E01000926,Camden ,1103,159.0,542.0,175.0,34.0,5.0,4.0,2.0,13.0,99.0,70.0,6620.4,7.1
E01000927,Camden ,998,125.0,331.0,227.0,45.0,6.0,4.0,8.0,13.0,136.0,103.0,5961.2,7.9
E01000928,Camden ,846,104.0,234.0,214.0,48.0,12.0,3.0,5.0,12.0,141.0,73.0,5067.0,8.0
E01000929,Camden ,641,97.0,187.0,138.0,59.0,11.0,2.0,3.0,6.0,83.0,55.0,3881.7,7.7
E01000930,Camden ,814,70.0,261.0,245.0,59.0,9.0,1.0,4.0,13.0,94.0,58.0,5706.9,8.6
E01000931,Camden ,897,77.0,215.0,371.0,74.0,8.0,1.0,2.0,8.0,70.0,71.0,6380.6,8.4
E01000932,Camden ,1223,83.0,224.0,540.0,123.0,11.0,9.0,8.0,22.0,105.0,98.0,10863.2,10.7
E01000933,Camden ,1037,68.0,258.0,364.0,93.0,20.0,5.0,6.0,15.0,133.0,75.0,7811.7,9.4
E01000934,Camden ,663,100.0,214.0,161.0,35.0,8.0,3.0,4.0,10.0,62.0,66.0,4557.3,8.5
E01000935,Camden ,594,84.0,182.0,165.0,34.0,6.0,1.0,6.0,7.0,50.0,59.0,3668.2,7.6
E01000936,Camden ,612,201.0,153.0,61.0,20.0,15.0,1.0,2.0,8.0,92.0,59.0,2977.4,6.5
E01000937,Camden ,513,205.0,118.0,35.0,16.0,7.0,3.0,10.0,15.0,69.0,35.0,4320.7,10.6
E01000938,Camden ,801,244.0,242.0,96.0,35.0,8.0,4.0,2.0,7.0,87.0,76.0,4244.2,6.7
E01000939,Camden ,391,119.0,98.0,50.0,19.0,8.0,2.0,5.0,4.0,41.0,45.0,2549.6,8.4
E01000940,Camden ,394,145.0,107.0,41.0,11.0,3.0,0.0,3.0,3.0,41.0,40.0,1456.7,4.7
E01000941,Camden ,476,157.0,117.0,50.0,26.0,4.0,1.0,5.0,10.0,51.0,55.0,3028.6,8.2
E01000942,Camden ,694,199.0,193.0,71.0,25.0,10.0,7.0,5.0,16.0,96.0,72.0,5596.6,10.6
E01000943,Camden ,499,184.0,118.0,50.0,18.0,2.0,1.0,1.0,14.0,57.0,54.0,3581.0,9.2
E01000944,Camden ,564,166.0,179.0,45.0,24.0,11.0,5.0,6.0,9.0,42.0,77.0,3440.1,7.7
E01000945,Camden ,667,221.0,176.0,65.0,26.0,5.0,3.0,7.0,7.0,75.0,82.0,3001.9,5.9
E01000946,Camden ,756,222.0,263.0,68.0,25.0,9.0,1.0,3.0,4.0,101.0,60.0,3195.1,5.4
E01000947,Camden ,1014,227.0,368.0,124.0,70.0,8.0,5.0,8.0,15.0,111.0,78.0,7152.8,8.7
E01000948,Camden ,905,189.0,360.0,80.0,36.0,8.0,2.0,5.0,9.0,145.0,71.0,5029.7,7.3
E01000949,Camden ,749,245.0,274.0,90.0,39.0,13.0,1.0,1.0,6.0,28.0,52.0,3830.9,5.7
E01000950,Camden ,485,154.0,144.0,46.0,25.0,7.0,1.0,3.0,3.0,45.0,57.0,1949.6,5.1
E01000951,Camden ,497,157.0,152.0,52.0,29.0,10.0,1.0,1.0,8.0,32.0,55.0,3495.1,8.5
E01000952,Camden ,654,166.0,233.0,81.0,33.0,6.0,3.0,2.0,6.0,71.0,53.0,3054.1,5.8
E01000953,Camden ,594,172.0,180.0,78.0,29.0,14.0,1.0,3.0,8.0,52.0,57.0,3345.3,6.9
E01000954,Camden ,527,154.0,203.0,50.0,21.0,9.0,4.0,2.0,3.0,25.0,56.0,2372.3,5.3
E01000955,Camden ,523,205.0,159.0,63.0,22.0,5.0,1.0,1.0,3.0,30.0,34.0,1939.6,4.2
E01000956,Camden ,586,199.0,163.0,57.0,23.0,4.0,2.0,7.0,8.0,64.0,59.0,3291.7,7.1
E01000957,Camden ,829,141.0,324.0,124.0,43.0,8.0,7.0,5.0,11.0,88.0,78.0,4734.6,7.1
E01000958,Camden ,969,196.0,379.0,131.0,54.0,16.0,6.0,4.0,14.0,65.0,104.0,6798.2,8.5
E01000959,Camden ,602,140.0,204.0,81.0,24.0,9.0,3.0,2.0,11.0,49.0,79.0,3733.8,7.9
E01000960,Camden ,926,76.0,207.0,330.0,83.0,22.0,3.0,2.0,8.0,117.0,78.0,5551.9,7.6
E01000961,Camden ,622,79.0,195.0,154.0,51.0,9.0,2.0,2.0,10.0,76.0,44.0,4648.5,9.3
E01000962,Camden ,1076,83.0,213.0,432.0,121.0,21.0,2.0,11.0,15.0,106.0,72.0,8644.3,9.6
E01000963,Camden ,853,61.0,223.0,264.0,67.0,13.0,5.0,7.0,12.0,144.0,57.0,6530.0,10.0
E01000964,Camden ,842,83.0,129.0,340.0,85.0,20.0,5.0,3.0,8.0,101.0,68.0,6410.4,9.5
E01000965,Camden ,928,59.0,206.0,394.0,81.0,26.0,1.0,8.0,10.0,81.0,62.0,7030.8,9.0
E01000966,Camden ,997,64.0,217.0,379.0,99.0,21.0,9.0,5.0,17.0,133.0,53.0,7803.0,9.6
E01000967,Camden ,684,73.0,207.0,152.0,44.0,5.0,4.0,3.0,9.0,136.0,51.0,4105.5,8.3
E01000968,Camden ,973,49.0,168.0,467.0,93.0,19.0,10.0,7.0,9.0,90.0,61.0,7883.8,9.6
E01000969,Camden ,1369,70.0,173.0,683.0,142.0,29.0,15.0,8.0,12.0,109.0,128.0,11350.2,10.0
E01000970,Camden ,1098,60.0,148.0,571.0,107.0,21.0,8.0,5.0,12.0,86.0,80.0,8810.6,9.5
E01000971,Camden ,903,62.0,109.0,425.0,88.0,18.0,10.0,4.0,12.0,101.0,74.0,7420.4,10.2
E01000972,Camden ,985,92.0,197.0,381.0,85.0,25.0,4.0,9.0,12.0,84.0,96.0,7565.4,9.4
E01000973,Camden ,1149,86.0,181.0,538.0,101.0,20.0,8.0,9.0,11.0,94.0,101.0,9633.3,10.1
E01000974,Camden ,940,95.0,143.0,432.0,80.0,11.0,10.0,4.0,12.0,74.0,79.0,7717.1,9.8
E01000975,Croydon ,935,146.0,82.0,81.0,384.0,29.0,11.0,9.0,17.0,92.0,84.0,10765.5,14.2
E01000976,Croydon ,985,175.0,83.0,106.0,334.0,43.0,17.0,4.0,23.0,97.0,103.0,12231.9,15.6
E01000977,Croydon ,882,134.0,104.0,84.0,338.0,34.0,12.0,9.0,13.0,62.0,92.0,9796.3,13.5
E01000978,Croydon ,1031,155.0,100.0,98.0,431.0,47.0,23.0,3.0,22.0,75.0,77.0,13649.8,15.5
E01000979,Croydon ,1025,155.0,93.0,97.0,433.0,47.0,11.0,3.0,11.0,87.0,88.0,11040.9,13.0
E01000980,Croydon ,721,141.0,114.0,73.0,230.0,28.0,7.0,5.0,7.0,57.0,59.0,6239.4,10.3
E01000981,Croydon ,853,135.0,141.0,99.0,282.0,34.0,10.0,7.0,9.0,57.0,79.0,8234.1,11.5
E01000982,Croydon ,853,166.0,110.0,105.0,271.0,38.0,13.0,4.0,15.0,54.0,77.0,9172.1,12.7
E01000983,Croydon ,953,163.0,155.0,92.0,306.0,43.0,15.0,10.0,14.0,70.0,85.0,10441.0,13.1
E01000984,Croydon ,861,178.0,75.0,122.0,280.0,38.0,16.0,3.0,14.0,68.0,67.0,8973.8,12.4
E01000985,Croydon ,747,90.0,148.0,84.0,207.0,30.0,3.0,5.0,18.0,70.0,92.0,9191.0,15.7
E01000986,Croydon ,867,114.0,135.0,80.0,272.0,39.0,11.0,8.0,10.0,101.0,97.0,8322.2,12.4
E01000987,Croydon ,778,100.0,156.0,90.0,223.0,27.0,6.0,8.0,12.0,76.0,80.0,8481.4,13.6
E01000989,Croydon ,897,98.0,195.0,150.0,235.0,22.0,9.0,7.0,9.0,75.0,97.0,7672.4,10.6
E01000990,Croydon ,567,68.0,133.0,109.0,110.0,15.0,7.0,2.0,10.0,50.0,63.0,5191.7,11.4
E01000991,Croydon ,852,75.0,174.0,105.0,247.0,31.0,11.0,10.0,20.0,92.0,87.0,10234.4,15.2
E01000992,Croydon ,847,88.0,202.0,108.0,227.0,29.0,11.0,6.0,10.0,67.0,99.0,8000.8,11.7
E01000993,Croydon ,834,125.0,167.0,94.0,229.0,26.0,11.0,7.0,18.0,74.0,83.0,10000.5,14.8
E01000994,Croydon ,716,72.0,161.0,149.0,171.0,12.0,8.0,7.0,4.0,53.0,79.0,5477.1,9.4
E01000995,Croydon ,709,102.0,119.0,117.0,186.0,23.0,5.0,4.0,12.0,59.0,82.0,7650.9,13.5
E01000996,Croydon ,630,91.0,121.0,133.0,143.0,25.0,7.0,4.0,12.0,39.0,55.0,6418.7,12.0
E01000997,Croydon ,625,99.0,90.0,119.0,153.0,29.0,7.0,4.0,7.0,49.0,68.0,6143.4,12.1
E01000998,Croydon ,734,83.0,109.0,142.0,216.0,13.0,8.0,6.0,10.0,59.0,88.0,6924.8,11.8
E01000999,Croydon ,643,100.0,147.0,118.0,132.0,21.0,8.0,6.0,9.0,42.0,60.0,6160.8,11.4
E01001000,Croydon ,617,86.0,101.0,107.0,166.0,9.0,3.0,3.0,15.0,45.0,82.0,6514.1,13.3
E01001001,Croydon ,509,66.0,84.0,95.0,142.0,14.0,7.0,3.0,5.0,37.0,56.0,4588.7,11.0
E01001002,Croydon ,627,106.0,98.0,127.0,147.0,14.0,10.0,4.0,7.0,44.0,70.0,5284.1,10.3
E01001003,Croydon ,736,146.0,107.0,118.0,178.0,22.0,7.0,8.0,9.0,65.0,76.0,6454.7,10.8
E01001004,Croydon ,936,165.0,126.0,160.0,264.0,31.0,11.0,10.0,11.0,71.0,87.0,8662.0,11.1
E01001005,Croydon ,747,210.0,76.0,126.0,139.0,31.0,5.0,10.0,13.0,75.0,62.0,6340.2,10.4
E01001006,Croydon ,692,122.0,130.0,89.0,175.0,26.0,10.0,5.0,17.0,45.0,73.0,7589.3,13.2
E01001007,Croydon ,844,158.0,160.0,155.0,195.0,19.0,8.0,3.0,14.0,63.0,69.0,7338.3,10.3
E01001008,Croydon ,649,176.0,68.0,145.0,120.0,20.0,5.0,7.0,6.0,46.0,56.0,5145.1,9.4
E01001009,Croydon ,805,206.0,92.0,159.0,187.0,24.0,6.0,2.0,12.0,55.0,62.0,7234.2,10.5
E01001010,Croydon ,657,204.0,87.0,102.0,118.0,24.0,9.0,3.0,13.0,44.0,53.0,5919.8,10.6
E01001011,Croydon ,879,233.0,85.0,171.0,208.0,27.0,5.0,1.0,16.0,64.0,69.0,8068.4,10.8
E01001012,Croydon ,842,217.0,53.0,120.0,242.0,29.0,10.0,10.0,10.0,73.0,78.0,8157.6,11.8
E01001013,Croydon ,757,202.0,76.0,111.0,159.0,22.0,2.0,2.0,19.0,76.0,88.0,7050.5,11.9
E01001014,Croydon ,1341,288.0,124.0,208.0,442.0,53.0,8.0,7.0,19.0,72.0,120.0,13557.5,11.8
E01001015,Croydon ,667,74.0,64.0,156.0,90.0,132.0,9.0,4.0,14.0,65.0,59.0,8976.2,16.5
E01001016,Croydon ,807,87.0,86.0,170.0,123.0,149.0,11.0,15.0,13.0,81.0,72.0,9749.3,14.9
E01001017,Croydon ,820,62.0,57.0,190.0,98.0,188.0,8.0,17.0,11.0,110.0,79.0,10593.1,16.8
E01001018,Croydon ,799,50.0,117.0,173.0,105.0,146.0,19.0,4.0,8.0,90.0,87.0,8856.8,14.2
E01001019,Croydon ,728,66.0,67.0,156.0,94.0,161.0,12.0,9.0,14.0,78.0,71.0,9593.6,16.6
E01001020,Croydon ,791,73.0,87.0,172.0,115.0,142.0,15.0,8.0,5.0,92.0,82.0,8144.7,13.2
E01001021,Croydon ,497,63.0,63.0,110.0,75.0,56.0,4.0,6.0,9.0,45.0,66.0,5710.3,14.8
E01001022,Croydon ,635,43.0,75.0,147.0,87.0,111.0,8.0,6.0,13.0,80.0,65.0,8335.5,17.0
E01001023,Croydon ,671,77.0,62.0,167.0,99.0,101.0,9.0,10.0,11.0,61.0,74.0,9088.6,17.0
E01001024,Croydon ,737,79.0,66.0,181.0,108.0,145.0,14.0,10.0,13.0,61.0,60.0,10029.2,16.3
E01001025,Croydon ,659,74.0,69.0,141.0,107.0,116.0,6.0,3.0,14.0,65.0,64.0,8027.3,15.1
E01001026,Croydon ,894,98.0,92.0,226.0,137.0,137.0,4.0,9.0,13.0,94.0,84.0,10815.5,15.1
E01001027,Croydon ,811,70.0,80.0,197.0,115.0,128.0,13.0,11.0,12.0,91.0,94.0,9340.4,14.9
E01001028,Croydon ,786,59.0,89.0,147.0,150.0,116.0,13.0,5.0,19.0,118.0,70.0,9799.9,16.4
E01001029,Croydon ,795,78.0,83.0,102.0,191.0,119.0,15.0,11.0,13.0,111.0,72.0,10778.4,17.6
E01001030,Croydon ,701,54.0,61.0,114.0,121.0,125.0,10.0,5.0,13.0,134.0,64.0,8602.1,17.1
E01001031,Croydon ,755,70.0,70.0,162.0,125.0,150.0,11.0,7.0,2.0,90.0,68.0,7489.6,12.5
E01001032,Croydon ,658,69.0,108.0,68.0,196.0,28.0,8.0,7.0,17.0,103.0,54.0,8848.4,17.7
E01001033,Croydon ,831,99.0,146.0,73.0,283.0,46.0,9.0,11.0,16.0,70.0,78.0,10880.7,15.9
E01001034,Croydon ,887,89.0,167.0,87.0,288.0,36.0,10.0,8.0,18.0,88.0,96.0,10029.9,14.3
E01001035,Croydon ,1036,158.0,131.0,106.0,388.0,51.0,9.0,15.0,11.0,82.0,85.0,11334.9,13.0
E01001036,Croydon ,737,92.0,90.0,64.0,272.0,22.0,9.0,10.0,15.0,94.0,69.0,8328.8,14.5
E01001037,Croydon ,773,142.0,91.0,88.0,271.0,29.0,5.0,6.0,15.0,59.0,67.0,9790.7,15.1
E01001038,Croydon ,1120,158.0,165.0,105.0,434.0,45.0,15.0,14.0,13.0,71.0,100.0,13412.3,14.1
E01001039,Croydon ,769,82.0,131.0,63.0,276.0,31.0,6.0,7.0,13.0,92.0,68.0,8402.2,13.8
E01001040,Croydon ,960,114.0,159.0,99.0,336.0,50.0,17.0,8.0,23.0,56.0,98.0,12031.8,14.9
E01001041,Croydon ,864,92.0,166.0,96.0,309.0,35.0,7.0,7.0,10.0,75.0,67.0,9713.8,13.5
E01001042,Croydon ,980,205.0,92.0,89.0,314.0,41.0,5.0,9.0,26.0,99.0,100.0,12146.7,15.6
E01001043,Croydon ,1484,299.0,131.0,165.0,512.0,53.0,15.0,11.0,22.0,128.0,148.0,16770.5,13.9
E01001044,Croydon ,954,155.0,90.0,83.0,398.0,37.0,15.0,6.0,17.0,87.0,66.0,12692.5,15.8
E01001045,Croydon ,1013,234.0,71.0,73.0,380.0,47.0,12.0,9.0,24.0,74.0,89.0,13066.4,15.4
E01001046,Croydon ,924,137.0,90.0,54.0,389.0,40.0,13.0,8.0,26.0,84.0,83.0,13392.2,17.7
E01001047,Croydon ,987,175.0,96.0,99.0,378.0,43.0,14.0,7.0,8.0,80.0,87.0,10503.7,12.8
E01001048,Croydon ,1034,193.0,90.0,104.0,370.0,59.0,8.0,7.0,23.0,84.0,96.0,12354.3,14.5
E01001049,Croydon ,656,69.0,111.0,67.0,230.0,22.0,9.0,6.0,6.0,91.0,45.0,6873.5,13.2
E01001050,Croydon ,722,111.0,66.0,57.0,331.0,27.0,9.0,6.0,9.0,63.0,43.0,7855.6,12.8
E01001051,Croydon ,545,69.0,43.0,200.0,102.0,22.0,12.0,4.0,9.0,26.0,58.0,5785.5,12.5
