LSOA11CD,Borough,All categories: Distance travelled to work,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Work mainly at or from home,Other,Total distance (km),Average distance (km)
E01000050,Barking and Dagenham ,570,74.0,59.0,93.0,159.0,22.0,6.0,6.0,9.0,37.0,105.0,5981.5,14.0
E01000051,Barking and Dagenham ,581,78.0,65.0,106.0,157.0,29.0,7.0,5.0,11.0,30.0,93.0,6030.9,13.2
E01000052,Barking and Dagenham ,858,111.0,117.0,124.0,255.0,36.0,11.0,7.0,22.0,55.0,120.0,11043.4,16.2
E01000053,Barking and Dagenham ,617,66.0,106.0,83.0,149.0,55.0,11.0,1.0,12.0,44.0,90.0,7474.8,15.5
E01000054,Barking and Dagenham ,694,89.0,133.0,95.0,177.0,44.0,6.0,7.0,20.0,30.0,93.0,8481.2,14.9
E01000055,Barking and Dagenham ,664,77.0,109.0,97.0,187.0,33.0,11.0,4.0,6.0,35.0,105.0,6564.2,12.5
E01000056,Barking and Dagenham ,609,76.0,94.0,96.0,156.0,40.0,8.0,2.0,13.0,38.0,86.0,7617.6,15.7
E01000057,Barking and Dagenham ,595,59.0,116.0,85.0,171.0,25.0,8.0,5.0,10.0,31.0,85.0,5822.2,12.2
E01000058,Barking and Dagenham ,796,82.0,147.0,93.0,225.0,58.0,12.0,5.0,9.0,40.0,125.0,8219.9,13.0
E01000059,Barking and Dagenham ,621,86.0,102.0,108.0,154.0,36.0,15.0,4.0,5.0,33.0,78.0,5758.6,11.3
E01000060,Barking and Dagenham ,685,96.0,114.0,108.0,149.0,57.0,10.0,4.0,6.0,50.0,91.0,6136.0,11.3
E01000061,Barking and Dagenham ,591,89.0,151.0,92.0,104.0,41.0,13.0,3.0,9.0,27.0,62.0,5635.4,11.2
E01000062,Barking and Dagenham ,770,106.0,147.0,100.0,178.0,67.0,14.0,6.0,15.0,41.0,96.0,8528.3,13.5
E01000063,Barking and Dagenham ,661,77.0,146.0,92.0,158.0,45.0,9.0,4.0,9.0,38.0,83.0,6876.2,12.7
E01000064,Barking and Dagenham ,754,71.0,172.0,106.0,170.0,46.0,12.0,4.0,12.0,40.0,121.0,7568.6,12.8
E01000065,Barking and Dagenham ,661,72.0,149.0,81.0,173.0,43.0,17.0,3.0,9.0,28.0,86.0,6573.5,12.0
E01000066,Barking and Dagenham ,802,69.0,167.0,138.0,194.0,30.0,15.0,3.0,19.0,53.0,114.0,9167.3,14.4
E01000067,Barking and Dagenham ,824,54.0,124.0,178.0,236.0,26.0,7.0,3.0,12.0,53.0,131.0,9069.6,14.2
E01000068,Barking and Dagenham ,739,74.0,104.0,116.0,205.0,31.0,11.0,4.0,39.0,53.0,102.0,9010.4,15.4
E01000069,Barking and Dagenham ,798,89.0,135.0,126.0,232.0,21.0,15.0,5.0,8.0,71.0,96.0,7417.1,11.8
E01000070,Barking and Dagenham ,843,88.0,116.0,154.0,231.0,25.0,11.0,6.0,15.0,65.0,132.0,9741.4,15.1
E01000071,Barking and Dagenham ,973,91.0,129.0,182.0,297.0,40.0,12.0,6.0,17.0,69.0,130.0,10837.4,14.0
E01000072,Barking and Dagenham ,725,54.0,152.0,131.0,192.0,38.0,10.0,2.0,8.0,41.0,97.0,6590.7,11.2
E01000073,Barking and Dagenham ,652,48.0,137.0,110.0,168.0,22.0,8.0,4.0,9.0,50.0,96.0,6200.3,12.3
