LSOA11CD,Borough,All categories: Economic activity,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E01000040,Barking and Dagenham ,1096,727.0,144.0,366.0,3.0,7.0,22.0,54.0,78.0,53.0,369.0,96.0,76.0,84.0,66.0,47.0
E01000041,Barking and Dagenham ,1150,776.0,129.0,433.0,4.0,22.0,19.0,57.0,86.0,26.0,374.0,107.0,71.0,90.0,57.0,49.0
E01000042,Barking and Dagenham ,1189,731.0,141.0,349.0,2.0,14.0,25.0,46.0,109.0,45.0,458.0,82.0,109.0,127.0,84.0,56.0
E01000043,Barking and Dagenham ,913,593.0,114.0,296.0,6.0,17.0,25.0,32.0,66.0,37.0,320.0,98.0,78.0,73.0,39.0,32.0
E01000044,Barking and Dagenham ,1253,871.0,151.0,429.0,10.0,17.0,50.0,71.0,80.0,63.0,382.0,91.0,112.0,88.0,45.0,46.0
E01000045,Barking and Dagenham ,1130,754.0,147.0,393.0,2.0,15.0,30.0,59.0,78.0,30.0,376.0,91.0,95.0,80.0,59.0,51.0
E01000046,Barking and Dagenham ,1188,838.0,159.0,428.0,3.0,19.0,33.0,69.0,90.0,37.0,350.0,82.0,94.0,88.0,57.0,29.0
E01000048,Barking and Dagenham ,1096,674.0,150.0,258.0,9.0,12.0,24.0,31.0,126.0,64.0,422.0,47.0,125.0,111.0,84.0,55.0
E01000049,Barking and Dagenham ,1112,732.0,147.0,290.0,7.0,12.0,25.0,42.0,125.0,84.0,380.0,66.0,99.0,114.0,54.0,47.0
E01000050,Barking and Dagenham ,1112,685.0,120.0,321.0,4.0,16.0,25.0,48.0,81.0,70.0,427.0,102.0,113.0,99.0,60.0,53.0
E01000051,Barking and Dagenham ,1252,738.0,150.0,306.0,5.0,19.0,20.0,27.0,132.0,79.0,514.0,46.0,141.0,134.0,109.0,84.0
E01000052,Barking and Dagenham ,1385,971.0,179.0,484.0,6.0,23.0,33.0,68.0,84.0,94.0,414.0,101.0,96.0,86.0,75.0,56.0
E01000053,Barking and Dagenham ,1029,711.0,99.0,395.0,5.0,29.0,18.0,50.0,81.0,34.0,318.0,93.0,62.0,55.0,61.0,47.0
E01000054,Barking and Dagenham ,1150,790.0,160.0,418.0,3.0,10.0,27.0,53.0,81.0,38.0,360.0,107.0,81.0,82.0,66.0,24.0
E01000055,Barking and Dagenham ,1093,770.0,130.0,406.0,2.0,21.0,29.0,55.0,85.0,42.0,323.0,89.0,80.0,79.0,48.0,27.0
E01000056,Barking and Dagenham ,1048,700.0,132.0,354.0,4.0,14.0,22.0,45.0,82.0,47.0,348.0,101.0,76.0,76.0,64.0,31.0
E01000057,Barking and Dagenham ,987,671.0,107.0,371.0,2.0,15.0,22.0,45.0,63.0,46.0,316.0,83.0,65.0,72.0,49.0,47.0
E01000058,Barking and Dagenham ,1284,888.0,170.0,489.0,4.0,19.0,26.0,54.0,79.0,47.0,396.0,104.0,93.0,91.0,68.0,40.0
E01000059,Barking and Dagenham ,1050,709.0,135.0,402.0,5.0,11.0,16.0,36.0,71.0,33.0,341.0,90.0,74.0,78.0,64.0,35.0
E01000060,Barking and Dagenham ,1174,790.0,149.0,409.0,5.0,23.0,28.0,42.0,95.0,39.0,384.0,124.0,72.0,84.0,68.0,36.0
E01000061,Barking and Dagenham ,1154,746.0,130.0,366.0,4.0,5.0,20.0,26.0,139.0,56.0,408.0,36.0,114.0,125.0,73.0,60.0
E01000062,Barking and Dagenham ,1299,908.0,149.0,495.0,4.0,12.0,22.0,51.0,112.0,63.0,391.0,129.0,75.0,92.0,59.0,36.0
E01000063,Barking and Dagenham ,1101,757.0,156.0,392.0,0.0,21.0,19.0,60.0,88.0,21.0,344.0,104.0,61.0,84.0,71.0,24.0
E01000064,Barking and Dagenham ,1252,855.0,159.0,437.0,4.0,18.0,34.0,68.0,85.0,50.0,397.0,109.0,99.0,84.0,63.0,42.0
E01000065,Barking and Dagenham ,1157,756.0,135.0,379.0,4.0,13.0,34.0,67.0,86.0,38.0,401.0,128.0,84.0,72.0,79.0,38.0
E01000066,Barking and Dagenham ,1323,877.0,153.0,476.0,6.0,28.0,39.0,64.0,65.0,46.0,446.0,111.0,95.0,114.0,69.0,57.0
E01000067,Barking and Dagenham ,1394,916.0,178.0,452.0,3.0,23.0,45.0,70.0,80.0,65.0,478.0,135.0,138.0,110.0,46.0,49.0
E01000068,Barking and Dagenham ,1171,800.0,146.0,408.0,8.0,29.0,33.0,57.0,48.0,71.0,371.0,104.0,106.0,89.0,23.0,49.0
E01000069,Barking and Dagenham ,1267,862.0,164.0,461.0,8.0,20.0,33.0,70.0,37.0,69.0,405.0,112.0,130.0,95.0,28.0,40.0
E01000070,Barking and Dagenham ,1410,945.0,161.0,485.0,11.0,37.0,34.0,81.0,76.0,60.0,465.0,159.0,134.0,94.0,26.0,52.0
E01000071,Barking and Dagenham ,1571,1081.0,184.0,578.0,9.0,28.0,50.0,78.0,86.0,68.0,490.0,149.0,130.0,122.0,31.0,58.0
E01000072,Barking and Dagenham ,1331,847.0,147.0,431.0,4.0,12.0,18.0,65.0,101.0,69.0,484.0,123.0,91.0,128.0,100.0,42.0
E01000073,Barking and Dagenham ,1074,736.0,141.0,389.0,3.0,17.0,30.0,46.0,75.0,35.0,338.0,89.0,66.0,92.0,62.0,29.0
E01000074,Barking and Dagenham ,1052,724.0,139.0,374.0,4.0,16.0,26.0,47.0,68.0,50.0,328.0,101.0,61.0,67.0,63.0,36.0
E01000075,Barking and Dagenham ,1204,758.0,155.0,400.0,3.0,20.0,25.0,52.0,70.0,33.0,446.0,157.0,97.0,72.0,66.0,54.0
E01000076,Barking and Dagenham ,1296,856.0,153.0,447.0,7.0,11.0,21.0,70.0,94.0,53.0,440.0,114.0,87.0,96.0,98.0,45.0
E01000077,Barking and Dagenham ,1031,710.0,136.0,350.0,3.0,16.0,21.0,57.0,84.0,43.0,321.0,81.0,68.0,69.0,72.0,31.0
E01000078,Barking and Dagenham ,1144,722.0,129.0,371.0,2.0,21.0,24.0,40.0,87.0,48.0,422.0,112.0,78.0,107.0,66.0,59.0
E01000079,Barking and Dagenham ,1026,649.0,129.0,344.0,4.0,10.0,20.0,44.0,69.0,29.0,377.0,120.0,62.0,76.0,76.0,43.0
E01000080,Barking and Dagenham ,1062,721.0,133.0,364.0,6.0,13.0,30.0,39.0,96.0,40.0,341.0,93.0,79.0,65.0,67.0,37.0
E01000081,Barking and Dagenham ,1173,788.0,142.0,433.0,2.0,18.0,18.0,58.0,69.0,48.0,385.0,102.0,69.0,92.0,69.0,53.0
E01000082,Barking and Dagenham ,1158,759.0,143.0,411.0,4.0,18.0,24.0,44.0,80.0,35.0,399.0,119.0,72.0,84.0,83.0,41.0
E01000083,Barking and Dagenham ,1155,762.0,139.0,403.0,5.0,12.0,39.0,49.0,81.0,34.0,393.0,116.0,69.0,97.0,67.0,44.0
E01000084,Barking and Dagenham ,920,640.0,135.0,318.0,4.0,7.0,23.0,47.0,63.0,43.0,280.0,81.0,52.0,78.0,35.0,34.0
E01000085,Barking and Dagenham ,1162,745.0,138.0,367.0,2.0,17.0,34.0,46.0,104.0,37.0,417.0,118.0,59.0,94.0,87.0,59.0
E01000086,Barking and Dagenham ,985,695.0,124.0,378.0,2.0,13.0,17.0,45.0,72.0,44.0,290.0,89.0,60.0,62.0,47.0,32.0
E01000087,Barking and Dagenham ,942,636.0,124.0,328.0,5.0,17.0,21.0,46.0,63.0,32.0,306.0,91.0,66.0,61.0,52.0,36.0
E01000088,Barking and Dagenham ,1216,846.0,148.0,441.0,6.0,13.0,31.0,65.0,75.0,67.0,370.0,107.0,76.0,80.0,57.0,50.0
E01000089,Barking and Dagenham ,1143,810.0,168.0,415.0,2.0,11.0,18.0,72.0,73.0,51.0,333.0,80.0,89.0,97.0,37.0,30.0
E01000090,Barking and Dagenham ,1068,746.0,133.0,381.0,9.0,12.0,31.0,60.0,67.0,53.0,322.0,94.0,94.0,57.0,40.0,37.0
E01000091,Barking and Dagenham ,1069,698.0,113.0,356.0,5.0,20.0,18.0,36.0,93.0,57.0,371.0,82.0,85.0,102.0,59.0,43.0
E01000092,Barking and Dagenham ,1773,1255.0,194.0,627.0,7.0,23.0,65.0,84.0,170.0,85.0,518.0,93.0,132.0,139.0,76.0,78.0
E01000093,Barking and Dagenham ,1048,690.0,133.0,310.0,6.0,20.0,21.0,47.0,95.0,58.0,358.0,63.0,71.0,87.0,89.0,48.0
E01000094,Barking and Dagenham ,922,707.0,110.0,366.0,4.0,12.0,32.0,62.0,70.0,51.0,215.0,15.0,64.0,54.0,33.0,49.0
E01000095,Barking and Dagenham ,1061,761.0,142.0,398.0,3.0,18.0,29.0,55.0,77.0,39.0,300.0,69.0,84.0,67.0,47.0,33.0
E01000096,Barking and Dagenham ,1188,765.0,151.0,340.0,9.0,15.0,15.0,40.0,118.0,77.0,423.0,52.0,121.0,117.0,70.0,63.0
E01000097,Barking and Dagenham ,1089,717.0,161.0,369.0,7.0,14.0,32.0,44.0,66.0,24.0,372.0,124.0,68.0,92.0,62.0,26.0
E01000098,Barking and Dagenham ,1186,803.0,130.0,417.0,4.0,14.0,28.0,49.0,109.0,52.0,383.0,84.0,90.0,95.0,65.0,49.0
E01000099,Barking and Dagenham ,1191,827.0,178.0,424.0,3.0,14.0,19.0,65.0,91.0,33.0,364.0,110.0,70.0,76.0,68.0,40.0
E01000100,Barking and Dagenham ,1114,755.0,130.0,399.0,6.0,13.0,20.0,48.0,96.0,43.0,359.0,118.0,72.0,79.0,63.0,27.0
E01000101,Barking and Dagenham ,1078,715.0,140.0,402.0,6.0,21.0,13.0,39.0,62.0,32.0,363.0,109.0,70.0,85.0,63.0,36.0
E01000102,Barking and Dagenham ,1057,709.0,120.0,398.0,4.0,14.0,21.0,44.0,80.0,28.0,348.0,110.0,60.0,83.0,68.0,27.0
E01000103,Barking and Dagenham ,1179,802.0,144.0,395.0,5.0,18.0,25.0,45.0,103.0,67.0,377.0,85.0,108.0,77.0,63.0,44.0
E01000104,Barking and Dagenham ,1216,834.0,143.0,418.0,0.0,18.0,19.0,48.0,131.0,57.0,382.0,91.0,89.0,76.0,68.0,58.0
E01000105,Barking and Dagenham ,1441,945.0,151.0,507.0,1.0,19.0,24.0,54.0,145.0,44.0,496.0,146.0,82.0,98.0,107.0,63.0
E01000106,Barking and Dagenham ,1355,872.0,142.0,483.0,3.0,12.0,22.0,58.0,102.0,50.0,483.0,125.0,80.0,100.0,111.0,67.0
E01000107,Barking and Dagenham ,1117,775.0,145.0,406.0,4.0,13.0,32.0,58.0,72.0,45.0,342.0,139.0,63.0,67.0,37.0,36.0
E01000108,Barking and Dagenham ,1156,832.0,155.0,470.0,4.0,13.0,14.0,54.0,78.0,44.0,324.0,130.0,67.0,53.0,38.0,36.0
