LSOA11CD,Borough,All categories: Economic activity,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E01000688,Bromley ,985,711.0,147.0,386.0,4.0,35.0,41.0,57.0,21.0,20.0,274.0,165.0,40.0,36.0,9.0,24.0
E01000689,Bromley ,974,697.0,121.0,385.0,5.0,39.0,29.0,55.0,38.0,25.0,277.0,117.0,39.0,55.0,44.0,22.0
E01000690,Bromley ,1014,742.0,133.0,418.0,7.0,26.0,41.0,70.0,28.0,19.0,272.0,150.0,48.0,34.0,23.0,17.0
E01000691,Bromley ,1043,767.0,138.0,433.0,5.0,16.0,31.0,77.0,37.0,30.0,276.0,138.0,46.0,43.0,26.0,23.0
E01000692,Bromley ,1162,885.0,154.0,505.0,7.0,33.0,42.0,83.0,33.0,28.0,277.0,165.0,42.0,46.0,12.0,12.0
E01000693,Bromley ,1019,610.0,96.0,342.0,5.0,43.0,29.0,49.0,22.0,24.0,409.0,197.0,122.0,58.0,18.0,14.0
E01000694,Bromley ,1069,726.0,121.0,418.0,10.0,40.0,44.0,56.0,23.0,14.0,343.0,191.0,53.0,73.0,8.0,18.0
E01000695,Bromley ,1047,728.0,133.0,435.0,4.0,33.0,34.0,55.0,20.0,14.0,319.0,160.0,64.0,62.0,12.0,21.0
E01000696,Bromley ,1000,687.0,100.0,379.0,15.0,53.0,38.0,58.0,19.0,25.0,313.0,173.0,50.0,64.0,11.0,15.0
E01000697,Bromley ,1211,961.0,99.0,589.0,4.0,42.0,57.0,105.0,40.0,25.0,250.0,145.0,42.0,48.0,3.0,12.0
E01000698,Bromley ,875,564.0,116.0,253.0,16.0,38.0,40.0,52.0,26.0,23.0,311.0,191.0,44.0,46.0,10.0,20.0
E01000699,Bromley ,1096,855.0,142.0,468.0,1.0,21.0,27.0,72.0,83.0,41.0,241.0,56.0,62.0,45.0,39.0,39.0
E01000700,Bromley ,1147,894.0,123.0,606.0,6.0,15.0,26.0,63.0,42.0,13.0,253.0,94.0,50.0,60.0,33.0,16.0
E01000701,Bromley ,1028,796.0,115.0,497.0,0.0,16.0,27.0,71.0,50.0,20.0,232.0,91.0,32.0,39.0,35.0,35.0
E01000702,Bromley ,1031,851.0,114.0,545.0,1.0,17.0,29.0,73.0,44.0,28.0,180.0,81.0,36.0,42.0,14.0,7.0
E01000703,Bromley ,1193,946.0,143.0,566.0,3.0,26.0,47.0,95.0,43.0,23.0,247.0,104.0,56.0,51.0,25.0,11.0
E01000704,Bromley ,1039,808.0,133.0,464.0,5.0,22.0,22.0,85.0,45.0,32.0,231.0,112.0,60.0,19.0,24.0,16.0
E01000705,Bromley ,982,757.0,114.0,440.0,2.0,15.0,32.0,69.0,58.0,27.0,225.0,81.0,50.0,43.0,31.0,20.0
E01000706,Bromley ,968,726.0,100.0,459.0,4.0,13.0,30.0,66.0,34.0,20.0,242.0,104.0,40.0,41.0,36.0,21.0
E01000707,Bromley ,1009,820.0,136.0,495.0,1.0,25.0,40.0,75.0,28.0,20.0,189.0,84.0,33.0,48.0,9.0,15.0
E01000708,Bromley ,1107,842.0,138.0,523.0,8.0,15.0,40.0,71.0,35.0,12.0,265.0,128.0,45.0,51.0,21.0,20.0
E01000709,Bromley ,988,733.0,81.0,482.0,4.0,18.0,30.0,67.0,42.0,9.0,255.0,149.0,26.0,31.0,29.0,20.0
E01000710,Bromley ,1296,1017.0,106.0,714.0,4.0,23.0,39.0,80.0,39.0,12.0,279.0,142.0,40.0,47.0,19.0,31.0
E01000711,Bromley ,1390,1102.0,94.0,821.0,2.0,14.0,32.0,78.0,44.0,17.0,288.0,136.0,43.0,44.0,39.0,26.0
E01000712,Bromley ,1297,1012.0,115.0,686.0,4.0,33.0,53.0,76.0,26.0,19.0,285.0,149.0,44.0,50.0,27.0,15.0
E01000713,Bromley ,1338,1039.0,124.0,678.0,6.0,23.0,48.0,103.0,42.0,15.0,299.0,161.0,44.0,46.0,23.0,25.0
E01000714,Bromley ,1500,1235.0,137.0,839.0,0.0,35.0,30.0,102.0,70.0,22.0,265.0,139.0,45.0,43.0,15.0,23.0
E01000715,Bromley ,1236,962.0,115.0,637.0,4.0,31.0,41.0,85.0,39.0,10.0,274.0,159.0,34.0,43.0,18.0,20.0
E01000716,Bromley ,1104,793.0,135.0,468.0,4.0,44.0,42.0,55.0,31.0,14.0,311.0,177.0,53.0,46.0,16.0,19.0
E01000717,Bromley ,1295,1008.0,118.0,662.0,3.0,44.0,45.0,80.0,41.0,15.0,287.0,144.0,50.0,39.0,31.0,23.0
E01000718,Bromley ,1514,1106.0,136.0,690.0,3.0,23.0,34.0,81.0,103.0,36.0,408.0,141.0,81.0,85.0,63.0,38.0
E01000719,Bromley ,1330,948.0,163.0,590.0,5.0,10.0,26.0,66.0,72.0,16.0,382.0,133.0,70.0,98.0,51.0,30.0
E01000720,Bromley ,1143,774.0,118.0,442.0,6.0,25.0,24.0,50.0,79.0,30.0,369.0,111.0,63.0,96.0,59.0,40.0
E01000721,Bromley ,897,532.0,115.0,274.0,2.0,7.0,13.0,26.0,71.0,24.0,365.0,121.0,71.0,83.0,59.0,31.0
E01000722,Bromley ,1173,843.0,172.0,483.0,2.0,13.0,26.0,72.0,55.0,20.0,330.0,154.0,46.0,63.0,45.0,22.0
E01000723,Bromley ,914,608.0,135.0,318.0,2.0,12.0,28.0,60.0,36.0,17.0,306.0,205.0,28.0,31.0,32.0,10.0
E01000724,Bromley ,1130,759.0,167.0,354.0,2.0,10.0,24.0,61.0,98.0,43.0,371.0,96.0,84.0,92.0,59.0,40.0
E01000725,Bromley ,1174,853.0,155.0,499.0,4.0,10.0,26.0,64.0,69.0,26.0,321.0,138.0,51.0,63.0,42.0,27.0
E01000726,Bromley ,947,674.0,144.0,400.0,1.0,13.0,24.0,52.0,21.0,19.0,273.0,167.0,35.0,31.0,24.0,16.0
E01000727,Bromley ,1114,797.0,144.0,475.0,6.0,18.0,25.0,58.0,48.0,23.0,317.0,177.0,41.0,47.0,30.0,22.0
E01000728,Bromley ,1071,688.0,133.0,394.0,2.0,13.0,20.0,58.0,37.0,31.0,383.0,218.0,32.0,64.0,39.0,30.0
E01000729,Bromley ,1238,781.0,171.0,412.0,2.0,8.0,15.0,46.0,102.0,25.0,457.0,131.0,63.0,115.0,112.0,36.0
E01000730,Bromley ,1143,753.0,171.0,364.0,3.0,17.0,15.0,55.0,77.0,51.0,390.0,82.0,98.0,96.0,86.0,28.0
E01000731,Bromley ,940,651.0,131.0,350.0,3.0,14.0,19.0,59.0,52.0,23.0,289.0,111.0,53.0,54.0,47.0,24.0
E01000732,Bromley ,1052,713.0,142.0,377.0,2.0,20.0,30.0,77.0,40.0,25.0,339.0,174.0,49.0,59.0,32.0,25.0
E01000733,Bromley ,1138,835.0,144.0,478.0,5.0,21.0,37.0,52.0,58.0,40.0,303.0,143.0,46.0,55.0,38.0,21.0
E01000734,Bromley ,945,708.0,138.0,382.0,5.0,30.0,29.0,61.0,31.0,32.0,237.0,116.0,34.0,55.0,22.0,10.0
E01000735,Bromley ,1034,693.0,130.0,365.0,8.0,17.0,25.0,48.0,65.0,35.0,341.0,119.0,65.0,75.0,60.0,22.0
E01000736,Bromley ,1068,738.0,143.0,384.0,6.0,18.0,27.0,66.0,56.0,38.0,330.0,126.0,65.0,73.0,45.0,21.0
E01000737,Bromley ,925,601.0,123.0,342.0,1.0,20.0,16.0,40.0,43.0,16.0,324.0,126.0,41.0,67.0,67.0,23.0
E01000738,Bromley ,1055,758.0,153.0,400.0,4.0,16.0,40.0,78.0,41.0,26.0,297.0,160.0,48.0,48.0,22.0,19.0
E01000739,Bromley ,995,615.0,150.0,324.0,4.0,7.0,12.0,29.0,53.0,36.0,380.0,123.0,53.0,84.0,77.0,43.0
E01000740,Bromley ,1339,1071.0,169.0,588.0,15.0,15.0,48.0,98.0,78.0,60.0,268.0,49.0,81.0,59.0,48.0,31.0
E01000741,Bromley ,1289,982.0,134.0,574.0,9.0,19.0,30.0,70.0,99.0,47.0,307.0,76.0,59.0,41.0,95.0,36.0
E01000742,Bromley ,1608,1261.0,163.0,749.0,8.0,26.0,57.0,117.0,101.0,40.0,347.0,70.0,73.0,74.0,77.0,53.0
E01000743,Bromley ,1300,841.0,140.0,453.0,2.0,12.0,27.0,79.0,86.0,42.0,459.0,130.0,78.0,84.0,110.0,57.0
E01000744,Bromley ,1072,697.0,146.0,333.0,7.0,3.0,24.0,46.0,94.0,44.0,375.0,78.0,85.0,55.0,92.0,65.0
E01000745,Bromley ,1370,1065.0,118.0,642.0,7.0,21.0,40.0,111.0,91.0,35.0,305.0,83.0,54.0,67.0,53.0,48.0
E01000746,Bromley ,1466,1130.0,145.0,681.0,3.0,29.0,53.0,119.0,75.0,25.0,336.0,115.0,62.0,58.0,48.0,53.0
E01000747,Bromley ,1374,992.0,194.0,486.0,12.0,43.0,62.0,121.0,44.0,30.0,382.0,192.0,44.0,80.0,34.0,32.0
E01000748,Bromley ,1190,800.0,166.0,394.0,3.0,39.0,41.0,106.0,30.0,21.0,390.0,256.0,35.0,51.0,26.0,22.0
E01000749,Bromley ,1132,758.0,168.0,375.0,6.0,31.0,47.0,85.0,17.0,29.0,374.0,244.0,43.0,47.0,19.0,21.0
E01000750,Bromley ,1088,716.0,175.0,366.0,3.0,21.0,19.0,54.0,52.0,26.0,372.0,166.0,71.0,58.0,57.0,20.0
E01000751,Bromley ,1368,1012.0,207.0,576.0,9.0,31.0,27.0,77.0,40.0,45.0,356.0,166.0,57.0,61.0,53.0,19.0
E01000752,Bromley ,1050,714.0,150.0,396.0,6.0,21.0,28.0,55.0,35.0,23.0,336.0,224.0,29.0,47.0,22.0,14.0
E01000753,Bromley ,1186,788.0,165.0,449.0,0.0,11.0,31.0,59.0,31.0,42.0,398.0,269.0,49.0,53.0,14.0,13.0
E01000754,Bromley ,1165,843.0,177.0,475.0,3.0,18.0,37.0,71.0,39.0,23.0,322.0,173.0,62.0,58.0,16.0,13.0
E01000755,Bromley ,1027,733.0,161.0,393.0,6.0,22.0,32.0,59.0,21.0,39.0,294.0,186.0,55.0,34.0,6.0,13.0
E01000756,Bromley ,1094,726.0,156.0,354.0,14.0,44.0,46.0,67.0,17.0,28.0,368.0,201.0,57.0,68.0,12.0,30.0
E01000757,Bromley ,1097,731.0,158.0,436.0,6.0,17.0,23.0,50.0,20.0,21.0,366.0,245.0,57.0,38.0,12.0,14.0
E01000758,Bromley ,1037,756.0,146.0,451.0,2.0,15.0,32.0,46.0,22.0,42.0,281.0,177.0,59.0,26.0,10.0,9.0
E01000759,Bromley ,1113,815.0,154.0,417.0,6.0,37.0,59.0,78.0,29.0,35.0,298.0,164.0,58.0,49.0,12.0,15.0
E01000760,Bromley ,1029,767.0,151.0,410.0,3.0,31.0,34.0,73.0,29.0,36.0,262.0,145.0,51.0,37.0,10.0,19.0
E01000761,Bromley ,1131,832.0,180.0,437.0,9.0,24.0,42.0,77.0,39.0,24.0,299.0,175.0,57.0,40.0,12.0,15.0
E01000762,Bromley ,1156,834.0,144.0,478.0,6.0,31.0,38.0,70.0,48.0,19.0,322.0,193.0,49.0,39.0,22.0,19.0
E01000763,Bromley ,1047,749.0,168.0,384.0,3.0,25.0,28.0,87.0,25.0,29.0,298.0,168.0,50.0,44.0,19.0,17.0
E01000764,Bromley ,1122,802.0,163.0,450.0,3.0,15.0,34.0,70.0,30.0,37.0,320.0,157.0,65.0,56.0,24.0,18.0
E01000765,Bromley ,1221,905.0,158.0,506.0,4.0,30.0,42.0,102.0,36.0,27.0,316.0,155.0,64.0,53.0,24.0,20.0
E01000766,Bromley ,1213,883.0,198.0,488.0,9.0,23.0,43.0,70.0,25.0,27.0,330.0,192.0,53.0,55.0,15.0,15.0
E01000767,Bromley ,1144,856.0,181.0,471.0,3.0,25.0,48.0,61.0,29.0,38.0,288.0,165.0,42.0,54.0,14.0,13.0
E01000768,Bromley ,1116,766.0,153.0,432.0,6.0,23.0,38.0,56.0,33.0,25.0,350.0,183.0,95.0,38.0,17.0,17.0
E01000769,Bromley ,1063,716.0,160.0,388.0,1.0,13.0,30.0,69.0,25.0,30.0,347.0,99.0,58.0,39.0,106.0,45.0
E01000770,Bromley ,998,682.0,97.0,416.0,4.0,28.0,33.0,65.0,24.0,15.0,316.0,203.0,41.0,45.0,11.0,16.0
E01000771,Bromley ,1188,906.0,171.0,490.0,8.0,42.0,50.0,72.0,40.0,33.0,282.0,150.0,58.0,42.0,18.0,14.0
E01000772,Bromley ,1016,700.0,115.0,400.0,5.0,34.0,48.0,65.0,17.0,16.0,316.0,193.0,40.0,53.0,14.0,16.0
E01000773,Bromley ,1006,730.0,151.0,418.0,3.0,20.0,24.0,66.0,26.0,22.0,276.0,149.0,51.0,51.0,13.0,12.0
E01000774,Bromley ,1062,790.0,145.0,466.0,1.0,22.0,23.0,67.0,36.0,30.0,272.0,150.0,41.0,45.0,17.0,19.0
E01000775,Bromley ,1547,1146.0,219.0,619.0,16.0,51.0,49.0,111.0,39.0,42.0,401.0,179.0,89.0,86.0,17.0,30.0
E01000777,Bromley ,1098,830.0,171.0,456.0,3.0,25.0,36.0,80.0,36.0,23.0,268.0,118.0,69.0,45.0,12.0,24.0
E01000778,Bromley ,1122,833.0,159.0,464.0,3.0,11.0,43.0,77.0,42.0,34.0,289.0,126.0,62.0,44.0,33.0,24.0
E01000779,Bromley ,929,675.0,108.0,373.0,4.0,24.0,26.0,78.0,40.0,22.0,254.0,141.0,37.0,32.0,25.0,19.0
E01000780,Bromley ,1058,737.0,140.0,405.0,2.0,8.0,27.0,66.0,57.0,32.0,321.0,144.0,49.0,54.0,45.0,29.0
E01000781,Bromley ,998,660.0,122.0,354.0,3.0,13.0,17.0,51.0,78.0,22.0,338.0,109.0,60.0,80.0,52.0,37.0
E01000782,Bromley ,979,644.0,122.0,338.0,1.0,13.0,23.0,51.0,66.0,30.0,335.0,83.0,60.0,81.0,85.0,26.0
E01000783,Bromley ,1019,691.0,121.0,366.0,3.0,24.0,21.0,47.0,76.0,33.0,328.0,98.0,64.0,68.0,66.0,32.0
E01000784,Bromley ,1095,827.0,167.0,487.0,6.0,23.0,25.0,63.0,38.0,18.0,268.0,122.0,61.0,48.0,20.0,17.0
E01000785,Bromley ,974,665.0,150.0,341.0,8.0,10.0,23.0,42.0,57.0,34.0,309.0,96.0,47.0,70.0,66.0,30.0
E01000786,Bromley ,986,651.0,128.0,347.0,1.0,25.0,44.0,52.0,30.0,24.0,335.0,235.0,32.0,33.0,21.0,14.0
E01000787,Bromley ,1000,691.0,137.0,401.0,1.0,7.0,30.0,46.0,53.0,16.0,309.0,190.0,42.0,43.0,24.0,10.0
E01000788,Bromley ,1122,792.0,152.0,444.0,6.0,19.0,32.0,53.0,50.0,36.0,330.0,174.0,50.0,47.0,29.0,30.0
E01000789,Bromley ,1121,745.0,175.0,372.0,2.0,6.0,15.0,34.0,106.0,35.0,376.0,65.0,71.0,140.0,65.0,35.0
E01000790,Bromley ,1481,1113.0,188.0,673.0,2.0,30.0,41.0,89.0,60.0,30.0,368.0,149.0,76.0,68.0,45.0,30.0
E01000791,Bromley ,991,683.0,146.0,387.0,0.0,12.0,28.0,51.0,34.0,25.0,308.0,204.0,41.0,32.0,17.0,14.0
E01000792,Bromley ,773,517.0,102.0,289.0,2.0,8.0,15.0,49.0,33.0,19.0,256.0,152.0,40.0,37.0,15.0,12.0
E01000793,Bromley ,1131,763.0,168.0,428.0,2.0,19.0,38.0,59.0,24.0,25.0,368.0,241.0,48.0,54.0,13.0,12.0
E01000794,Bromley ,1124,749.0,163.0,399.0,1.0,25.0,39.0,60.0,29.0,33.0,375.0,258.0,35.0,31.0,35.0,16.0
E01000795,Bromley ,984,695.0,142.0,387.0,2.0,12.0,23.0,53.0,35.0,41.0,289.0,151.0,42.0,43.0,34.0,19.0
E01000796,Bromley ,1157,767.0,155.0,384.0,2.0,9.0,24.0,43.0,96.0,54.0,390.0,79.0,120.0,69.0,73.0,49.0
E01000797,Bromley ,1210,913.0,153.0,503.0,2.0,42.0,52.0,88.0,42.0,31.0,297.0,133.0,48.0,52.0,43.0,21.0
E01000798,Bromley ,1112,732.0,152.0,325.0,2.0,24.0,23.0,51.0,114.0,41.0,380.0,96.0,71.0,63.0,93.0,57.0
E01000799,Bromley ,1255,992.0,147.0,570.0,3.0,12.0,48.0,76.0,81.0,55.0,263.0,81.0,70.0,39.0,40.0,33.0
E01000800,Bromley ,1238,911.0,117.0,545.0,2.0,16.0,26.0,73.0,94.0,38.0,327.0,69.0,85.0,66.0,66.0,41.0
E01000801,Bromley ,1052,785.0,128.0,432.0,4.0,19.0,41.0,73.0,59.0,29.0,267.0,105.0,50.0,49.0,37.0,26.0
E01000802,Bromley ,1326,1026.0,147.0,587.0,8.0,15.0,47.0,108.0,80.0,34.0,300.0,101.0,69.0,40.0,56.0,34.0
E01000803,Bromley ,1200,906.0,136.0,526.0,1.0,15.0,53.0,85.0,58.0,32.0,294.0,104.0,72.0,39.0,49.0,30.0
E01000804,Bromley ,1055,783.0,127.0,422.0,7.0,47.0,46.0,75.0,37.0,22.0,272.0,141.0,53.0,49.0,20.0,9.0
E01000805,Bromley ,1156,863.0,165.0,478.0,3.0,23.0,37.0,62.0,65.0,30.0,293.0,117.0,62.0,44.0,44.0,26.0
E01000806,Bromley ,1262,949.0,172.0,508.0,3.0,17.0,32.0,62.0,98.0,57.0,313.0,56.0,91.0,55.0,65.0,46.0
E01000807,Bromley ,1098,754.0,132.0,436.0,4.0,19.0,33.0,62.0,32.0,36.0,344.0,189.0,61.0,63.0,9.0,22.0
E01000808,Bromley ,1115,746.0,147.0,430.0,10.0,26.0,34.0,51.0,26.0,22.0,369.0,213.0,49.0,70.0,13.0,24.0
E01000809,Bromley ,1053,773.0,148.0,443.0,2.0,18.0,41.0,64.0,35.0,22.0,280.0,184.0,40.0,40.0,6.0,10.0
E01000810,Bromley ,1078,728.0,144.0,423.0,5.0,21.0,39.0,54.0,27.0,15.0,350.0,224.0,45.0,64.0,6.0,11.0
E01000811,Bromley ,979,714.0,127.0,440.0,4.0,16.0,24.0,62.0,24.0,17.0,265.0,151.0,38.0,49.0,16.0,11.0
E01000812,Bromley ,1136,788.0,146.0,474.0,3.0,19.0,38.0,54.0,31.0,23.0,348.0,199.0,43.0,57.0,29.0,20.0
E01000813,Bromley ,1118,762.0,165.0,427.0,5.0,23.0,25.0,59.0,32.0,26.0,356.0,232.0,42.0,59.0,9.0,14.0
E01000814,Bromley ,1156,794.0,167.0,441.0,8.0,24.0,44.0,58.0,19.0,33.0,362.0,210.0,68.0,57.0,8.0,19.0
E01000815,Bromley ,1105,752.0,173.0,394.0,5.0,25.0,43.0,68.0,16.0,28.0,353.0,216.0,61.0,57.0,7.0,12.0
E01000816,Bromley ,1102,801.0,142.0,484.0,6.0,14.0,32.0,54.0,45.0,24.0,301.0,157.0,46.0,49.0,31.0,18.0
E01000818,Bromley ,1072,779.0,153.0,412.0,5.0,27.0,33.0,88.0,28.0,33.0,293.0,159.0,48.0,54.0,16.0,16.0
E01000819,Bromley ,1183,821.0,144.0,431.0,3.0,22.0,41.0,60.0,87.0,33.0,362.0,126.0,70.0,67.0,63.0,36.0
E01000820,Bromley ,1017,715.0,102.0,436.0,8.0,37.0,33.0,50.0,33.0,16.0,302.0,117.0,38.0,56.0,60.0,31.0
E01000822,Bromley ,1196,905.0,128.0,569.0,8.0,19.0,35.0,69.0,58.0,19.0,291.0,111.0,62.0,53.0,39.0,26.0
E01000823,Bromley ,1295,1030.0,147.0,643.0,4.0,25.0,55.0,83.0,42.0,31.0,265.0,120.0,55.0,45.0,27.0,18.0
E01000824,Bromley ,900,716.0,123.0,429.0,6.0,14.0,30.0,50.0,46.0,18.0,184.0,66.0,40.0,28.0,29.0,21.0
E01000825,Bromley ,1189,887.0,101.0,586.0,4.0,18.0,31.0,66.0,60.0,21.0,302.0,127.0,46.0,48.0,57.0,24.0
E01000826,Bromley ,1163,810.0,167.0,426.0,5.0,42.0,56.0,57.0,23.0,34.0,353.0,209.0,80.0,51.0,5.0,8.0
E01000827,Bromley ,1196,828.0,137.0,472.0,7.0,32.0,44.0,76.0,42.0,18.0,368.0,218.0,54.0,59.0,21.0,16.0
E01000828,Bromley ,1131,822.0,122.0,506.0,7.0,28.0,34.0,73.0,34.0,18.0,309.0,168.0,52.0,47.0,30.0,12.0
E01000829,Bromley ,1264,1001.0,164.0,621.0,3.0,16.0,56.0,73.0,41.0,27.0,263.0,128.0,45.0,61.0,16.0,13.0
E01000830,Bromley ,1089,745.0,161.0,355.0,7.0,58.0,35.0,67.0,22.0,40.0,344.0,189.0,60.0,65.0,4.0,26.0
E01000831,Bromley ,1158,833.0,144.0,475.0,6.0,34.0,47.0,65.0,36.0,26.0,325.0,197.0,47.0,49.0,17.0,15.0
E01000832,Bromley ,1056,755.0,164.0,377.0,8.0,30.0,37.0,75.0,28.0,36.0,301.0,175.0,62.0,45.0,8.0,11.0
E01000833,Bromley ,998,706.0,144.0,362.0,11.0,37.0,42.0,56.0,29.0,25.0,292.0,155.0,57.0,56.0,11.0,13.0
E01000834,Bromley ,956,729.0,163.0,381.0,6.0,14.0,29.0,85.0,18.0,33.0,227.0,108.0,59.0,36.0,7.0,17.0
E01000835,Bromley ,1119,836.0,176.0,460.0,4.0,21.0,43.0,63.0,33.0,36.0,283.0,141.0,57.0,53.0,16.0,16.0
E01000836,Bromley ,983,743.0,170.0,393.0,5.0,22.0,31.0,66.0,23.0,33.0,240.0,123.0,65.0,35.0,7.0,10.0
E01000837,Bromley ,1017,725.0,154.0,406.0,2.0,24.0,41.0,46.0,32.0,20.0,292.0,161.0,46.0,42.0,22.0,21.0
E01000838,Bromley ,982,694.0,161.0,358.0,3.0,20.0,28.0,74.0,19.0,31.0,288.0,169.0,59.0,39.0,12.0,9.0
E01000839,Bromley ,1106,797.0,185.0,437.0,3.0,25.0,39.0,57.0,28.0,23.0,309.0,185.0,62.0,44.0,7.0,11.0
E01000840,Bromley ,1048,710.0,172.0,380.0,1.0,24.0,49.0,47.0,21.0,16.0,338.0,234.0,45.0,37.0,13.0,9.0
E01000841,Bromley ,1108,811.0,186.0,452.0,5.0,21.0,33.0,61.0,27.0,26.0,297.0,169.0,51.0,53.0,11.0,13.0
E01000842,Camden ,1175,887.0,54.0,543.0,6.0,34.0,81.0,112.0,35.0,22.0,288.0,100.0,74.0,47.0,24.0,43.0
E01000843,Camden ,1299,983.0,81.0,580.0,4.0,41.0,67.0,118.0,67.0,25.0,316.0,81.0,82.0,70.0,35.0,48.0
E01000844,Camden ,1408,1125.0,74.0,724.0,5.0,64.0,63.0,138.0,35.0,22.0,283.0,74.0,63.0,74.0,41.0,31.0
E01000845,Camden ,1166,887.0,65.0,557.0,9.0,42.0,56.0,95.0,33.0,30.0,279.0,82.0,85.0,50.0,29.0,33.0
E01000846,Camden ,1027,655.0,113.0,310.0,5.0,23.0,51.0,54.0,62.0,37.0,372.0,100.0,94.0,79.0,53.0,46.0
E01000847,Camden ,1171,785.0,100.0,407.0,13.0,39.0,46.0,91.0,68.0,21.0,386.0,79.0,104.0,92.0,61.0,50.0
E01000848,Camden ,1273,1050.0,85.0,656.0,6.0,60.0,72.0,116.0,41.0,14.0,223.0,81.0,44.0,49.0,21.0,28.0
E01000849,Camden ,1274,1020.0,96.0,652.0,4.0,27.0,70.0,104.0,33.0,34.0,254.0,86.0,75.0,44.0,25.0,24.0
E01000850,Camden ,1548,989.0,76.0,643.0,3.0,44.0,33.0,80.0,31.0,79.0,559.0,64.0,404.0,21.0,45.0,25.0
E01000851,Camden ,2206,1119.0,82.0,581.0,8.0,50.0,46.0,111.0,44.0,197.0,1087.0,59.0,928.0,28.0,35.0,37.0
E01000852,Camden ,1475,574.0,52.0,258.0,4.0,14.0,25.0,31.0,24.0,166.0,901.0,77.0,744.0,15.0,38.0,27.0
E01000853,Camden ,1231,733.0,123.0,367.0,1.0,12.0,45.0,52.0,98.0,35.0,498.0,161.0,180.0,40.0,84.0,33.0
E01000854,Camden ,1559,750.0,93.0,361.0,6.0,29.0,35.0,58.0,49.0,119.0,809.0,70.0,604.0,39.0,53.0,43.0
E01000855,Camden ,1623,1180.0,96.0,783.0,2.0,23.0,44.0,118.0,53.0,61.0,443.0,132.0,222.0,22.0,26.0,41.0
E01000856,Camden ,1246,839.0,130.0,378.0,11.0,21.0,39.0,116.0,100.0,44.0,407.0,70.0,140.0,66.0,78.0,53.0
E01000857,Camden ,1122,801.0,63.0,461.0,4.0,65.0,69.0,101.0,24.0,14.0,321.0,113.0,66.0,57.0,54.0,31.0
E01000858,Camden ,1457,904.0,134.0,474.0,6.0,29.0,40.0,83.0,88.0,50.0,553.0,100.0,172.0,89.0,128.0,64.0
E01000859,Camden ,1289,1034.0,83.0,544.0,12.0,68.0,86.0,177.0,41.0,23.0,255.0,107.0,47.0,49.0,28.0,24.0
E01000860,Camden ,1039,687.0,70.0,380.0,10.0,37.0,51.0,87.0,31.0,21.0,352.0,164.0,66.0,44.0,39.0,39.0
E01000861,Camden ,1339,914.0,112.0,485.0,6.0,25.0,57.0,106.0,68.0,55.0,425.0,59.0,231.0,40.0,51.0,44.0
E01000862,Camden ,1360,1055.0,85.0,578.0,15.0,80.0,76.0,173.0,31.0,17.0,305.0,93.0,106.0,60.0,16.0,30.0
E01000863,Camden ,1290,984.0,79.0,557.0,4.0,29.0,55.0,121.0,64.0,75.0,306.0,43.0,133.0,34.0,60.0,36.0
E01000864,Camden ,1276,946.0,100.0,531.0,8.0,35.0,58.0,113.0,55.0,46.0,330.0,60.0,147.0,41.0,42.0,40.0
E01000865,Camden ,1330,713.0,62.0,320.0,5.0,38.0,58.0,68.0,34.0,128.0,617.0,63.0,490.0,19.0,31.0,14.0
E01000866,Camden ,1606,1140.0,143.0,610.0,5.0,43.0,70.0,128.0,81.0,60.0,466.0,120.0,147.0,58.0,102.0,39.0
E01000867,Camden ,1225,772.0,109.0,412.0,3.0,23.0,34.0,58.0,54.0,79.0,453.0,80.0,171.0,72.0,65.0,65.0
E01000868,Camden ,1014,700.0,143.0,333.0,10.0,18.0,29.0,47.0,90.0,30.0,314.0,52.0,74.0,68.0,87.0,33.0
E01000869,Camden ,1733,1254.0,136.0,682.0,8.0,40.0,66.0,163.0,77.0,82.0,479.0,112.0,199.0,50.0,62.0,56.0
E01000870,Camden ,1357,955.0,123.0,500.0,3.0,33.0,55.0,124.0,71.0,46.0,402.0,93.0,121.0,38.0,115.0,35.0
E01000871,Camden ,1267,933.0,109.0,489.0,6.0,57.0,65.0,111.0,61.0,35.0,334.0,99.0,92.0,62.0,38.0,43.0
E01000872,Camden ,1623,1270.0,120.0,808.0,14.0,33.0,55.0,118.0,70.0,52.0,353.0,74.0,109.0,52.0,70.0,48.0
E01000873,Camden ,1317,1053.0,100.0,688.0,1.0,31.0,75.0,99.0,44.0,15.0,264.0,99.0,68.0,42.0,37.0,18.0
E01000874,Camden ,1245,984.0,75.0,628.0,7.0,43.0,86.0,77.0,35.0,33.0,261.0,95.0,90.0,47.0,7.0,22.0
E01000875,Camden ,1394,1047.0,96.0,695.0,7.0,14.0,54.0,93.0,60.0,28.0,347.0,72.0,135.0,38.0,60.0,42.0
E01000876,Camden ,1359,942.0,112.0,554.0,9.0,20.0,34.0,75.0,91.0,47.0,417.0,108.0,114.0,63.0,85.0,47.0
