LSOA21CD,All categories: Highest level of qualification_weighted,Highest level of qualification: Level 4 qualifications and above_weighted
E01001028,1339.0,561.0
E01001029,1330.0,541.0
E01001030,1119.0,488.0
E01001031,1175.0,491.0
E01001032,1162.0,495.0
E01001033,1283.0,496.0
E01001034,1241.0,491.0
E01001035,1511.0,683.0
E01001036,1280.0,647.0
E01001037,1082.0,413.0
E01001038,1535.0,666.0
E01001039,1210.0,586.0
E01001040,1354.0,521.0
E01001041,1251.0,434.0
E01001042,1448.0,498.0
E01001044,1592.0,889.0
E01001046,1427.0,877.0
E01001047,1432.0,583.0
E01001049,1200.0,651.0
E01001050,1362.0,611.0
E01001051,1095.0,127.0
E01001052,961.0,121.0
E01001053,1101.0,146.0
E01001054,1272.0,169.0
E01001055,1224.0,128.0
E01001056,1146.0,144.0
E01001057,1109.0,156.0
E01001058,1036.0,315.0
E01001059,1155.0,319.0
E01001060,1241.0,314.0
E01001061,1204.0,265.0
E01001062,1332.0,489.0
E01001063,1273.0,462.0
E01001064,1325.0,462.0
E01001065,1164.0,328.0
E01001066,966.0,180.0
E01001067,1297.0,591.0
E01001068,1496.0,541.0
E01001069,1103.0,454.0
E01001070,1361.0,376.0
E01001071,1455.0,431.0
E01001072,1219.0,495.0
E01001073,1192.0,473.0
E01001074,1534.0,515.0
E01001075,1202.0,408.0
E01001076,1163.0,151.0
E01001077,1113.0,199.0
E01001078,1030.0,149.0
E01001079,1239.0,161.0
E01001080,1225.0,122.0
E01001081,1058.0,88.0
E01001082,1186.0,158.0
E01001083,1290.0,471.0
E01001084,1487.0,622.0
E01001085,1276.0,420.0
E01001086,1428.0,495.0
E01001087,1811.0,592.0
E01001088,1277.0,374.0
E01001089,1420.0,380.0
E01001090,1741.0,604.0
E01001091,1283.0,483.0
E01001092,1465.0,593.0
E01001093,1343.0,492.0
E01001094,1285.0,602.0
E01001095,1161.0,397.0
E01001096,1241.0,548.0
E01001097,1785.0,696.0
E01001098,1172.0,541.0
E01001099,1139.0,414.0
E01001100,1173.0,487.0
E01001101,1145.0,434.0
E01001102,1235.0,465.0
E01001103,1347.0,408.0
E01001104,1332.0,506.0
E01001105,1320.0,268.0
E01001106,1168.0,258.0
E01001107,1353.0,627.0
E01001108,1378.0,631.0
E01001109,1541.0,451.0
E01001110,1364.0,487.0
E01001111,1223.0,325.0
E01001112,1304.0,338.0
E01001113,1357.0,451.0
E01001114,1008.0,233.0
E01001115,1257.0,295.0
E01001116,1021.0,274.0
E01001118,1443.0,354.0
E01001119,1218.0,310.0
E01001120,1026.0,307.0
E01001121,1148.0,397.0
E01001122,1286.0,524.0
E01001123,1268.0,391.0
E01001124,1351.0,531.0
E01001125,1365.0,399.0
E01001126,1174.0,291.0
E01001127,1325.0,393.0
E01001128,1125.0,226.0
E01001129,1192.0,384.0
E01001130,1103.0,217.0
E01001131,1254.0,295.0
E01001132,1294.0,372.0
E01001133,1338.0,337.0
E01001134,1349.0,439.0
E01001135,1367.0,410.0
E01001136,1510.0,442.0
E01001137,1458.0,657.0
E01001138,1261.0,631.0
E01001139,1278.0,456.0
E01001140,1298.0,523.0
E01001141,956.0,314.0
E01001142,1181.0,445.0
E01001143,1484.0,397.0
E01001144,1309.0,391.0
E01001145,1265.0,292.0
E01001146,1247.0,371.0
E01001147,1152.0,298.0
E01001148,1230.0,372.0
E01001149,1152.0,402.0
E01001150,1240.0,438.0
E01001151,1209.0,263.0
E01001152,1227.0,362.0
E01001153,1243.0,335.0
E01001154,1412.0,353.0
E01001155,1288.0,316.0
E01001156,1345.0,492.0
E01001157,1353.0,447.0
E01001158,1191.0,402.0
E01001159,1449.0,535.0
E01001160,1538.0,490.0
E01001161,1395.0,283.0
E01001162,1320.0,465.0
E01001163,1531.0,581.0
E01001164,1584.0,772.0
E01001165,1304.0,427.0
E01001166,1402.0,406.0
E01001167,1700.0,501.0
E01001168,1401.0,473.0
E01001169,1240.0,256.0
E01001170,1681.0,586.0
E01001171,1308.0,417.0
E01001172,1256.0,221.0
E01001173,1981.0,712.0
E01001174,1226.0,331.0
E01001175,1176.0,295.0
E01001176,1380.0,410.0
E01001177,1195.0,296.0
E01001178,991.0,262.0
E01001179,1151.0,339.0
E01001180,1248.0,326.0
E01001181,1354.0,331.0
E01001182,1092.0,345.0
E01001183,1229.0,348.0
E01001184,1066.0,293.0
E01001185,1292.0,379.0
E01001186,1372.0,417.0
E01001187,1488.0,415.0
E01001188,1365.0,378.0
E01001189,935.0,267.0
E01001190,1167.0,334.0
E01001191,1379.0,453.0
E01001192,1216.0,357.0
E01001193,1250.0,290.0
E01001194,1196.0,383.0
E01001195,1469.0,551.0
E01001196,1407.0,405.0
E01001197,1354.0,522.0
E01001198,1184.0,522.0
E01001199,1355.0,581.0
E01001200,1245.0,597.0
E01001201,1275.0,613.0
E01001202,1633.0,622.0
E01001203,1472.0,591.0
E01001204,1286.0,638.0
E01001205,1198.0,443.0
E01001206,1164.0,318.0
E01001207,1319.0,709.0
E01001208,1027.0,549.0
E01001209,1313.0,764.0
E01001210,1298.0,336.0
E01001211,1377.0,754.0
E01001212,1416.0,754.0
E01001213,1482.0,374.0
E01001214,1443.0,431.0
E01001215,1404.0,344.0
E01001216,1253.0,396.0
E01001217,1217.0,328.0
E01001218,1456.0,324.0
E01001219,1479.0,257.0
E01001220,1061.0,176.0
E01001223,1314.0,789.0
E01001224,1280.0,784.0
E01001225,1520.0,898.0
E01001226,1311.0,782.0
E01001227,1231.0,733.0
E01001228,1611.0,859.0
E01001229,1215.0,405.0
E01001230,1286.0,722.0
E01001231,1577.0,820.0
E01001232,1261.0,543.0
E01001233,1210.0,541.0
E01001234,1216.0,704.0
E01001235,1401.0,898.0
E01001236,1345.0,802.0
E01001237,1374.0,813.0
E01001239,1236.0,385.0
E01001240,1313.0,428.0
E01001241,1235.0,373.0
E01001242,1125.0,399.0
E01001243,1295.0,476.0
E01001244,2050.0,864.0
E01001245,1584.0,793.0
E01001246,1055.0,307.0
E01001247,1787.0,634.0
E01001248,1303.0,481.0
E01001249,1866.0,717.0
E01001250,1692.0,624.0
E01001251,1334.0,593.0
E01001252,1539.0,550.0
E01001253,1317.0,533.0
E01001254,1350.0,648.0
E01001255,1274.0,593.0
E01001257,1251.0,245.0
E01001258,1351.0,351.0
E01001259,1163.0,288.0
E01001260,1531.0,457.0
E01001261,1766.0,475.0
E01001262,1234.0,268.0
E01001263,1281.0,287.0
E01001264,1253.0,322.0
E01001265,1314.0,394.0
E01001266,1505.0,461.0
E01001267,1525.0,393.0
E01001268,1356.0,426.0
E01001269,1542.0,498.0
E01001270,1369.0,423.0
E01001271,1418.0,394.0
E01001272,1312.0,436.0
E01001273,1329.0,724.0
E01001274,1209.0,583.0
E01001275,1615.0,952.0
E01001276,1435.0,519.0
E01001277,1537.0,649.0
E01001278,1597.0,677.0
E01001279,1196.0,726.0
E01001280,1436.0,768.0
E01001281,1255.0,806.0
E01001282,1208.0,278.0
E01001283,1262.0,318.0
E01001284,1255.0,417.0
E01001285,1291.0,365.0
E01001286,1256.0,375.0
E01001287,1056.0,258.0
E01001288,1148.0,479.0
E01001289,1038.0,471.0
E01001290,1499.0,705.0
E01001291,1282.0,347.0
E01001292,1378.0,371.0
E01001293,1263.0,325.0
E01001294,1526.0,395.0
E01001295,1451.0,368.0
E01001296,1178.0,289.0
E01001297,1437.0,366.0
E01001298,1575.0,355.0
E01001299,1464.0,701.0
E01001300,1302.0,736.0
E01001301,1569.0,890.0
E01001302,1291.0,671.0
E01001303,1311.0,819.0
E01001304,1338.0,731.0
E01001305,1375.0,728.0
E01001306,1322.0,734.0
E01001307,1503.0,488.0
E01001308,1699.0,580.0
E01001309,1439.0,386.0
E01001310,1413.0,402.0
E01001311,1556.0,332.0
E01001312,1470.0,475.0
E01001313,1384.0,456.0
E01001314,1264.0,413.0
E01001315,1125.0,305.0
E01001316,1174.0,283.0
E01001317,1405.0,325.0
E01001318,1334.0,281.0
E01001319,1166.0,291.0
E01001320,1060.0,200.0
E01001321,1584.0,401.0
E01001322,1355.0,404.0
E01001323,1411.0,495.0
E01001324,1193.0,360.0
E01001325,1322.0,268.0
E01001326,1277.0,291.0
E01001327,1394.0,266.0
E01001328,1265.0,252.0
E01001329,1313.0,288.0
E01001330,1203.0,215.0
E01001331,1155.0,231.0
E01001332,1135.0,267.0
E01001333,1497.0,330.0
E01001334,1210.0,222.0
E01001335,1501.0,494.0
E01001336,1278.0,363.0
E01001337,1179.0,370.0
E01001338,1575.0,423.0
E01001339,1346.0,320.0
E01001340,1552.0,447.0
E01001341,1357.0,401.0
E01001342,1470.0,489.0
E01001343,1219.0,374.0
E01001344,1725.0,643.0
E01001345,1306.0,314.0
E01001346,1483.0,444.0
E01001347,1265.0,371.0
E01001348,1289.0,446.0
E01001349,1138.0,293.0
E01001350,1223.0,645.0
E01001351,1669.0,653.0
E01001352,1241.0,643.0
E01001353,1359.0,607.0
E01001354,1559.0,722.0
E01001355,1415.0,588.0
E01001356,1424.0,329.0
E01001357,825.0,228.0
E01001358,1116.0,245.0
E01001359,1694.0,373.0
E01001360,1561.0,362.0
E01001361,1393.0,296.0
E01001362,1583.0,394.0
E01001363,1275.0,232.0
E01001364,1341.0,277.0
E01001365,1745.0,388.0
E01001366,1480.0,322.0
E01001367,1390.0,292.0
E01001368,1328.0,277.0
E01001369,1476.0,379.0
E01001370,1577.0,316.0
E01001371,1546.0,337.0
E01001372,1375.0,279.0
E01001373,1152.0,246.0
E01001374,1480.0,827.0
E01001375,1343.0,909.0
E01001376,1334.0,633.0
E01001377,1406.0,914.0
E01001379,1352.0,863.0
E01001380,1474.0,821.0
E01001381,1412.0,661.0
E01001382,1202.0,708.0
E01001383,1492.0,735.0
E01001384,1381.0,771.0
E01001385,1366.0,771.0
E01001386,1437.0,910.0
E01001387,1313.0,733.0
E01001388,1315.0,562.0
E01001389,1430.0,681.0
E01001390,1670.0,800.0
E01001391,1342.0,497.0
E01001392,1522.0,662.0
E01001393,1787.0,790.0
E01001394,1363.0,356.0
E01001395,1199.0,286.0
E01001396,1199.0,345.0
E01001397,1546.0,481.0
E01001398,1129.0,405.0
E01001399,1178.0,364.0
E01001400,1285.0,414.0
E01001401,1038.0,305.0
E01001402,1532.0,598.0
E01001403,1298.0,369.0
E01001404,1169.0,325.0
E01001405,1494.0,532.0
E01001406,1291.0,410.0
E01001407,1272.0,343.0
E01001408,1309.0,470.0
E01001409,1433.0,355.0
E01001410,1295.0,270.0
E01001411,1402.0,542.0
E01001412,1461.0,321.0
E01001413,1332.0,441.0
E01001414,1204.0,263.0
E01001415,1338.0,407.0
E01001416,1424.0,570.0
E01001417,1632.0,580.0
E01001418,1379.0,492.0
E01001419,1680.0,624.0
E01001420,1256.0,330.0
E01001421,1379.0,399.0
E01001422,1325.0,596.0
E01001423,1329.0,269.0
E01001424,871.0,216.0
E01001425,1302.0,252.0
E01001426,1344.0,250.0
E01001427,1279.0,234.0
E01001428,1244.0,232.0
E01001429,1782.0,357.0
E01001430,1246.0,188.0
E01001431,1121.0,223.0
E01001432,1410.0,305.0
E01001433,1292.0,196.0
E01001434,1183.0,218.0
E01001435,1112.0,218.0
E01001436,1405.0,300.0
E01001437,1743.0,354.0
E01001438,1245.0,254.0
E01001439,1434.0,235.0
E01001440,1263.0,217.0
E01001441,1142.0,203.0
E01001442,1142.0,176.0
E01001444,1321.0,288.0
E01001445,1681.0,452.0
E01001446,1374.0,277.0
E01001447,1474.0,297.0
E01001448,1354.0,313.0
E01001449,1161.0,238.0
E01001450,1575.0,541.0
E01001451,1349.0,471.0
E01001452,1093.0,439.0
E01001453,1376.0,558.0
E01001454,1318.0,564.0
E01001455,1253.0,425.0
E01001456,1082.0,495.0
E01001457,1425.0,599.0
E01001458,1287.0,244.0
E01001459,1280.0,308.0
E01001460,1222.0,262.0
E01001461,1273.0,260.0
E01001462,1021.0,240.0
E01001463,1218.0,251.0
E01001464,1004.0,168.0
E01001465,1186.0,269.0
E01001466,1271.0,273.0
E01001467,1367.0,324.0
E01001468,1127.0,388.0
E01001469,1305.0,408.0
E01001470,1309.0,411.0
E01001471,1521.0,551.0
E01001472,1412.0,521.0
E01001473,1216.0,338.0
E01001474,1537.0,645.0
E01001475,1380.0,536.0
E01001476,1271.0,274.0
E01001477,1330.0,263.0
E01001478,1189.0,252.0
E01001479,1311.0,280.0
E01001480,1220.0,283.0
E01001481,1284.0,247.0
E01001482,1374.0,268.0
E01001483,908.0,176.0
E01001484,1052.0,240.0
E01001485,1319.0,266.0
E01001486,1520.0,272.0
E01001487,1399.0,280.0
E01001488,1364.0,299.0
E01001489,1330.0,263.0
E01001491,1452.0,303.0
E01001492,1449.0,314.0
E01001493,1427.0,404.0
E01001494,1225.0,328.0
E01001495,1442.0,659.0
E01001496,1378.0,433.0
E01001497,1148.0,302.0
E01001498,1602.0,644.0
E01001499,1348.0,370.0
E01001500,1217.0,392.0
E01001501,1518.0,592.0
E01001502,1453.0,272.0
E01001503,1386.0,287.0
E01001504,1162.0,200.0
E01001505,1300.0,277.0
E01001507,1416.0,317.0
E01001508,1461.0,410.0
E01001509,1298.0,263.0
E01001511,1304.0,365.0
E01001512,1390.0,455.0
E01001513,1305.0,271.0
E01001514,1373.0,414.0
E01001515,1398.0,337.0
E01001516,1369.0,255.0
E01001517,1332.0,204.0
E01001518,1411.0,466.0
E01001520,1361.0,538.0
E01001521,1455.0,689.0
E01001522,1387.0,595.0
E01001523,1419.0,549.0
E01001524,1218.0,416.0
E01001525,1484.0,574.0
E01001526,1321.0,511.0
E01001527,1316.0,529.0
E01001528,1129.0,273.0
E01001529,1270.0,371.0
E01001530,1058.0,427.0
E01001531,1215.0,608.0
E01001532,1445.0,762.0
E01001533,1285.0,560.0
E01001534,1348.0,537.0
E01001535,1224.0,454.0
E01001536,1425.0,586.0
E01001537,1369.0,415.0
E01001538,1307.0,349.0
E01001539,1330.0,393.0
E01001540,1443.0,574.0
E01001541,1177.0,481.0
E01001542,1225.0,367.0
E01001543,1307.0,339.0
E01001544,1316.0,426.0
E01001545,1312.0,193.0
E01001546,1348.0,244.0
E01001547,1360.0,270.0
E01001548,1338.0,266.0
E01001549,1374.0,235.0
E01001550,1200.0,207.0
E01001551,1344.0,223.0
E01001552,1433.0,278.0
E01001553,1146.0,204.0
E01001554,1323.0,241.0
E01001555,1343.0,284.0
E01001556,1259.0,320.0
E01001557,1146.0,256.0
E01001558,1112.0,233.0
E01001559,1543.0,346.0
E01001560,1242.0,271.0
E01001562,1294.0,290.0
E01001563,1329.0,544.0
E01001564,1326.0,642.0
E01001565,1352.0,585.0
E01001566,1431.0,689.0
E01001567,1276.0,580.0
E01001568,1299.0,501.0
E01001569,1460.0,671.0
E01001570,1461.0,477.0
E01001571,1256.0,325.0
E01001572,1281.0,380.0
E01001573,1156.0,291.0
E01001574,1269.0,277.0
E01001575,1188.0,258.0
E01001576,1233.0,235.0
E01001577,1320.0,318.0
E01001578,1569.0,422.0
E01001579,1215.0,270.0
E01001580,1427.0,955.0
E01001581,1456.0,683.0
E01001582,1177.0,559.0
E01001583,1376.0,844.0
E01001584,1304.0,853.0
E01001585,1210.0,690.0
E01001586,1241.0,648.0
E01001587,1588.0,963.0
E01001588,1360.0,414.0
E01001589,1304.0,434.0
E01001590,1445.0,628.0
E01001591,1537.0,449.0
E01001592,1388.0,683.0
E01001593,1349.0,717.0
E01001594,1408.0,478.0
E01001595,1456.0,380.0
E01001596,1290.0,319.0
E01001597,1280.0,375.0
E01001598,1345.0,409.0
E01001599,1361.0,290.0
E01001600,1292.0,339.0
E01001601,1298.0,320.0
E01001602,1455.0,225.0
E01001603,1310.0,207.0
E01001604,1170.0,449.0
E01001605,1288.0,318.0
E01001606,1293.0,411.0
E01001607,1193.0,349.0
E01001608,1186.0,512.0
E01001609,1330.0,464.0
E01001610,1366.0,401.0
E01001611,1363.0,333.0
E01001613,1337.0,388.0
E01001614,1226.0,316.0
E01001615,1294.0,505.0
E01001617,1355.0,346.0
E01001618,1252.0,242.0
E01001619,1518.0,440.0
E01001620,1218.0,221.0
E01001621,1206.0,313.0
E01001623,1328.0,351.0
E01001624,1254.0,267.0
E01001625,1259.0,182.0
E01001629,1637.0,428.0
E01001631,1504.0,370.0
E01001632,1842.0,556.0
E01001633,1207.0,304.0
E01001634,1253.0,229.0
E01001635,1316.0,401.0
E01001636,1396.0,383.0
E01001637,1374.0,405.0
E01001638,1513.0,516.0
E01001641,1467.0,827.0
E01001642,1440.0,993.0
E01001644,1878.0,1135.0
E01001645,1363.0,356.0
E01001646,2182.0,814.0
E01001647,1206.0,383.0
E01001648,1415.0,529.0
E01001649,1202.0,245.0
E01001650,1367.0,320.0
E01001651,1349.0,333.0
E01001652,1310.0,532.0
E01001653,1156.0,168.0
E01001654,1138.0,202.0
E01001655,1120.0,183.0
E01001656,1042.0,491.0
E01001657,1222.0,667.0
E01001658,1255.0,464.0
E01001659,1200.0,430.0
E01001660,1213.0,259.0
E01001661,1197.0,255.0
E01001664,1598.0,852.0
E01001665,1554.0,820.0
E01001666,1215.0,489.0
E01001669,1414.0,324.0
E01001671,1211.0,337.0
E01001672,1548.0,413.0
E01001673,1519.0,323.0
E01001674,1489.0,362.0
E01001675,1572.0,410.0
E01001676,1286.0,319.0
E01001677,1484.0,455.0
E01001678,1333.0,297.0
E01001679,1045.0,359.0
E01001680,1281.0,480.0
E01001681,962.0,377.0
E01001682,1067.0,390.0
E01001683,1196.0,361.0
E01001684,1139.0,250.0
E01001685,1233.0,308.0
E01001686,1390.0,505.0
E01001687,919.0,252.0
E01001688,1814.0,675.0
E01001690,1439.0,372.0
E01001692,997.0,239.0
E01001693,1095.0,255.0
E01001694,1243.0,382.0
E01001695,1285.0,296.0
E01001696,985.0,208.0
E01001697,1544.0,483.0
E01001698,1274.0,347.0
E01001699,1452.0,350.0
E01001700,1483.0,461.0
E01001701,1054.0,314.0
E01001702,1095.0,204.0
E01001703,1321.0,335.0
E01001704,1297.0,420.0
E01001705,1410.0,364.0
E01001708,1240.0,488.0
E01001710,1193.0,263.0
E01001712,1588.0,461.0
E01001714,1205.0,380.0
E01001715,1206.0,783.0
E01001716,1122.0,544.0
E01001717,951.0,446.0
E01001718,1627.0,1110.0
E01001719,959.0,369.0
E01001720,1552.0,1023.0
E01001722,1527.0,517.0
E01001723,1527.0,668.0
E01001724,1852.0,976.0
E01001725,1211.0,344.0
E01001726,956.0,232.0
E01001727,1281.0,472.0
E01001728,1238.0,208.0
E01001729,1512.0,464.0
E01001730,1413.0,333.0
E01001731,1829.0,790.0
E01001732,1266.0,340.0
E01001733,1465.0,683.0
E01001734,1542.0,725.0
E01001735,1300.0,553.0
E01001736,1348.0,753.0
E01001737,1513.0,903.0
E01001738,1454.0,796.0
E01001739,1748.0,1021.0
E01001740,1203.0,399.0
E01001741,1184.0,732.0
E01001742,1477.0,703.0
E01001744,1565.0,672.0
E01001745,1767.0,692.0
E01001746,1148.0,320.0
E01001747,1875.0,915.0
E01001749,1448.0,898.0
E01001750,1565.0,743.0
E01001751,1372.0,959.0
E01001753,1226.0,379.0
E01001755,1393.0,449.0
E01001756,1933.0,1163.0
E01001757,1297.0,376.0
E01001758,1614.0,610.0
E01001759,1500.0,666.0
E01001760,1485.0,598.0
E01001761,1531.0,620.0
E01001762,1549.0,825.0
E01001763,1364.0,648.0
E01001764,1372.0,593.0
E01001765,1282.0,309.0
E01001767,1290.0,591.0
E01001768,1533.0,783.0
E01001769,1339.0,645.0
E01001770,1394.0,474.0
E01001772,820.0,236.0
E01001773,1681.0,688.0
E01001774,1690.0,810.0
E01001775,1403.0,441.0
E01001776,1214.0,381.0
E01001777,1927.0,843.0
E01001780,1534.0,629.0
E01001781,1365.0,407.0
E01001783,1523.0,466.0
E01001784,1943.0,629.0
E01001785,1203.0,487.0
E01001786,1306.0,312.0
E01001787,1150.0,225.0
E01001788,1150.0,293.0
E01001789,1379.0,613.0
E01001790,939.0,242.0
E01001791,1135.0,357.0
E01001792,1431.0,596.0
E01001793,1388.0,662.0
E01001794,1596.0,680.0
E01001795,1212.0,617.0
E01001796,1379.0,620.0
E01001798,1329.0,374.0
E01001799,1009.0,346.0
E01001800,1089.0,263.0
E01001801,1156.0,395.0
E01001802,952.0,291.0
E01001803,1401.0,776.0
E01001804,1014.0,325.0
E01001805,1019.0,562.0
E01001806,1269.0,643.0
E01001807,1330.0,445.0
E01001808,1161.0,241.0
E01001809,1286.0,317.0
E01001811,1185.0,230.0
E01001812,1188.0,384.0
E01001813,987.0,258.0
E01001814,1165.0,360.0
E01001815,1411.0,500.0
E01001816,1304.0,618.0
E01001819,1336.0,661.0
E01001820,1188.0,394.0
E01001821,1168.0,364.0
E01001822,1287.0,277.0
E01001823,1120.0,253.0
E01001824,999.0,212.0
E01001825,933.0,150.0
E01001826,1144.0,244.0
E01001827,1299.0,239.0
E01001828,1488.0,439.0
E01001829,1428.0,893.0
E01001830,1649.0,654.0
E01001831,1461.0,756.0
E01001832,1388.0,710.0
E01001833,1752.0,870.0
E01001834,1720.0,984.0
E01001835,1061.0,614.0
E01001836,1466.0,616.0
E01001837,1249.0,736.0
E01001838,1255.0,288.0
E01001839,1893.0,971.0
E01001840,1291.0,420.0
E01001841,1155.0,479.0
E01001842,1211.0,456.0
E01001843,980.0,428.0
E01001844,1642.0,754.0
E01001845,1216.0,324.0
E01001846,970.0,262.0
E01001847,890.0,267.0
E01001848,1302.0,497.0
E01001849,1846.0,759.0
E01001850,1249.0,271.0
E01001851,1305.0,825.0
E01001852,1641.0,1067.0
E01001853,1278.0,822.0
E01001854,1526.0,851.0
E01001855,1486.0,916.0
E01001856,1352.0,678.0
E01001857,1253.0,485.0
E01001858,1547.0,633.0
E01001859,1998.0,983.0
E01001860,1465.0,575.0
E01001861,1231.0,517.0
E01001862,1478.0,614.0
E01001863,1257.0,637.0
E01001864,1335.0,619.0
E01001865,1411.0,711.0
E01001866,1397.0,785.0
E01001867,1243.0,673.0
E01001868,1097.0,332.0
E01001869,1076.0,683.0
E01001870,1770.0,1070.0
E01001871,1461.0,833.0
E01001872,1453.0,852.0
E01001873,1210.0,608.0
E01001875,1417.0,342.0
E01001876,1759.0,671.0
E01001877,1092.0,363.0
E01001878,1256.0,271.0
E01001879,1281.0,562.0
E01001880,1305.0,626.0
E01001881,1409.0,826.0
E01001882,1560.0,950.0
E01001883,1337.0,613.0
E01001884,1609.0,731.0
E01001885,1010.0,227.0
E01001886,1307.0,527.0
E01001887,1329.0,578.0
E01001888,1402.0,759.0
E01001889,1232.0,729.0
E01001890,1623.0,931.0
E01001891,1857.0,1100.0
E01001892,1131.0,471.0
E01001893,1003.0,341.0
E01001894,1140.0,498.0
E01001895,1316.0,673.0
E01001896,1354.0,602.0
E01001897,1139.0,678.0
E01001898,1381.0,757.0
E01001899,1168.0,366.0
E01001900,1519.0,620.0
E01001901,1317.0,768.0
E01001902,1526.0,826.0
E01001903,1374.0,577.0
E01001904,1354.0,814.0
E01001905,1443.0,870.0
E01001906,1280.0,820.0
E01001907,1052.0,646.0
E01001908,1506.0,875.0
E01001909,1575.0,779.0
E01001910,1395.0,844.0
E01001911,1375.0,491.0
E01001912,1260.0,360.0
E01001913,1442.0,1076.0
E01001914,1579.0,902.0
E01001915,1155.0,713.0
E01001916,1210.0,735.0
E01001917,1257.0,622.0
E01001918,1237.0,679.0
E01001919,1252.0,686.0
E01001920,1342.0,537.0
E01001921,1288.0,719.0
E01001922,1295.0,745.0
E01001923,1253.0,702.0
E01001924,1248.0,816.0
E01001925,1237.0,719.0
E01001926,1199.0,760.0
E01001927,1191.0,702.0
E01001928,1361.0,702.0
E01001929,1029.0,659.0
E01001930,1581.0,775.0
E01001931,1193.0,667.0
E01001932,1404.0,769.0
E01001933,1125.0,622.0
E01001934,1314.0,513.0
E01001935,1770.0,946.0
E01001937,1525.0,890.0
E01001938,1195.0,485.0
E01001940,1352.0,591.0
E01001941,1514.0,856.0
E01001942,1622.0,783.0
E01001943,1714.0,810.0
E01001944,1345.0,410.0
E01001945,1460.0,705.0
E01001946,1367.0,671.0
E01001947,1103.0,327.0
E01001948,1654.0,1033.0
E01001949,1284.0,824.0
E01001950,1271.0,854.0
E01001951,1374.0,834.0
E01001952,1475.0,943.0
E01001953,1175.0,586.0
E01001954,1230.0,517.0
E01001955,1369.0,337.0
E01001956,1281.0,502.0
E01001957,1220.0,245.0
E01001958,1209.0,245.0
E01001959,1342.0,368.0
E01001960,1600.0,847.0
E01001961,1104.0,252.0
E01001962,1301.0,669.0
E01001963,1376.0,826.0
E01001964,1301.0,735.0
E01001965,1256.0,794.0
E01001966,1195.0,698.0
E01001967,1312.0,791.0
E01001968,1505.0,894.0
E01001969,1575.0,585.0
E01001970,1546.0,518.0
E01001971,1553.0,386.0
E01001972,1361.0,512.0
E01001973,1808.0,759.0
E01001974,1871.0,822.0
E01001975,1448.0,587.0
E01001976,1239.0,312.0
E01001977,1187.0,267.0
E01001978,1491.0,361.0
E01001979,1660.0,410.0
E01001980,1526.0,443.0
E01001981,1399.0,400.0
E01001982,1423.0,434.0
E01001983,1305.0,470.0
E01001984,1372.0,867.0
E01001985,1382.0,985.0
E01001986,1345.0,869.0
E01001987,1543.0,1101.0
E01001988,1482.0,955.0
E01001989,1413.0,936.0
E01001990,1892.0,1276.0
E01001991,1352.0,865.0
E01001992,1352.0,854.0
E01001993,1233.0,861.0
E01001994,1501.0,888.0
E01001995,1762.0,707.0
E01001996,1290.0,727.0
E01001997,1341.0,843.0
E01001998,1804.0,890.0
E01001999,1724.0,792.0
E01002000,1417.0,703.0
E01002001,1465.0,767.0
E01002002,1559.0,755.0
E01002003,1728.0,614.0
E01002004,1615.0,749.0
E01002005,1474.0,1041.0
E01002006,1405.0,961.0
E01002007,1426.0,1037.0
E01002008,1264.0,759.0
E01002009,1468.0,990.0
E01002010,1358.0,774.0
E01002011,1450.0,905.0
E01002013,1124.0,693.0
E01002014,1446.0,833.0
E01002015,1236.0,531.0
E01002016,1601.0,878.0
E01002017,1520.0,830.0
E01002018,1106.0,525.0
E01002019,1084.0,694.0
E01002020,1293.0,719.0
E01002021,1209.0,777.0
E01002022,1695.0,1079.0
E01002023,1183.0,761.0
E01002024,1051.0,585.0
E01002025,1341.0,948.0
E01002026,1259.0,332.0
E01002027,1268.0,453.0
E01002028,1463.0,529.0
E01002029,1415.0,467.0
E01002030,1359.0,554.0
E01002031,1641.0,656.0
E01002032,1416.0,402.0
E01002033,1456.0,415.0
E01002034,1348.0,244.0
E01002036,1195.0,216.0
E01002037,1388.0,267.0
E01002038,1215.0,228.0
E01002039,1125.0,192.0
E01002040,1506.0,312.0
E01002041,1413.0,363.0
E01002042,1246.0,470.0
E01002043,1583.0,558.0
E01002044,1502.0,623.0
E01002045,1724.0,518.0
E01002046,1358.0,352.0
E01002047,1467.0,646.0
E01002048,1615.0,617.0
E01002049,1472.0,432.0
E01002050,1136.0,224.0
E01002051,1333.0,338.0
E01002052,1172.0,234.0
E01002053,1367.0,371.0
E01002054,1286.0,289.0
E01002055,1038.0,228.0
E01002056,1596.0,559.0
E01002057,1279.0,474.0
E01002058,1443.0,657.0
E01002059,1327.0,671.0
E01002060,1446.0,921.0
E01002061,1430.0,980.0
E01002062,1589.0,1033.0
E01002063,1312.0,803.0
E01002064,1236.0,617.0
E01002065,1504.0,927.0
E01002066,1370.0,355.0
E01002067,1351.0,353.0
E01002068,1543.0,507.0
E01002069,1634.0,455.0
E01002070,1598.0,580.0
E01002071,1205.0,315.0
E01002072,1538.0,462.0
E01002073,1364.0,362.0
E01002074,1536.0,313.0
E01002075,1335.0,310.0
E01002076,1438.0,328.0
E01002077,1536.0,272.0
E01002078,1703.0,476.0
E01002079,1234.0,317.0
E01002081,1403.0,264.0
