LSOA11CD,Borough,All categories: Occupation,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E01000001,City of London ,926,167.0,446.0,208.0,53.0,15.0,17.0,6.0,2.0,12.0
E01000002,City of London ,910,171.0,417.0,207.0,61.0,12.0,8.0,18.0,3.0,13.0
E01000003,City of London ,764,89.0,285.0,183.0,67.0,19.0,36.0,29.0,11.0,45.0
E01000005,City of London ,476,49.0,81.0,90.0,64.0,31.0,33.0,33.0,26.0,69.0
E01000006,Barking and Dagenham ,781,60.0,140.0,77.0,81.0,103.0,73.0,70.0,73.0,104.0
E01000007,Barking and Dagenham ,607,53.0,103.0,62.0,67.0,63.0,54.0,71.0,42.0,92.0
E01000008,Barking and Dagenham ,545,30.0,63.0,39.0,41.0,55.0,61.0,70.0,48.0,138.0
E01000009,Barking and Dagenham ,769,62.0,141.0,93.0,79.0,66.0,54.0,90.0,60.0,124.0
E01000010,Barking and Dagenham ,1327,97.0,362.0,155.0,140.0,88.0,102.0,129.0,58.0,196.0
E01000011,Barking and Dagenham ,691,55.0,106.0,78.0,60.0,61.0,48.0,88.0,59.0,136.0
E01000012,Barking and Dagenham ,769,59.0,106.0,76.0,72.0,83.0,87.0,75.0,69.0,142.0
E01000013,Barking and Dagenham ,669,37.0,77.0,63.0,83.0,86.0,83.0,71.0,69.0,100.0
E01000014,Barking and Dagenham ,696,45.0,71.0,64.0,90.0,92.0,104.0,70.0,56.0,104.0
E01000015,Barking and Dagenham ,885,45.0,101.0,70.0,97.0,131.0,119.0,89.0,80.0,153.0
E01000016,Barking and Dagenham ,678,39.0,70.0,60.0,91.0,94.0,84.0,52.0,67.0,121.0
E01000017,Barking and Dagenham ,642,40.0,90.0,51.0,77.0,78.0,75.0,60.0,78.0,93.0
E01000018,Barking and Dagenham ,644,32.0,81.0,52.0,83.0,87.0,70.0,66.0,61.0,112.0
E01000019,Barking and Dagenham ,558,41.0,61.0,41.0,93.0,64.0,63.0,60.0,49.0,86.0
E01000020,Barking and Dagenham ,712,48.0,94.0,76.0,99.0,91.0,78.0,51.0,70.0,105.0
E01000021,Barking and Dagenham ,614,46.0,69.0,49.0,72.0,100.0,76.0,42.0,52.0,108.0
E01000022,Barking and Dagenham ,532,27.0,69.0,45.0,68.0,76.0,53.0,54.0,49.0,91.0
E01000023,Barking and Dagenham ,521,45.0,96.0,54.0,72.0,49.0,39.0,56.0,37.0,73.0
E01000024,Barking and Dagenham ,534,23.0,62.0,44.0,70.0,59.0,66.0,54.0,69.0,87.0
E01000025,Barking and Dagenham ,678,39.0,100.0,47.0,87.0,79.0,73.0,63.0,71.0,119.0
E01000027,Barking and Dagenham ,634,46.0,82.0,43.0,89.0,86.0,86.0,67.0,61.0,74.0
E01000028,Barking and Dagenham ,535,25.0,72.0,44.0,69.0,61.0,73.0,69.0,47.0,75.0
E01000029,Barking and Dagenham ,636,52.0,108.0,73.0,96.0,73.0,55.0,57.0,51.0,71.0
E01000030,Barking and Dagenham ,665,39.0,74.0,69.0,69.0,90.0,88.0,68.0,59.0,109.0
E01000031,Barking and Dagenham ,728,62.0,139.0,94.0,116.0,78.0,63.0,67.0,48.0,61.0
E01000032,Barking and Dagenham ,718,68.0,94.0,80.0,116.0,95.0,58.0,61.0,53.0,93.0
E01000033,Barking and Dagenham ,512,18.0,46.0,44.0,68.0,71.0,68.0,50.0,52.0,95.0
E01000034,Barking and Dagenham ,559,39.0,73.0,63.0,82.0,58.0,63.0,52.0,69.0,60.0
E01000035,Barking and Dagenham ,684,52.0,94.0,66.0,96.0,94.0,76.0,53.0,54.0,99.0
E01000036,Barking and Dagenham ,643,43.0,91.0,76.0,89.0,96.0,60.0,66.0,54.0,68.0
E01000037,Barking and Dagenham ,890,70.0,106.0,115.0,179.0,150.0,66.0,73.0,59.0,72.0
E01000038,Barking and Dagenham ,650,35.0,83.0,79.0,99.0,86.0,64.0,61.0,62.0,81.0
E01000039,Barking and Dagenham ,748,70.0,124.0,88.0,110.0,91.0,77.0,55.0,66.0,67.0
E01000040,Barking and Dagenham ,637,38.0,64.0,64.0,85.0,76.0,76.0,66.0,59.0,109.0
E01000041,Barking and Dagenham ,683,42.0,83.0,68.0,86.0,94.0,72.0,61.0,75.0,102.0
E01000042,Barking and Dagenham ,610,40.0,82.0,69.0,72.0,81.0,76.0,55.0,40.0,95.0
E01000043,Barking and Dagenham ,519,35.0,58.0,39.0,81.0,66.0,55.0,45.0,52.0,88.0
E01000044,Barking and Dagenham ,769,48.0,117.0,58.0,86.0,101.0,78.0,72.0,69.0,140.0
E01000045,Barking and Dagenham ,664,59.0,76.0,54.0,89.0,94.0,69.0,55.0,52.0,116.0
E01000046,Barking and Dagenham ,738,43.0,79.0,49.0,112.0,112.0,98.0,67.0,65.0,113.0
E01000048,Barking and Dagenham ,520,26.0,56.0,28.0,57.0,55.0,70.0,40.0,57.0,131.0
E01000049,Barking and Dagenham ,572,30.0,57.0,46.0,49.0,50.0,75.0,68.0,53.0,144.0
E01000050,Barking and Dagenham ,570,35.0,85.0,57.0,63.0,71.0,49.0,74.0,59.0,77.0
E01000051,Barking and Dagenham ,581,36.0,57.0,48.0,61.0,56.0,57.0,63.0,57.0,146.0
E01000052,Barking and Dagenham ,858,53.0,112.0,71.0,124.0,112.0,79.0,97.0,54.0,156.0
E01000053,Barking and Dagenham ,617,45.0,83.0,43.0,88.0,74.0,76.0,52.0,65.0,91.0
E01000054,Barking and Dagenham ,694,26.0,83.0,73.0,78.0,82.0,73.0,72.0,82.0,125.0
E01000055,Barking and Dagenham ,664,38.0,77.0,49.0,88.0,91.0,73.0,83.0,67.0,98.0
E01000056,Barking and Dagenham ,609,52.0,70.0,53.0,84.0,65.0,51.0,57.0,78.0,99.0
E01000057,Barking and Dagenham ,595,35.0,79.0,42.0,76.0,68.0,77.0,61.0,56.0,101.0
E01000058,Barking and Dagenham ,796,41.0,129.0,71.0,92.0,93.0,84.0,65.0,85.0,136.0
E01000059,Barking and Dagenham ,621,36.0,66.0,55.0,70.0,86.0,90.0,51.0,67.0,100.0
E01000060,Barking and Dagenham ,685,39.0,100.0,59.0,81.0,76.0,94.0,63.0,75.0,98.0
E01000061,Barking and Dagenham ,591,22.0,115.0,33.0,54.0,57.0,82.0,65.0,50.0,113.0
E01000062,Barking and Dagenham ,770,52.0,125.0,58.0,92.0,88.0,101.0,67.0,93.0,94.0
E01000063,Barking and Dagenham ,661,38.0,64.0,53.0,96.0,87.0,84.0,57.0,81.0,101.0
E01000064,Barking and Dagenham ,754,47.0,102.0,60.0,106.0,89.0,85.0,73.0,71.0,121.0
E01000065,Barking and Dagenham ,661,36.0,94.0,64.0,100.0,70.0,68.0,50.0,67.0,112.0
E01000066,Barking and Dagenham ,802,60.0,111.0,90.0,102.0,95.0,97.0,79.0,76.0,92.0
E01000067,Barking and Dagenham ,824,77.0,133.0,103.0,120.0,84.0,61.0,87.0,83.0,76.0
E01000068,Barking and Dagenham ,739,57.0,119.0,76.0,93.0,94.0,67.0,92.0,58.0,83.0
E01000069,Barking and Dagenham ,798,87.0,116.0,84.0,134.0,93.0,69.0,78.0,76.0,61.0
E01000070,Barking and Dagenham ,843,98.0,130.0,109.0,115.0,79.0,62.0,63.0,83.0,104.0
E01000071,Barking and Dagenham ,973,91.0,169.0,109.0,152.0,80.0,92.0,91.0,89.0,100.0
E01000072,Barking and Dagenham ,725,29.0,87.0,58.0,105.0,112.0,85.0,65.0,80.0,104.0
E01000073,Barking and Dagenham ,652,40.0,74.0,51.0,82.0,86.0,73.0,70.0,68.0,108.0
E01000074,Barking and Dagenham ,641,33.0,69.0,57.0,103.0,88.0,67.0,60.0,54.0,110.0
E01000075,Barking and Dagenham ,678,45.0,64.0,65.0,95.0,100.0,81.0,71.0,70.0,87.0
E01000076,Barking and Dagenham ,740,44.0,83.0,42.0,88.0,92.0,94.0,78.0,89.0,130.0
E01000077,Barking and Dagenham ,608,31.0,71.0,34.0,82.0,77.0,72.0,75.0,42.0,124.0
E01000078,Barking and Dagenham ,611,40.0,74.0,58.0,79.0,73.0,82.0,51.0,66.0,88.0
E01000079,Barking and Dagenham ,575,38.0,76.0,43.0,81.0,70.0,75.0,50.0,55.0,87.0
E01000080,Barking and Dagenham ,612,33.0,54.0,53.0,80.0,79.0,84.0,50.0,72.0,107.0
E01000081,Barking and Dagenham ,701,44.0,67.0,60.0,88.0,95.0,86.0,70.0,80.0,111.0
E01000082,Barking and Dagenham ,670,46.0,83.0,63.0,75.0,83.0,88.0,61.0,64.0,107.0
E01000083,Barking and Dagenham ,671,44.0,60.0,61.0,89.0,86.0,94.0,69.0,67.0,101.0
E01000084,Barking and Dagenham ,561,23.0,55.0,32.0,61.0,76.0,79.0,62.0,62.0,111.0
E01000085,Barking and Dagenham ,630,31.0,55.0,50.0,76.0,98.0,87.0,54.0,70.0,109.0
E01000086,Barking and Dagenham ,602,41.0,71.0,44.0,58.0,71.0,65.0,49.0,81.0,122.0
E01000087,Barking and Dagenham ,559,37.0,59.0,36.0,74.0,72.0,64.0,51.0,69.0,97.0
E01000088,Barking and Dagenham ,753,57.0,107.0,79.0,89.0,95.0,75.0,77.0,67.0,107.0
E01000089,Barking and Dagenham ,722,43.0,81.0,59.0,116.0,106.0,77.0,67.0,62.0,111.0
E01000090,Barking and Dagenham ,664,39.0,84.0,59.0,80.0,104.0,67.0,62.0,59.0,110.0
E01000091,Barking and Dagenham ,585,35.0,58.0,46.0,73.0,65.0,63.0,64.0,73.0,108.0
E01000092,Barking and Dagenham ,1056,81.0,169.0,111.0,112.0,110.0,112.0,87.0,112.0,162.0
E01000093,Barking and Dagenham ,576,38.0,67.0,40.0,61.0,69.0,78.0,66.0,48.0,109.0
E01000094,Barking and Dagenham ,626,47.0,109.0,76.0,86.0,55.0,63.0,54.0,51.0,85.0
E01000095,Barking and Dagenham ,671,46.0,96.0,77.0,87.0,66.0,86.0,60.0,72.0,81.0
E01000096,Barking and Dagenham ,619,21.0,69.0,42.0,62.0,67.0,107.0,59.0,62.0,130.0
E01000097,Barking and Dagenham ,642,55.0,81.0,76.0,82.0,83.0,65.0,66.0,57.0,77.0
E01000098,Barking and Dagenham ,679,47.0,77.0,57.0,89.0,79.0,83.0,79.0,80.0,88.0
E01000099,Barking and Dagenham ,726,54.0,82.0,59.0,96.0,108.0,97.0,56.0,71.0,103.0
E01000100,Barking and Dagenham ,640,40.0,68.0,57.0,94.0,105.0,68.0,67.0,53.0,88.0
E01000101,Barking and Dagenham ,646,48.0,75.0,42.0,77.0,88.0,88.0,60.0,69.0,99.0
E01000102,Barking and Dagenham ,616,52.0,86.0,55.0,90.0,70.0,75.0,38.0,64.0,86.0
E01000103,Barking and Dagenham ,670,33.0,81.0,59.0,88.0,81.0,80.0,66.0,72.0,110.0
E01000104,Barking and Dagenham ,678,54.0,69.0,46.0,85.0,94.0,100.0,64.0,61.0,105.0
E01000105,Barking and Dagenham ,784,50.0,93.0,52.0,100.0,90.0,108.0,72.0,87.0,132.0
E01000106,Barking and Dagenham ,751,54.0,97.0,53.0,100.0,78.0,94.0,80.0,81.0,114.0
E01000107,Barking and Dagenham ,693,50.0,83.0,63.0,120.0,83.0,75.0,62.0,64.0,93.0
E01000108,Barking and Dagenham ,746,48.0,84.0,63.0,132.0,96.0,81.0,54.0,72.0,116.0
E01000109,Barking and Dagenham ,740,49.0,100.0,68.0,111.0,109.0,79.0,74.0,68.0,82.0
E01000110,Barking and Dagenham ,671,62.0,115.0,90.0,115.0,76.0,55.0,64.0,48.0,46.0
E01000111,Barking and Dagenham ,757,61.0,100.0,72.0,116.0,95.0,89.0,62.0,54.0,108.0
E01000112,Barking and Dagenham ,876,67.0,134.0,102.0,131.0,96.0,91.0,75.0,80.0,100.0
E01000113,Barking and Dagenham ,770,70.0,114.0,79.0,120.0,63.0,82.0,79.0,63.0,100.0
E01000114,Barking and Dagenham ,895,69.0,108.0,66.0,138.0,106.0,115.0,84.0,90.0,119.0
E01000115,Barnet ,704,117.0,173.0,112.0,94.0,55.0,57.0,38.0,20.0,38.0
E01000116,Barnet ,866,94.0,178.0,138.0,136.0,86.0,84.0,47.0,56.0,47.0
E01000117,Barnet ,879,119.0,178.0,137.0,135.0,91.0,71.0,47.0,45.0,56.0
E01000118,Barnet ,959,112.0,207.0,143.0,149.0,87.0,92.0,76.0,34.0,59.0
E01000119,Barnet ,794,115.0,237.0,101.0,111.0,67.0,57.0,38.0,28.0,40.0
E01000120,Barnet ,695,109.0,182.0,106.0,95.0,52.0,54.0,51.0,24.0,22.0
E01000121,Barnet ,543,45.0,87.0,67.0,86.0,57.0,67.0,56.0,37.0,41.0
E01000122,Barnet ,746,102.0,194.0,109.0,98.0,62.0,59.0,36.0,32.0,54.0
E01000123,Barnet ,900,96.0,186.0,149.0,123.0,103.0,89.0,55.0,44.0,55.0
E01000124,Barnet ,785,85.0,137.0,113.0,101.0,71.0,62.0,72.0,44.0,100.0
E01000125,Barnet ,1170,84.0,200.0,127.0,120.0,119.0,123.0,114.0,95.0,188.0
E01000126,Barnet ,875,73.0,131.0,95.0,90.0,75.0,111.0,91.0,81.0,128.0
E01000127,Barnet ,667,44.0,78.0,60.0,73.0,97.0,85.0,77.0,54.0,99.0
E01000128,Barnet ,810,56.0,103.0,56.0,109.0,117.0,105.0,79.0,58.0,127.0
E01000129,Barnet ,723,58.0,75.0,56.0,49.0,87.0,96.0,97.0,48.0,157.0
E01000130,Barnet ,724,48.0,114.0,78.0,101.0,73.0,84.0,77.0,54.0,95.0
E01000131,Barnet ,836,74.0,119.0,87.0,114.0,97.0,83.0,92.0,60.0,110.0
E01000132,Barnet ,631,39.0,67.0,43.0,69.0,85.0,86.0,81.0,49.0,112.0
E01000133,Barnet ,648,53.0,83.0,60.0,74.0,82.0,77.0,63.0,57.0,99.0
E01000134,Barnet ,744,42.0,127.0,62.0,96.0,103.0,94.0,61.0,54.0,105.0
E01000135,Barnet ,713,147.0,216.0,109.0,65.0,39.0,46.0,31.0,17.0,43.0
E01000136,Barnet ,704,156.0,237.0,134.0,67.0,22.0,38.0,24.0,5.0,21.0
E01000137,Barnet ,682,76.0,141.0,82.0,74.0,67.0,71.0,51.0,34.0,86.0
E01000138,Barnet ,664,95.0,118.0,84.0,76.0,67.0,64.0,46.0,35.0,79.0
E01000139,Barnet ,742,129.0,178.0,139.0,64.0,50.0,59.0,33.0,20.0,70.0
E01000140,Barnet ,842,104.0,198.0,149.0,75.0,72.0,78.0,54.0,22.0,90.0
E01000141,Barnet ,1142,89.0,208.0,175.0,108.0,147.0,110.0,86.0,39.0,180.0
E01000142,Barnet ,1213,136.0,280.0,168.0,140.0,110.0,94.0,107.0,71.0,107.0
E01000143,Barnet ,591,59.0,90.0,67.0,66.0,56.0,83.0,45.0,39.0,86.0
E01000144,Barnet ,839,138.0,250.0,138.0,74.0,49.0,62.0,41.0,18.0,69.0
E01000145,Barnet ,625,101.0,185.0,90.0,70.0,41.0,29.0,39.0,17.0,53.0
E01000146,Barnet ,942,138.0,251.0,162.0,90.0,47.0,82.0,56.0,17.0,99.0
E01000147,Barnet ,848,83.0,130.0,87.0,111.0,122.0,61.0,107.0,50.0,97.0
E01000148,Barnet ,803,66.0,128.0,103.0,85.0,95.0,65.0,102.0,55.0,104.0
E01000150,Barnet ,1020,101.0,179.0,114.0,123.0,116.0,85.0,109.0,73.0,120.0
E01000151,Barnet ,587,30.0,63.0,65.0,49.0,69.0,95.0,45.0,54.0,117.0
E01000152,Barnet ,607,32.0,80.0,58.0,75.0,53.0,83.0,78.0,55.0,93.0
E01000153,Barnet ,578,43.0,74.0,44.0,62.0,61.0,88.0,70.0,43.0,93.0
E01000154,Barnet ,553,35.0,73.0,51.0,43.0,74.0,79.0,62.0,54.0,82.0
E01000155,Barnet ,1018,111.0,191.0,109.0,78.0,125.0,98.0,97.0,69.0,140.0
E01000156,Barnet ,1003,136.0,306.0,184.0,95.0,81.0,60.0,53.0,22.0,66.0
E01000157,Barnet ,838,88.0,224.0,172.0,99.0,67.0,66.0,44.0,37.0,41.0
E01000158,Barnet ,723,80.0,162.0,129.0,77.0,52.0,61.0,70.0,27.0,65.0
E01000159,Barnet ,798,107.0,187.0,132.0,113.0,65.0,66.0,44.0,33.0,51.0
E01000160,Barnet ,1209,211.0,336.0,242.0,123.0,77.0,76.0,53.0,37.0,54.0
E01000161,Barnet ,993,101.0,240.0,160.0,110.0,97.0,91.0,72.0,37.0,85.0
E01000162,Barnet ,741,98.0,162.0,88.0,77.0,82.0,63.0,69.0,49.0,53.0
E01000163,Barnet ,750,61.0,141.0,97.0,115.0,88.0,89.0,56.0,46.0,57.0
E01000164,Barnet ,782,67.0,156.0,120.0,71.0,86.0,76.0,78.0,44.0,84.0
E01000165,Barnet ,1005,105.0,249.0,159.0,119.0,85.0,88.0,61.0,50.0,89.0
E01000166,Barnet ,731,101.0,173.0,105.0,95.0,58.0,70.0,36.0,43.0,50.0
E01000167,Barnet ,627,49.0,122.0,63.0,93.0,74.0,59.0,55.0,53.0,59.0
E01000168,Barnet ,728,112.0,195.0,119.0,107.0,39.0,59.0,38.0,23.0,36.0
E01000169,Barnet ,812,118.0,202.0,140.0,92.0,75.0,56.0,47.0,33.0,49.0
E01000170,Barnet ,776,106.0,164.0,98.0,113.0,78.0,70.0,47.0,39.0,61.0
E01000171,Barnet ,969,96.0,222.0,170.0,114.0,95.0,84.0,62.0,52.0,74.0
E01000172,Barnet ,753,92.0,183.0,115.0,117.0,69.0,72.0,48.0,25.0,32.0
E01000173,Barnet ,851,86.0,218.0,133.0,110.0,89.0,95.0,46.0,37.0,37.0
E01000174,Barnet ,822,96.0,159.0,137.0,111.0,102.0,77.0,42.0,40.0,58.0
E01000175,Barnet ,777,91.0,198.0,142.0,110.0,63.0,63.0,41.0,34.0,35.0
E01000176,Barnet ,706,71.0,143.0,126.0,73.0,61.0,72.0,56.0,40.0,64.0
E01000177,Barnet ,995,118.0,307.0,247.0,110.0,57.0,37.0,42.0,21.0,56.0
E01000178,Barnet ,904,119.0,303.0,176.0,73.0,63.0,47.0,53.0,17.0,53.0
E01000179,Barnet ,1029,143.0,324.0,209.0,102.0,57.0,60.0,59.0,27.0,48.0
E01000180,Barnet ,809,109.0,241.0,148.0,93.0,52.0,54.0,43.0,17.0,52.0
E01000181,Barnet ,1007,129.0,338.0,230.0,90.0,65.0,54.0,39.0,9.0,53.0
E01000182,Barnet ,982,131.0,354.0,228.0,96.0,43.0,37.0,38.0,16.0,39.0
E01000183,Barnet ,745,126.0,255.0,153.0,83.0,23.0,36.0,28.0,10.0,31.0
E01000184,Barnet ,608,54.0,116.0,75.0,65.0,73.0,74.0,47.0,36.0,68.0
E01000185,Barnet ,618,65.0,116.0,103.0,59.0,55.0,56.0,55.0,29.0,80.0
E01000186,Barnet ,759,134.0,215.0,124.0,120.0,22.0,55.0,40.0,27.0,22.0
E01000187,Barnet ,705,86.0,196.0,99.0,98.0,40.0,61.0,38.0,52.0,35.0
E01000188,Barnet ,813,147.0,243.0,116.0,106.0,58.0,55.0,37.0,21.0,30.0
E01000189,Barnet ,679,39.0,109.0,51.0,77.0,56.0,99.0,92.0,32.0,124.0
E01000190,Barnet ,715,123.0,230.0,95.0,93.0,33.0,45.0,38.0,33.0,25.0
E01000191,Barnet ,710,113.0,222.0,101.0,101.0,31.0,56.0,35.0,27.0,24.0
E01000192,Barnet ,861,131.0,223.0,103.0,97.0,69.0,75.0,55.0,33.0,75.0
E01000193,Barnet ,812,130.0,195.0,107.0,113.0,50.0,56.0,53.0,40.0,68.0
E01000194,Barnet ,819,97.0,143.0,84.0,112.0,80.0,76.0,69.0,42.0,116.0
E01000195,Barnet ,734,69.0,121.0,79.0,77.0,93.0,92.0,53.0,60.0,90.0
E01000196,Barnet ,1030,130.0,252.0,209.0,98.0,85.0,73.0,71.0,27.0,85.0
E01000197,Barnet ,1032,122.0,275.0,156.0,140.0,81.0,75.0,68.0,20.0,95.0
E01000198,Barnet ,906,145.0,265.0,153.0,86.0,67.0,56.0,51.0,31.0,52.0
E01000199,Barnet ,747,141.0,253.0,129.0,73.0,31.0,44.0,35.0,15.0,26.0
E01000200,Barnet ,847,148.0,265.0,160.0,96.0,40.0,50.0,50.0,16.0,22.0
E01000201,Barnet ,727,212.0,205.0,105.0,74.0,20.0,60.0,29.0,10.0,12.0
E01000202,Barnet ,890,155.0,308.0,145.0,69.0,40.0,58.0,50.0,11.0,54.0
E01000203,Barnet ,753,117.0,167.0,129.0,73.0,42.0,58.0,64.0,29.0,74.0
E01000204,Barnet ,911,156.0,297.0,155.0,86.0,55.0,62.0,44.0,17.0,39.0
E01000205,Barnet ,756,159.0,251.0,162.0,65.0,15.0,50.0,27.0,11.0,16.0
E01000206,Barnet ,685,217.0,169.0,114.0,38.0,16.0,64.0,19.0,8.0,40.0
E01000207,Barnet ,735,165.0,229.0,130.0,50.0,37.0,51.0,31.0,14.0,28.0
E01000208,Barnet ,808,172.0,276.0,169.0,71.0,13.0,45.0,21.0,7.0,34.0
E01000209,Barnet ,706,126.0,282.0,136.0,71.0,18.0,38.0,14.0,12.0,9.0
E01000210,Barnet ,784,143.0,272.0,149.0,81.0,31.0,37.0,37.0,12.0,22.0
E01000211,Barnet ,1110,159.0,244.0,204.0,103.0,71.0,89.0,89.0,34.0,117.0
E01000212,Barnet ,719,143.0,233.0,130.0,62.0,35.0,31.0,36.0,8.0,41.0
E01000213,Barnet ,609,164.0,207.0,98.0,48.0,15.0,44.0,17.0,1.0,15.0
E01000214,Barnet ,947,147.0,366.0,193.0,84.0,42.0,36.0,30.0,9.0,40.0
E01000215,Barnet ,819,129.0,249.0,87.0,106.0,45.0,69.0,55.0,19.0,60.0
E01000216,Barnet ,906,139.0,312.0,134.0,94.0,41.0,55.0,60.0,23.0,48.0
E01000217,Barnet ,756,142.0,211.0,97.0,99.0,57.0,39.0,42.0,22.0,47.0
E01000218,Barnet ,787,144.0,214.0,106.0,104.0,42.0,59.0,55.0,9.0,54.0
E01000219,Barnet ,836,97.0,189.0,108.0,95.0,87.0,68.0,61.0,19.0,112.0
E01000220,Barnet ,821,97.0,197.0,116.0,91.0,72.0,64.0,63.0,29.0,92.0
E01000221,Barnet ,484,40.0,74.0,54.0,49.0,46.0,57.0,52.0,39.0,73.0
E01000222,Barnet ,667,92.0,96.0,87.0,83.0,73.0,43.0,73.0,43.0,77.0
E01000223,Barnet ,575,46.0,89.0,60.0,67.0,78.0,79.0,49.0,36.0,71.0
E01000224,Barnet ,678,80.0,116.0,81.0,85.0,84.0,59.0,50.0,42.0,81.0
E01000225,Barnet ,618,140.0,184.0,85.0,92.0,22.0,41.0,21.0,10.0,23.0
E01000226,Barnet ,736,52.0,88.0,63.0,87.0,94.0,81.0,71.0,74.0,126.0
E01000227,Barnet ,880,95.0,217.0,132.0,119.0,73.0,70.0,61.0,44.0,69.0
E01000228,Barnet ,702,145.0,147.0,109.0,87.0,52.0,53.0,47.0,23.0,39.0
E01000229,Barnet ,756,70.0,137.0,81.0,106.0,88.0,110.0,53.0,41.0,70.0
E01000230,Barnet ,807,97.0,202.0,118.0,142.0,65.0,67.0,46.0,34.0,36.0
E01000231,Barnet ,894,113.0,197.0,118.0,114.0,89.0,72.0,76.0,47.0,68.0
E01000232,Barnet ,841,150.0,205.0,143.0,115.0,51.0,69.0,47.0,24.0,37.0
E01000233,Barnet ,901,118.0,235.0,143.0,114.0,85.0,62.0,61.0,28.0,55.0
E01000234,Barnet ,858,115.0,252.0,104.0,116.0,53.0,82.0,51.0,22.0,63.0
E01000235,Barnet ,755,81.0,131.0,88.0,80.0,68.0,99.0,59.0,49.0,100.0
E01000236,Barnet ,803,128.0,274.0,102.0,97.0,33.0,60.0,43.0,21.0,45.0
E01000237,Barnet ,1073,171.0,263.0,134.0,116.0,110.0,77.0,70.0,26.0,106.0
E01000238,Barnet ,862,103.0,201.0,118.0,110.0,74.0,84.0,71.0,29.0,72.0
E01000239,Barnet ,1017,110.0,235.0,151.0,120.0,103.0,85.0,68.0,56.0,89.0
E01000240,Barnet ,781,108.0,171.0,74.0,91.0,84.0,61.0,69.0,47.0,76.0
E01000241,Barnet ,914,141.0,265.0,130.0,94.0,83.0,68.0,31.0,32.0,70.0
E01000242,Barnet ,664,117.0,184.0,88.0,59.0,41.0,59.0,44.0,19.0,53.0
E01000243,Barnet ,924,111.0,220.0,132.0,102.0,61.0,87.0,75.0,40.0,96.0
E01000244,Barnet ,755,94.0,173.0,86.0,101.0,56.0,58.0,61.0,31.0,95.0
E01000245,Barnet ,877,95.0,137.0,104.0,85.0,93.0,102.0,80.0,48.0,133.0
E01000246,Barnet ,735,99.0,251.0,105.0,87.0,52.0,61.0,30.0,24.0,26.0
E01000247,Barnet ,942,127.0,269.0,149.0,120.0,66.0,88.0,47.0,27.0,49.0
E01000248,Barnet ,842,119.0,293.0,143.0,82.0,69.0,51.0,35.0,16.0,34.0
E01000249,Barnet ,803,114.0,261.0,123.0,95.0,49.0,68.0,47.0,15.0,31.0
E01000250,Barnet ,1177,153.0,309.0,198.0,142.0,94.0,90.0,65.0,55.0,71.0
E01000251,Barnet ,931,109.0,241.0,163.0,111.0,77.0,69.0,75.0,31.0,55.0
E01000252,Barnet ,817,93.0,260.0,129.0,99.0,55.0,71.0,40.0,25.0,45.0
E01000253,Barnet ,723,187.0,189.0,126.0,80.0,33.0,41.0,37.0,12.0,18.0
E01000254,Barnet ,759,139.0,231.0,140.0,73.0,46.0,46.0,39.0,26.0,19.0
E01000255,Barnet ,664,85.0,162.0,87.0,76.0,59.0,52.0,52.0,43.0,48.0
E01000256,Barnet ,893,165.0,271.0,135.0,75.0,60.0,60.0,50.0,32.0,45.0
E01000257,Barnet ,750,62.0,144.0,111.0,71.0,73.0,83.0,60.0,63.0,83.0
E01000258,Barnet ,844,138.0,255.0,148.0,97.0,55.0,54.0,28.0,19.0,50.0
E01000259,Barnet ,1271,211.0,337.0,182.0,160.0,98.0,98.0,86.0,38.0,61.0
E01000260,Barnet ,985,159.0,209.0,170.0,108.0,71.0,82.0,68.0,54.0,64.0
E01000261,Barnet ,721,141.0,210.0,119.0,74.0,41.0,63.0,42.0,14.0,17.0
E01000262,Barnet ,996,167.0,216.0,176.0,110.0,77.0,82.0,57.0,39.0,72.0
E01000263,Barnet ,780,193.0,227.0,140.0,90.0,28.0,47.0,28.0,10.0,17.0
E01000264,Barnet ,807,130.0,195.0,119.0,87.0,59.0,64.0,39.0,48.0,66.0
E01000265,Barnet ,917,104.0,191.0,123.0,117.0,108.0,81.0,77.0,45.0,71.0
E01000266,Barnet ,773,134.0,212.0,114.0,114.0,52.0,50.0,46.0,21.0,30.0
E01000267,Barnet ,817,130.0,193.0,140.0,129.0,63.0,57.0,35.0,23.0,47.0
E01000268,Barnet ,885,123.0,240.0,149.0,130.0,70.0,60.0,44.0,25.0,44.0
E01000269,Barnet ,730,104.0,159.0,124.0,97.0,62.0,62.0,58.0,23.0,41.0
E01000270,Barnet ,762,96.0,219.0,148.0,108.0,54.0,44.0,34.0,24.0,35.0
E01000271,Barnet ,715,121.0,217.0,108.0,82.0,42.0,54.0,41.0,15.0,35.0
E01000272,Barnet ,656,125.0,206.0,125.0,87.0,27.0,38.0,29.0,7.0,12.0
E01000273,Barnet ,726,101.0,207.0,114.0,74.0,46.0,53.0,57.0,25.0,49.0
E01000274,Barnet ,883,128.0,176.0,117.0,125.0,90.0,82.0,66.0,38.0,61.0
E01000275,Barnet ,827,143.0,250.0,146.0,98.0,34.0,50.0,48.0,28.0,30.0
