LSOA21CD,All categories: Distance travelled to work_weighted,Less than 2km_weighted,2km to less than 5km_weighted,5km to less than 10km_weighted,10km to less than 20km_weighted,20km to less than 30km_weighted,30km to less than 40km_weighted,40km to less than 60km_weighted,60km and over_weighted,Work mainly at or from home_weighted,Other_weighted,Total distance (km)_weighted,Average distance (km)_weighted
E01001437,868.0,115.0,146.0,109.0,264.0,28.0,6.0,8.0,21.0,61.0,110.0,10214.0,15.0
E01001438,654.0,98.0,103.0,116.0,179.0,34.0,3.0,2.0,7.0,50.0,62.0,5714.0,10.0
E01001439,725.0,132.0,130.0,113.0,166.0,32.0,4.0,4.0,7.0,64.0,73.0,6482.0,11.0
E01001440,644.0,113.0,126.0,85.0,167.0,25.0,5.0,3.0,9.0,48.0,63.0,6281.0,12.0
E01001441,609.0,94.0,114.0,105.0,150.0,21.0,5.0,1.0,9.0,33.0,77.0,6173.0,12.0
E01001442,544.0,85.0,117.0,81.0,132.0,17.0,6.0,2.0,9.0,32.0,63.0,4866.0,11.0
E01001444,770.0,77.0,142.0,121.0,218.0,64.0,8.0,3.0,6.0,49.0,82.0,7628.0,12.0
E01001445,1026.0,110.0,95.0,142.0,369.0,85.0,15.0,6.0,13.0,83.0,108.0,11782.0,14.0
E01001446,786.0,103.0,144.0,105.0,240.0,38.0,9.0,6.0,15.0,43.0,83.0,10070.0,15.0
E01001447,723.0,97.0,111.0,103.0,185.0,54.0,9.0,5.0,14.0,51.0,94.0,7689.0,13.0
E01001448,736.0,98.0,127.0,121.0,193.0,52.0,15.0,5.0,9.0,50.0,66.0,7597.0,12.0
E01001449,653.0,86.0,99.0,89.0,199.0,42.0,6.0,4.0,8.0,46.0,74.0,6381.0,12.0
E01001450,940.0,112.0,154.0,118.0,313.0,36.0,9.0,6.0,15.0,76.0,101.0,9763.0,13.0
E01001451,787.0,99.0,125.0,94.0,239.0,31.0,5.0,2.0,8.0,105.0,79.0,7335.0,12.0
E01001452,685.0,81.0,121.0,86.0,211.0,15.0,7.0,5.0,8.0,95.0,56.0,6077.0,11.0
E01001453,789.0,71.0,135.0,94.0,265.0,21.0,16.0,5.0,5.0,100.0,77.0,6962.0,11.0
E01001454,760.0,91.0,113.0,108.0,243.0,18.0,6.0,3.0,9.0,90.0,79.0,6969.0,12.0
E01001455,787.0,107.0,150.0,95.0,227.0,20.0,4.0,7.0,12.0,84.0,81.0,7230.0,12.0
E01001456,705.0,69.0,130.0,93.0,227.0,17.0,9.0,2.0,8.0,77.0,73.0,6217.0,11.0
E01001457,855.0,103.0,91.0,113.0,336.0,37.0,12.0,10.0,14.0,78.0,61.0,10075.0,14.0
E01001458,605.0,58.0,125.0,130.0,124.0,15.0,5.0,4.0,6.0,37.0,101.0,4913.0,10.0
E01001459,735.0,72.0,166.0,128.0,194.0,17.0,10.0,3.0,8.0,59.0,78.0,6466.0,11.0
E01001460,638.0,65.0,121.0,115.0,163.0,21.0,5.0,6.0,8.0,47.0,87.0,5467.0,11.0
E01001461,601.0,83.0,157.0,95.0,145.0,9.0,5.0,3.0,6.0,55.0,43.0,4348.0,9.0
E01001462,547.0,67.0,127.0,83.0,152.0,18.0,2.0,4.0,6.0,38.0,50.0,4909.0,11.0
E01001463,651.0,74.0,161.0,91.0,144.0,10.0,6.0,2.0,11.0,56.0,96.0,5270.0,11.0
E01001464,486.0,61.0,111.0,59.0,132.0,14.0,3.0,1.0,7.0,45.0,53.0,3783.0,10.0
E01001465,646.0,84.0,140.0,88.0,170.0,7.0,7.0,4.0,8.0,64.0,74.0,5217.0,10.0
E01001466,722.0,62.0,159.0,131.0,186.0,18.0,8.0,7.0,6.0,40.0,105.0,5861.0,10.0
E01001467,784.0,80.0,184.0,133.0,202.0,22.0,6.0,6.0,16.0,45.0,90.0,7860.0,12.0
E01001468,611.0,81.0,89.0,106.0,170.0,18.0,3.0,4.0,12.0,78.0,50.0,6235.0,13.0
E01001469,780.0,117.0,106.0,124.0,229.0,19.0,10.0,9.0,8.0,61.0,97.0,7734.0,12.0
E01001470,733.0,82.0,132.0,105.0,219.0,18.0,2.0,2.0,6.0,83.0,84.0,5869.0,10.0
E01001471,930.0,135.0,113.0,146.0,305.0,32.0,15.0,7.0,12.0,69.0,96.0,10389.0,14.0
E01001472,874.0,128.0,128.0,97.0,309.0,34.0,11.0,1.0,9.0,72.0,85.0,9509.0,13.0
E01001473,661.0,65.0,108.0,119.0,195.0,13.0,6.0,0.0,8.0,77.0,70.0,5661.0,11.0
E01001474,1011.0,137.0,113.0,120.0,374.0,28.0,5.0,7.0,10.0,126.0,91.0,9495.0,12.0
E01001475,784.0,56.0,108.0,131.0,271.0,19.0,5.0,6.0,15.0,95.0,78.0,8137.0,13.0
E01001476,697.0,76.0,130.0,128.0,213.0,25.0,15.0,5.0,5.0,34.0,66.0,7013.0,12.0
E01001477,673.0,76.0,134.0,121.0,184.0,25.0,6.0,4.0,10.0,50.0,63.0,6149.0,11.0
E01001478,679.0,81.0,171.0,102.0,177.0,19.0,9.0,1.0,7.0,53.0,59.0,6806.0,12.0
E01001479,697.0,71.0,127.0,126.0,181.0,18.0,6.0,2.0,8.0,71.0,87.0,5384.0,10.0
E01001480,691.0,86.0,137.0,127.0,172.0,21.0,11.0,3.0,11.0,51.0,72.0,5950.0,11.0
E01001481,688.0,75.0,143.0,129.0,199.0,16.0,6.0,7.0,7.0,43.0,63.0,6300.0,11.0
E01001482,701.0,84.0,127.0,147.0,189.0,19.0,9.0,4.0,11.0,41.0,70.0,7024.0,12.0
E01001483,483.0,55.0,104.0,76.0,132.0,8.0,5.0,6.0,6.0,36.0,55.0,4358.0,11.0
E01001484,566.0,76.0,105.0,86.0,158.0,19.0,3.0,3.0,9.0,43.0,64.0,5698.0,12.0
E01001485,677.0,54.0,160.0,118.0,175.0,25.0,11.0,4.0,9.0,39.0,82.0,7005.0,13.0
E01001486,731.0,97.0,155.0,150.0,166.0,23.0,7.0,7.0,11.0,39.0,76.0,6758.0,11.0
E01001487,718.0,75.0,122.0,135.0,214.0,18.0,8.0,2.0,11.0,63.0,70.0,7697.0,13.0
E01001488,749.0,74.0,152.0,119.0,206.0,22.0,10.0,2.0,8.0,57.0,99.0,6625.0,11.0
E01001489,721.0,74.0,153.0,125.0,174.0,20.0,11.0,6.0,10.0,62.0,86.0,7743.0,14.0
E01001491,802.0,81.0,158.0,148.0,217.0,16.0,7.0,3.0,7.0,72.0,93.0,6736.0,11.0
E01001492,756.0,73.0,151.0,160.0,197.0,21.0,7.0,6.0,12.0,48.0,81.0,7267.0,12.0
E01001493,753.0,56.0,169.0,102.0,225.0,25.0,6.0,5.0,4.0,73.0,88.0,6080.0,10.0
E01001494,692.0,70.0,164.0,121.0,168.0,25.0,2.0,2.0,3.0,61.0,76.0,4966.0,9.0
E01001495,1021.0,79.0,160.0,129.0,377.0,23.0,6.0,3.0,15.0,100.0,129.0,10069.0,13.0
E01001496,805.0,67.0,173.0,134.0,205.0,12.0,7.0,6.0,9.0,92.0,100.0,6592.0,11.0
E01001497,638.0,50.0,131.0,123.0,159.0,17.0,9.0,3.0,6.0,57.0,83.0,5418.0,11.0
E01001498,1049.0,77.0,175.0,166.0,342.0,29.0,8.0,9.0,6.0,97.0,140.0,9137.0,11.0
E01001499,728.0,66.0,158.0,145.0,179.0,16.0,4.0,2.0,5.0,73.0,80.0,5126.0,9.0
E01001500,736.0,44.0,127.0,132.0,232.0,29.0,5.0,4.0,4.0,73.0,86.0,6097.0,11.0
E01001501,963.0,61.0,157.0,149.0,360.0,20.0,2.0,3.0,9.0,87.0,115.0,7858.0,10.0
E01001502,710.0,76.0,150.0,110.0,184.0,20.0,4.0,9.0,12.0,60.0,85.0,6961.0,12.0
E01001503,749.0,100.0,149.0,131.0,175.0,19.0,5.0,9.0,8.0,71.0,82.0,6357.0,11.0
E01001504,588.0,83.0,115.0,114.0,131.0,17.0,2.0,3.0,9.0,37.0,77.0,5296.0,11.0
E01001505,691.0,119.0,129.0,111.0,161.0,24.0,6.0,6.0,15.0,53.0,67.0,7272.0,13.0
E01001507,756.0,91.0,143.0,128.0,216.0,24.0,10.0,4.0,4.0,60.0,76.0,6252.0,10.0
E01001508,800.0,102.0,140.0,127.0,241.0,34.0,9.0,5.0,16.0,50.0,76.0,8345.0,12.0
E01001509,701.0,96.0,136.0,97.0,216.0,21.0,12.0,4.0,14.0,47.0,58.0,7027.0,12.0
E01001511,814.0,123.0,133.0,111.0,247.0,22.0,11.0,9.0,11.0,67.0,80.0,8517.0,13.0
E01001512,897.0,143.0,132.0,129.0,297.0,26.0,7.0,2.0,12.0,55.0,94.0,8276.0,11.0
E01001513,695.0,128.0,138.0,94.0,166.0,22.0,9.0,7.0,9.0,50.0,72.0,6236.0,11.0
E01001514,885.0,124.0,149.0,131.0,247.0,39.0,9.0,6.0,16.0,73.0,91.0,8855.0,12.0
E01001515,739.0,120.0,124.0,113.0,183.0,33.0,11.0,4.0,9.0,51.0,91.0,6884.0,12.0
E01001516,748.0,112.0,135.0,130.0,185.0,18.0,5.0,6.0,10.0,59.0,88.0,6486.0,11.0
E01001517,620.0,101.0,109.0,104.0,144.0,28.0,11.0,5.0,11.0,33.0,74.0,6602.0,13.0
E01001518,907.0,147.0,145.0,128.0,259.0,30.0,4.0,8.0,10.0,73.0,103.0,8158.0,11.0
E01001520,787.0,64.0,107.0,125.0,278.0,28.0,12.0,9.0,4.0,86.0,74.0,7051.0,11.0
E01001521,900.0,60.0,93.0,132.0,338.0,28.0,9.0,5.0,10.0,99.0,126.0,9612.0,14.0
E01001522,880.0,59.0,109.0,149.0,350.0,23.0,11.0,10.0,10.0,84.0,75.0,9324.0,13.0
E01001523,844.0,62.0,137.0,94.0,294.0,16.0,11.0,7.0,15.0,118.0,90.0,8694.0,14.0
E01001524,662.0,47.0,95.0,120.0,214.0,11.0,8.0,1.0,8.0,75.0,83.0,5931.0,12.0
E01001525,884.0,73.0,103.0,161.0,313.0,26.0,7.0,2.0,9.0,75.0,115.0,8289.0,12.0
E01001526,761.0,65.0,113.0,95.0,294.0,13.0,5.0,7.0,6.0,96.0,67.0,7750.0,13.0
E01001527,804.0,52.0,105.0,163.0,254.0,14.0,4.0,5.0,9.0,95.0,103.0,6340.0,11.0
E01001528,611.0,67.0,100.0,144.0,142.0,12.0,3.0,1.0,6.0,54.0,82.0,4791.0,10.0
E01001529,700.0,70.0,76.0,146.0,186.0,22.0,4.0,2.0,7.0,62.0,125.0,5747.0,11.0
E01001530,634.0,32.0,70.0,129.0,203.0,17.0,3.0,3.0,6.0,57.0,114.0,5066.0,11.0
E01001531,779.0,63.0,105.0,117.0,260.0,20.0,9.0,5.0,9.0,120.0,71.0,7338.0,13.0
E01001532,947.0,75.0,109.0,133.0,341.0,29.0,7.0,8.0,12.0,135.0,98.0,9040.0,13.0
E01001533,730.0,76.0,104.0,134.0,218.0,18.0,12.0,3.0,6.0,108.0,51.0,6129.0,11.0
E01001534,808.0,59.0,102.0,160.0,257.0,12.0,6.0,6.0,9.0,97.0,100.0,7199.0,12.0
E01001535,722.0,57.0,112.0,135.0,224.0,25.0,5.0,3.0,6.0,83.0,72.0,5831.0,10.0
E01001536,900.0,138.0,110.0,93.0,294.0,35.0,13.0,8.0,11.0,121.0,77.0,9799.0,14.0
E01001537,888.0,141.0,164.0,121.0,227.0,35.0,9.0,5.0,9.0,73.0,104.0,9476.0,13.0
E01001538,860.0,171.0,124.0,107.0,215.0,36.0,10.0,9.0,12.0,82.0,94.0,8226.0,12.0
E01001539,852.0,151.0,144.0,130.0,228.0,33.0,6.0,8.0,7.0,70.0,75.0,7533.0,11.0
E01001540,967.0,133.0,128.0,112.0,355.0,35.0,11.0,5.0,10.0,90.0,88.0,9520.0,12.0
E01001541,841.0,118.0,102.0,95.0,330.0,38.0,7.0,2.0,2.0,71.0,76.0,8089.0,12.0
E01001542,703.0,118.0,112.0,113.0,190.0,21.0,6.0,7.0,14.0,58.0,64.0,7739.0,13.0
E01001543,807.0,144.0,111.0,108.0,229.0,34.0,4.0,10.0,13.0,71.0,83.0,7834.0,12.0
E01001544,753.0,120.0,136.0,83.0,237.0,24.0,2.0,7.0,11.0,62.0,71.0,7667.0,12.0
E01001545,637.0,83.0,137.0,101.0,140.0,35.0,12.0,4.0,8.0,32.0,85.0,6144.0,12.0
E01001546,772.0,84.0,169.0,108.0,189.0,56.0,12.0,5.0,9.0,54.0,86.0,8146.0,13.0
E01001547,732.0,90.0,142.0,111.0,200.0,32.0,12.0,6.0,9.0,53.0,77.0,8081.0,13.0
E01001548,727.0,62.0,152.0,99.0,194.0,42.0,12.0,8.0,9.0,64.0,85.0,7549.0,13.0
E01001549,684.0,76.0,130.0,115.0,188.0,35.0,5.0,8.0,8.0,50.0,69.0,6676.0,12.0
E01001550,628.0,77.0,128.0,95.0,166.0,32.0,13.0,5.0,12.0,44.0,56.0,6874.0,13.0
E01001551,613.0,72.0,148.0,82.0,137.0,35.0,8.0,3.0,6.0,51.0,71.0,5561.0,11.0
E01001552,829.0,105.0,156.0,123.0,207.0,60.0,17.0,7.0,11.0,48.0,95.0,9375.0,14.0
E01001553,567.0,63.0,134.0,123.0,88.0,12.0,3.0,3.0,5.0,39.0,97.0,3853.0,9.0
E01001554,627.0,97.0,104.0,119.0,128.0,22.0,3.0,3.0,7.0,42.0,102.0,4802.0,10.0
E01001555,726.0,94.0,109.0,154.0,152.0,37.0,7.0,5.0,42.0,41.0,85.0,11928.0,20.0
E01001556,730.0,78.0,147.0,139.0,177.0,28.0,5.0,5.0,3.0,51.0,97.0,5292.0,9.0
E01001557,632.0,100.0,115.0,133.0,121.0,24.0,9.0,1.0,19.0,46.0,64.0,7261.0,14.0
E01001558,553.0,81.0,102.0,106.0,118.0,17.0,3.0,3.0,10.0,50.0,63.0,5687.0,13.0
E01001559,785.0,107.0,137.0,147.0,188.0,15.0,5.0,3.0,12.0,64.0,107.0,6317.0,10.0
E01001560,677.0,80.0,141.0,116.0,163.0,18.0,6.0,7.0,12.0,46.0,88.0,6443.0,12.0
E01001562,631.0,96.0,117.0,151.0,131.0,11.0,6.0,3.0,7.0,33.0,76.0,4835.0,9.0
E01001563,871.0,61.0,148.0,135.0,323.0,14.0,5.0,2.0,8.0,89.0,86.0,7850.0,11.0
E01001564,870.0,53.0,113.0,83.0,360.0,24.0,11.0,5.0,12.0,126.0,83.0,8448.0,13.0
E01001565,817.0,40.0,130.0,111.0,294.0,15.0,6.0,4.0,8.0,109.0,100.0,6875.0,11.0
E01001566,933.0,68.0,136.0,116.0,356.0,19.0,9.0,2.0,6.0,108.0,113.0,7313.0,10.0
E01001567,778.0,54.0,124.0,83.0,296.0,14.0,4.0,4.0,13.0,104.0,82.0,8029.0,14.0
E01001568,767.0,65.0,132.0,132.0,250.0,13.0,3.0,5.0,13.0,107.0,47.0,7911.0,13.0
E01001569,1000.0,76.0,128.0,108.0,412.0,24.0,13.0,3.0,18.0,119.0,99.0,10349.0,13.0
E01001570,903.0,74.0,185.0,136.0,281.0,16.0,6.0,3.0,9.0,93.0,100.0,6822.0,10.0
E01001571,802.0,70.0,118.0,145.0,271.0,34.0,15.0,6.0,7.0,47.0,89.0,8833.0,13.0
E01001572,817.0,54.0,149.0,122.0,279.0,33.0,10.0,7.0,10.0,44.0,109.0,9794.0,15.0
E01001573,712.0,72.0,139.0,113.0,195.0,34.0,13.0,6.0,12.0,56.0,72.0,8396.0,14.0
E01001574,631.0,48.0,98.0,100.0,194.0,32.0,9.0,9.0,3.0,46.0,92.0,6501.0,13.0
E01001575,616.0,62.0,95.0,120.0,184.0,24.0,8.0,9.0,8.0,41.0,65.0,7090.0,14.0
E01001576,574.0,58.0,85.0,96.0,161.0,29.0,10.0,2.0,19.0,45.0,69.0,7119.0,16.0
E01001577,687.0,57.0,104.0,119.0,186.0,33.0,17.0,4.0,20.0,43.0,104.0,9333.0,17.0
E01001578,939.0,61.0,137.0,152.0,328.0,50.0,13.0,4.0,14.0,78.0,102.0,10544.0,14.0
E01001579,666.0,80.0,112.0,103.0,191.0,29.0,10.0,5.0,8.0,42.0,86.0,7323.0,14.0
E01001580,1065.0,67.0,156.0,316.0,280.0,17.0,16.0,5.0,11.0,116.0,81.0,10081.0,12.0
E01001581,888.0,74.0,150.0,269.0,216.0,22.0,11.0,5.0,14.0,70.0,57.0,8978.0,12.0
E01001582,647.0,52.0,104.0,167.0,182.0,8.0,8.0,1.0,5.0,56.0,64.0,6003.0,11.0
E01001583,959.0,45.0,168.0,266.0,283.0,12.0,11.0,8.0,7.0,89.0,70.0,8327.0,10.0
E01001584,830.0,47.0,137.0,223.0,233.0,9.0,4.0,4.0,11.0,107.0,55.0,8773.0,13.0
E01001585,797.0,76.0,144.0,232.0,186.0,10.0,12.0,5.0,3.0,69.0,60.0,6059.0,9.0
E01001586,672.0,56.0,118.0,193.0,160.0,7.0,9.0,5.0,5.0,63.0,56.0,5467.0,10.0
E01001587,1067.0,67.0,188.0,362.0,193.0,22.0,16.0,2.0,5.0,118.0,94.0,8801.0,10.0
E01001588,709.0,94.0,135.0,142.0,175.0,12.0,8.0,7.0,6.0,62.0,68.0,5698.0,10.0
E01001589,757.0,85.0,129.0,141.0,221.0,19.0,8.0,3.0,10.0,55.0,86.0,6770.0,11.0
E01001590,935.0,66.0,172.0,200.0,251.0,16.0,9.0,9.0,14.0,78.0,120.0,8478.0,11.0
E01001591,830.0,98.0,153.0,137.0,222.0,14.0,10.0,0.0,5.0,74.0,117.0,6808.0,11.0
E01001592,975.0,80.0,163.0,240.0,273.0,18.0,10.0,5.0,16.0,83.0,87.0,10167.0,13.0
E01001593,926.0,75.0,157.0,229.0,267.0,19.0,10.0,8.0,8.0,79.0,74.0,8465.0,11.0
E01001594,795.0,56.0,143.0,193.0,193.0,21.0,11.0,7.0,18.0,60.0,93.0,8798.0,14.0
E01001595,771.0,97.0,172.0,138.0,191.0,17.0,10.0,6.0,9.0,50.0,81.0,6857.0,11.0
E01001596,786.0,57.0,121.0,130.0,251.0,24.0,11.0,5.0,14.0,69.0,104.0,8228.0,13.0
E01001597,742.0,49.0,101.0,129.0,254.0,21.0,8.0,5.0,13.0,75.0,87.0,7601.0,13.0
E01001598,804.0,52.0,93.0,184.0,253.0,22.0,11.0,5.0,6.0,67.0,111.0,7422.0,12.0
E01001599,815.0,60.0,105.0,179.0,253.0,25.0,11.0,4.0,3.0,59.0,116.0,7208.0,11.0
E01001600,797.0,44.0,78.0,180.0,304.0,15.0,9.0,7.0,12.0,57.0,91.0,8760.0,14.0
E01001601,776.0,38.0,78.0,157.0,299.0,15.0,22.0,4.0,11.0,60.0,92.0,8830.0,14.0
E01001602,768.0,48.0,133.0,164.0,199.0,29.0,6.0,6.0,12.0,57.0,114.0,7516.0,13.0
E01001603,653.0,41.0,122.0,141.0,176.0,22.0,12.0,8.0,9.0,46.0,76.0,7126.0,13.0
E01001604,774.0,52.0,112.0,126.0,299.0,14.0,10.0,4.0,7.0,69.0,81.0,7249.0,12.0
E01001605,813.0,81.0,107.0,154.0,272.0,25.0,13.0,4.0,8.0,63.0,86.0,7904.0,12.0
E01001606,913.0,75.0,132.0,165.0,313.0,19.0,15.0,8.0,10.0,84.0,92.0,8727.0,12.0
E01001607,718.0,81.0,119.0,115.0,230.0,17.0,10.0,4.0,5.0,50.0,87.0,6032.0,10.0
E01001608,685.0,61.0,91.0,112.0,232.0,11.0,7.0,3.0,10.0,83.0,75.0,6509.0,12.0
E01001609,738.0,68.0,94.0,131.0,217.0,19.0,9.0,3.0,14.0,79.0,104.0,7483.0,13.0
E01001610,850.0,95.0,137.0,123.0,279.0,13.0,10.0,8.0,9.0,72.0,104.0,7973.0,12.0
E01001611,781.0,78.0,134.0,122.0,236.0,27.0,14.0,7.0,9.0,61.0,93.0,7778.0,12.0
E01001613,768.0,78.0,84.0,157.0,250.0,27.0,14.0,6.0,12.0,72.0,68.0,8505.0,14.0
E01001614,704.0,51.0,90.0,139.0,215.0,11.0,6.0,10.0,8.0,84.0,90.0,6886.0,13.0
E01001615,810.0,50.0,100.0,163.0,273.0,31.0,13.0,7.0,8.0,76.0,89.0,8609.0,13.0
E01001617,760.0,70.0,69.0,148.0,282.0,14.0,15.0,5.0,11.0,46.0,100.0,8370.0,14.0
E01001618,698.0,50.0,84.0,143.0,213.0,26.0,13.0,8.0,12.0,46.0,103.0,8595.0,16.0
E01001619,1012.0,66.0,98.0,177.0,405.0,36.0,21.0,14.0,12.0,68.0,115.0,11767.0,14.0
E01001620,620.0,55.0,113.0,120.0,153.0,12.0,5.0,7.0,4.0,33.0,118.0,4962.0,11.0
E01001621,692.0,68.0,113.0,132.0,226.0,13.0,5.0,4.0,8.0,41.0,82.0,6269.0,11.0
E01001623,807.0,72.0,145.0,147.0,242.0,31.0,9.0,1.0,8.0,64.0,88.0,6976.0,11.0
E01001624,728.0,84.0,121.0,135.0,204.0,12.0,7.0,2.0,11.0,51.0,101.0,6724.0,12.0
E01001625,663.0,79.0,152.0,111.0,159.0,9.0,13.0,6.0,6.0,36.0,92.0,5608.0,10.0
E01001629,939.0,120.0,119.0,157.0,309.0,37.0,10.0,5.0,15.0,59.0,108.0,10500.0,14.0
E01001631,831.0,99.0,106.0,137.0,232.0,31.0,11.0,3.0,17.0,59.0,136.0,9116.0,14.0
E01001632,1127.0,146.0,131.0,208.0,331.0,23.0,18.0,4.0,13.0,96.0,157.0,10676.0,12.0
E01001633,674.0,95.0,79.0,141.0,163.0,21.0,16.0,4.0,10.0,42.0,103.0,6527.0,12.0
E01001634,640.0,98.0,76.0,95.0,195.0,16.0,4.0,2.0,12.0,42.0,100.0,6441.0,13.0
E01001635,774.0,74.0,90.0,114.0,286.0,31.0,9.0,6.0,13.0,60.0,91.0,9275.0,15.0
E01001636,762.0,106.0,96.0,98.0,229.0,33.0,9.0,3.0,23.0,47.0,118.0,10483.0,18.0
E01001637,783.0,92.0,84.0,139.0,255.0,25.0,8.0,5.0,20.0,66.0,89.0,9775.0,16.0
E01001638,872.0,87.0,162.0,319.0,151.0,13.0,7.0,3.0,10.0,41.0,79.0,7525.0,10.0
E01001641,958.0,82.0,135.0,390.0,120.0,12.0,9.0,1.0,13.0,111.0,85.0,7556.0,10.0
E01001642,1004.0,72.0,180.0,423.0,99.0,12.0,5.0,9.0,14.0,127.0,63.0,8517.0,11.0
E01001644,1394.0,115.0,222.0,602.0,176.0,17.0,8.0,10.0,16.0,110.0,118.0,13266.0,11.0
E01001645,781.0,71.0,161.0,141.0,213.0,7.0,17.0,10.0,8.0,51.0,102.0,7249.0,12.0
E01001646,1375.0,107.0,196.0,281.0,477.0,26.0,22.0,12.0,21.0,85.0,148.0,14293.0,12.0
E01001647,639.0,58.0,135.0,141.0,134.0,10.0,12.0,1.0,9.0,64.0,75.0,5903.0,12.0
E01001648,887.0,37.0,149.0,175.0,294.0,21.0,16.0,5.0,12.0,80.0,98.0,8856.0,12.0
E01001649,709.0,85.0,125.0,139.0,158.0,15.0,9.0,3.0,11.0,57.0,107.0,6188.0,11.0
E01001650,755.0,99.0,146.0,160.0,162.0,8.0,19.0,3.0,8.0,58.0,92.0,6176.0,10.0
E01001651,716.0,76.0,135.0,145.0,178.0,13.0,3.0,5.0,15.0,50.0,96.0,6924.0,12.0
E01001652,813.0,67.0,144.0,187.0,219.0,14.0,5.0,8.0,12.0,85.0,72.0,7489.0,11.0
E01001653,631.0,91.0,108.0,136.0,151.0,10.0,6.0,2.0,4.0,37.0,86.0,4653.0,9.0
E01001654,590.0,49.0,100.0,138.0,153.0,15.0,4.0,5.0,10.0,35.0,81.0,5305.0,11.0
E01001655,619.0,78.0,99.0,114.0,159.0,12.0,15.0,4.0,10.0,40.0,88.0,6010.0,12.0
E01001656,584.0,48.0,86.0,136.0,182.0,14.0,5.0,1.0,2.0,76.0,34.0,4692.0,10.0
E01001657,748.0,51.0,68.0,236.0,221.0,17.0,8.0,5.0,10.0,71.0,61.0,7015.0,11.0
E01001658,733.0,49.0,107.0,165.0,225.0,16.0,9.0,0.0,6.0,63.0,93.0,6393.0,11.0
E01001659,650.0,42.0,110.0,137.0,180.0,9.0,9.0,2.0,14.0,63.0,84.0,6790.0,13.0
E01001660,644.0,51.0,119.0,134.0,163.0,17.0,10.0,5.0,4.0,46.0,95.0,4933.0,10.0
E01001661,620.0,63.0,94.0,133.0,160.0,21.0,5.0,5.0,10.0,52.0,77.0,6233.0,13.0
E01001664,1058.0,102.0,171.0,375.0,177.0,16.0,5.0,5.0,13.0,109.0,85.0,8377.0,10.0
E01001665,1089.0,103.0,159.0,337.0,229.0,16.0,12.0,9.0,13.0,96.0,115.0,9753.0,11.0
E01001666,810.0,103.0,129.0,187.0,197.0,22.0,10.0,7.0,7.0,49.0,99.0,7048.0,11.0
E01001669,832.0,65.0,155.0,175.0,222.0,35.0,13.0,5.0,11.0,64.0,87.0,8784.0,13.0
E01001671,741.0,67.0,145.0,129.0,193.0,34.0,9.0,5.0,4.0,51.0,104.0,6588.0,11.0
E01001672,906.0,95.0,122.0,130.0,279.0,34.0,14.0,3.0,15.0,84.0,130.0,9146.0,13.0
E01001673,738.0,94.0,103.0,124.0,183.0,28.0,20.0,7.0,21.0,45.0,113.0,8681.0,15.0
E01001674,833.0,80.0,136.0,141.0,211.0,36.0,13.0,1.0,10.0,80.0,125.0,7130.0,11.0
E01001675,929.0,119.0,116.0,148.0,283.0,37.0,19.0,3.0,16.0,79.0,109.0,10449.0,14.0
E01001676,712.0,57.0,114.0,118.0,205.0,29.0,9.0,4.0,10.0,66.0,100.0,7582.0,14.0
E01001677,926.0,85.0,131.0,148.0,288.0,38.0,12.0,5.0,27.0,75.0,117.0,13080.0,18.0
E01001678,787.0,77.0,162.0,145.0,206.0,31.0,5.0,8.0,11.0,48.0,94.0,8032.0,13.0
E01001679,716.0,83.0,138.0,120.0,202.0,7.0,12.0,7.0,16.0,59.0,72.0,9708.0,17.0
E01001680,771.0,70.0,122.0,133.0,240.0,21.0,10.0,2.0,13.0,72.0,88.0,7965.0,13.0
E01001681,620.0,81.0,81.0,97.0,185.0,22.0,5.0,6.0,7.0,67.0,69.0,5315.0,11.0
E01001682,642.0,36.0,99.0,118.0,206.0,9.0,7.0,4.0,6.0,81.0,76.0,5669.0,12.0
E01001683,687.0,93.0,107.0,113.0,198.0,22.0,4.0,3.0,5.0,50.0,92.0,5363.0,10.0
E01001684,661.0,75.0,131.0,129.0,173.0,17.0,8.0,3.0,10.0,33.0,82.0,7099.0,13.0
E01001685,706.0,60.0,151.0,118.0,200.0,19.0,7.0,6.0,12.0,47.0,86.0,8521.0,15.0
E01001686,806.0,75.0,93.0,131.0,288.0,23.0,11.0,8.0,7.0,85.0,85.0,7848.0,12.0
E01001687,532.0,81.0,59.0,79.0,182.0,21.0,4.0,3.0,7.0,42.0,54.0,5408.0,12.0
E01001688,1117.0,65.0,110.0,188.0,421.0,69.0,10.0,12.0,18.0,76.0,148.0,14152.0,16.0
E01001690,865.0,64.0,108.0,184.0,292.0,44.0,15.0,12.0,12.0,42.0,92.0,10518.0,14.0
E01001692,538.0,56.0,89.0,92.0,139.0,36.0,12.0,7.0,5.0,30.0,72.0,5506.0,13.0
E01001693,622.0,39.0,95.0,95.0,186.0,39.0,18.0,3.0,20.0,42.0,85.0,8689.0,18.0
E01001694,742.0,67.0,83.0,127.0,220.0,55.0,7.0,8.0,17.0,61.0,97.0,9283.0,16.0
E01001695,661.0,89.0,72.0,127.0,188.0,16.0,9.0,5.0,7.0,49.0,99.0,6113.0,12.0
E01001696,484.0,63.0,46.0,104.0,130.0,13.0,6.0,2.0,12.0,43.0,65.0,5237.0,14.0
E01001697,897.0,121.0,95.0,142.0,261.0,28.0,13.0,5.0,13.0,74.0,145.0,9175.0,14.0
