LSOA21CD,Borough,Total: All households,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
E01000098,Barking and Dagenham ,622,0.0,68.0,196.0,254.0,96.0,6.0,1.0,1.0,0.0
E01000099,Barking and Dagenham ,934,0.0,82.0,421.0,316.0,97.0,15.0,2.0,0.0,1.0
E01032580,Barking and Dagenham ,484,0.0,23.0,157.0,178.0,97.0,27.0,2.0,0.0,0.0
E01000248,Barnet ,717,12.0,116.0,147.0,113.0,203.0,59.0,43.0,13.0,11.0
E01000249,Barnet ,621,5.0,31.0,104.0,93.0,212.0,106.0,36.0,19.0,15.0
E01000250,Barnet ,1144,44.0,258.0,329.0,142.0,282.0,64.0,13.0,2.0,10.0
E01000254,Barnet ,632,1.0,27.0,114.0,163.0,148.0,76.0,37.0,33.0,33.0
E01000292,Barnet ,657,3.0,89.0,151.0,85.0,241.0,41.0,30.0,9.0,8.0
E01000293,Barnet ,707,25.0,56.0,109.0,108.0,225.0,130.0,37.0,6.0,11.0
E01000167,Barnet ,525,0.0,27.0,180.0,131.0,145.0,24.0,12.0,5.0,1.0
E01000246,Barnet ,642,9.0,14.0,189.0,116.0,196.0,79.0,23.0,7.0,9.0
E01000247,Barnet ,731,58.0,67.0,254.0,102.0,147.0,65.0,20.0,12.0,6.0
E01000251,Barnet ,1058,52.0,295.0,426.0,90.0,137.0,36.0,14.0,6.0,2.0
E01000252,Barnet ,793,26.0,166.0,267.0,44.0,180.0,69.0,33.0,5.0,3.0
E01000166,Barnet ,652,1.0,40.0,197.0,107.0,229.0,36.0,16.0,7.0,19.0
E01000168,Barnet ,554,1.0,0.0,55.0,43.0,271.0,121.0,55.0,5.0,3.0
E01000169,Barnet ,694,31.0,160.0,136.0,115.0,158.0,46.0,32.0,8.0,8.0
E01000172,Barnet ,607,1.0,7.0,101.0,136.0,264.0,60.0,25.0,6.0,7.0
E01000285,Barnet ,612,6.0,75.0,167.0,111.0,194.0,45.0,11.0,3.0,0.0
E01000287,Barnet ,611,4.0,60.0,223.0,126.0,158.0,35.0,3.0,2.0,0.0
E01000288,Barnet ,563,17.0,26.0,43.0,60.0,378.0,28.0,6.0,1.0,4.0
E01000289,Barnet ,548,1.0,57.0,107.0,249.0,123.0,9.0,1.0,1.0,0.0
E01000291,Barnet ,621,2.0,110.0,217.0,139.0,130.0,19.0,3.0,1.0,0.0
E01000294,Barnet ,733,12.0,122.0,206.0,123.0,161.0,72.0,26.0,6.0,5.0
E01000267,Barnet ,581,4.0,63.0,64.0,58.0,263.0,84.0,27.0,12.0,6.0
E01000268,Barnet ,932,32.0,167.0,513.0,79.0,58.0,45.0,28.0,6.0,4.0
E01000269,Barnet ,544,1.0,15.0,53.0,43.0,312.0,92.0,21.0,4.0,3.0
E01000270,Barnet ,637,11.0,45.0,212.0,72.0,175.0,70.0,30.0,10.0,12.0
E01000170,Barnet ,696,5.0,86.0,177.0,212.0,132.0,42.0,30.0,6.0,6.0
E01000171,Barnet ,997,48.0,216.0,492.0,132.0,84.0,19.0,5.0,1.0,0.0
