LSOA21CD,Borough,Total: All usual residents aged 16 years and over in employment the week before the census,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Works mainly from home,"Works mainly at an offshore installation, in no fixed place, or outside the UK"
E01000001,City of London ,864,86.0,53.0,35.0,10.0,1.0,2.0,2.0,3.0,639.0,33.0
E01000002,City of London ,879,79.0,40.0,23.0,5.0,2.0,4.0,3.0,2.0,676.0,45.0
E01000003,City of London ,999,144.0,82.0,60.0,20.0,3.0,0.0,0.0,5.0,618.0,67.0
E01000005,City of London ,498,95.0,78.0,43.0,27.0,4.0,0.0,2.0,2.0,203.0,44.0
E01032739,City of London ,1181,155.0,75.0,51.0,14.0,2.0,1.0,1.0,12.0,816.0,54.0
E01032740,City of London ,927,115.0,57.0,31.0,7.0,3.0,0.0,0.0,4.0,650.0,60.0
E01000027,Barking and Dagenham ,802,42.0,119.0,95.0,126.0,49.0,9.0,6.0,3.0,141.0,212.0
E01000028,Barking and Dagenham ,684,40.0,109.0,82.0,94.0,38.0,21.0,3.0,7.0,126.0,164.0
E01000029,Barking and Dagenham ,774,45.0,104.0,92.0,112.0,45.0,9.0,6.0,6.0,187.0,168.0
E01000030,Barking and Dagenham ,976,34.0,140.0,125.0,141.0,65.0,25.0,5.0,10.0,224.0,207.0
E01000031,Barking and Dagenham ,789,35.0,96.0,67.0,130.0,60.0,7.0,3.0,6.0,242.0,143.0
E01000032,Barking and Dagenham ,880,62.0,92.0,115.0,144.0,32.0,11.0,3.0,16.0,198.0,207.0
E01000110,Barking and Dagenham ,737,50.0,88.0,72.0,118.0,39.0,10.0,3.0,8.0,197.0,152.0
E01000111,Barking and Dagenham ,962,34.0,123.0,103.0,143.0,71.0,10.0,3.0,7.0,203.0,265.0
E01000112,Barking and Dagenham ,918,64.0,103.0,93.0,156.0,55.0,10.0,1.0,5.0,238.0,193.0
E01000113,Barking and Dagenham ,944,66.0,99.0,91.0,169.0,50.0,12.0,2.0,1.0,258.0,196.0
E01000034,Barking and Dagenham ,656,61.0,89.0,59.0,88.0,41.0,11.0,3.0,9.0,140.0,155.0
E01000037,Barking and Dagenham ,854,96.0,99.0,76.0,114.0,62.0,7.0,1.0,7.0,227.0,165.0
E01000038,Barking and Dagenham ,783,90.0,85.0,68.0,126.0,45.0,7.0,2.0,7.0,198.0,155.0
E01000039,Barking and Dagenham ,820,75.0,81.0,73.0,109.0,53.0,9.0,3.0,7.0,216.0,194.0
E01000063,Barking and Dagenham ,797,61.0,133.0,95.0,125.0,30.0,6.0,2.0,8.0,151.0,186.0
E01000100,Barking and Dagenham ,811,77.0,122.0,85.0,112.0,43.0,9.0,4.0,10.0,156.0,193.0
E01000101,Barking and Dagenham ,733,63.0,119.0,75.0,127.0,36.0,10.0,0.0,9.0,115.0,179.0
E01000114,Barking and Dagenham ,1036,76.0,132.0,114.0,183.0,56.0,10.0,6.0,11.0,234.0,214.0
E01034469,Barking and Dagenham ,799,35.0,76.0,85.0,136.0,52.0,9.0,3.0,8.0,265.0,130.0
E01034470,Barking and Dagenham ,679,46.0,97.0,78.0,107.0,31.0,8.0,4.0,11.0,151.0,146.0
E01000033,Barking and Dagenham ,592,49.0,101.0,77.0,106.0,31.0,8.0,6.0,3.0,86.0,125.0
E01000060,Barking and Dagenham ,871,67.0,135.0,64.0,147.0,61.0,11.0,2.0,14.0,174.0,196.0
E01000061,Barking and Dagenham ,756,70.0,139.0,87.0,108.0,51.0,3.0,3.0,14.0,151.0,130.0
E01000062,Barking and Dagenham ,1025,68.0,152.0,90.0,171.0,66.0,15.0,4.0,7.0,194.0,258.0
E01000064,Barking and Dagenham ,1025,54.0,149.0,91.0,194.0,80.0,13.0,8.0,6.0,194.0,236.0
E01000065,Barking and Dagenham ,813,60.0,116.0,89.0,123.0,42.0,12.0,5.0,7.0,159.0,200.0
E01000078,Barking and Dagenham ,777,69.0,120.0,78.0,142.0,39.0,7.0,8.0,10.0,130.0,174.0
E01000080,Barking and Dagenham ,826,58.0,124.0,76.0,153.0,38.0,6.0,6.0,7.0,158.0,200.0
E01000081,Barking and Dagenham ,891,74.0,129.0,99.0,176.0,46.0,5.0,7.0,10.0,149.0,196.0
E01000082,Barking and Dagenham ,861,55.0,147.0,89.0,145.0,44.0,9.0,6.0,9.0,140.0,217.0
E01000083,Barking and Dagenham ,776,81.0,126.0,79.0,120.0,34.0,13.0,3.0,6.0,139.0,175.0
E01000102,Barking and Dagenham ,753,57.0,137.0,76.0,114.0,30.0,9.0,5.0,13.0,127.0,185.0
E01000021,Barking and Dagenham ,686,54.0,110.0,83.0,99.0,24.0,8.0,3.0,9.0,117.0,179.0
E01000022,Barking and Dagenham ,638,52.0,107.0,63.0,86.0,29.0,7.0,3.0,6.0,138.0,147.0
E01000024,Barking and Dagenham ,627,31.0,116.0,83.0,109.0,22.0,6.0,4.0,6.0,105.0,145.0
E01000025,Barking and Dagenham ,841,42.0,124.0,106.0,157.0,44.0,5.0,3.0,9.0,176.0,175.0
E01000077,Barking and Dagenham ,712,29.0,105.0,98.0,137.0,27.0,5.0,6.0,8.0,130.0,167.0
E01034471,Barking and Dagenham ,1118,39.0,157.0,138.0,234.0,41.0,14.0,11.0,14.0,225.0,245.0
E01034472,Barking and Dagenham ,811,24.0,99.0,92.0,184.0,39.0,10.0,8.0,7.0,199.0,149.0
E01000015,Barking and Dagenham ,1063,77.0,138.0,106.0,174.0,72.0,15.0,5.0,11.0,202.0,263.0
E01000016,Barking and Dagenham ,864,69.0,137.0,85.0,158.0,53.0,8.0,9.0,6.0,149.0,190.0
E01000017,Barking and Dagenham ,750,54.0,119.0,63.0,137.0,45.0,8.0,4.0,12.0,138.0,170.0
E01000018,Barking and Dagenham ,833,63.0,115.0,61.0,166.0,66.0,5.0,3.0,7.0,143.0,204.0
E01000079,Barking and Dagenham ,723,63.0,96.0,64.0,136.0,27.0,9.0,2.0,4.0,144.0,178.0
E01000035,Barking and Dagenham ,817,50.0,105.0,85.0,149.0,46.0,8.0,3.0,9.0,155.0,207.0
E01000036,Barking and Dagenham ,690,30.0,64.0,61.0,139.0,61.0,11.0,5.0,4.0,145.0,170.0
E01000107,Barking and Dagenham ,734,33.0,85.0,82.0,102.0,69.0,13.0,4.0,3.0,156.0,187.0
E01000108,Barking and Dagenham ,854,38.0,91.0,107.0,150.0,69.0,12.0,5.0,7.0,166.0,209.0
E01000066,Barking and Dagenham ,977,67.0,124.0,123.0,145.0,33.0,13.0,5.0,11.0,233.0,223.0
E01000067,Barking and Dagenham ,931,56.0,141.0,122.0,173.0,20.0,8.0,4.0,11.0,225.0,171.0
E01000069,Barking and Dagenham ,1016,61.0,137.0,116.0,172.0,21.0,5.0,6.0,8.0,307.0,183.0
E01000070,Barking and Dagenham ,890,62.0,94.0,103.0,132.0,17.0,11.0,5.0,7.0,280.0,179.0
E01000071,Barking and Dagenham ,1212,85.0,115.0,138.0,205.0,40.0,10.0,14.0,6.0,339.0,260.0
E01000057,Barking and Dagenham ,660,51.0,75.0,87.0,107.0,43.0,15.0,10.0,12.0,112.0,148.0
E01000073,Barking and Dagenham ,788,40.0,102.0,106.0,153.0,21.0,9.0,7.0,10.0,145.0,195.0
E01000074,Barking and Dagenham ,751,36.0,127.0,98.0,124.0,32.0,9.0,3.0,5.0,151.0,166.0
E01000075,Barking and Dagenham ,950,60.0,117.0,139.0,178.0,45.0,0.0,5.0,8.0,169.0,229.0
E01000076,Barking and Dagenham ,855,42.0,132.0,110.0,159.0,33.0,13.0,7.0,10.0,124.0,225.0
E01000013,Barking and Dagenham ,802,77.0,97.0,79.0,141.0,58.0,11.0,6.0,8.0,126.0,199.0
E01000014,Barking and Dagenham ,796,69.0,107.0,85.0,136.0,38.0,7.0,4.0,10.0,146.0,194.0
E01000059,Barking and Dagenham ,784,60.0,88.0,103.0,152.0,45.0,9.0,4.0,9.0,121.0,193.0
E01000084,Barking and Dagenham ,634,55.0,82.0,67.0,108.0,52.0,7.0,4.0,12.0,87.0,160.0
E01000085,Barking and Dagenham ,733,85.0,101.0,73.0,156.0,42.0,7.0,5.0,10.0,89.0,165.0
E01000086,Barking and Dagenham ,638,54.0,84.0,59.0,123.0,50.0,4.0,4.0,5.0,95.0,160.0
E01000103,Barking and Dagenham ,805,42.0,82.0,97.0,143.0,57.0,15.0,3.0,8.0,161.0,197.0
E01000104,Barking and Dagenham ,822,42.0,102.0,93.0,127.0,63.0,12.0,8.0,10.0,174.0,191.0
E01000105,Barking and Dagenham ,1025,72.0,136.0,109.0,193.0,69.0,11.0,4.0,8.0,190.0,233.0
E01000106,Barking and Dagenham ,866,64.0,111.0,94.0,169.0,52.0,10.0,8.0,9.0,133.0,216.0
E01000007,Barking and Dagenham ,1386,79.0,116.0,204.0,330.0,58.0,13.0,23.0,9.0,370.0,184.0
E01000008,Barking and Dagenham ,646,45.0,63.0,116.0,141.0,22.0,4.0,0.0,9.0,80.0,166.0
E01000012,Barking and Dagenham ,899,68.0,80.0,139.0,149.0,28.0,4.0,3.0,12.0,188.0,228.0
E01034473,Barking and Dagenham ,545,40.0,46.0,65.0,121.0,13.0,4.0,4.0,6.0,140.0,106.0
E01034474,Barking and Dagenham ,1073,59.0,74.0,140.0,189.0,50.0,1.0,5.0,8.0,386.0,161.0
E01000006,Barking and Dagenham ,886,61.0,91.0,107.0,161.0,42.0,8.0,5.0,13.0,192.0,206.0
E01000009,Barking and Dagenham ,788,56.0,72.0,87.0,153.0,39.0,13.0,8.0,13.0,163.0,184.0
E01000011,Barking and Dagenham ,736,46.0,74.0,105.0,127.0,23.0,10.0,3.0,9.0,136.0,203.0
E01000044,Barking and Dagenham ,897,66.0,103.0,104.0,169.0,22.0,7.0,11.0,11.0,145.0,259.0
E01000068,Barking and Dagenham ,846,54.0,84.0,99.0,153.0,29.0,9.0,6.0,12.0,217.0,183.0
E01000041,Barking and Dagenham ,826,50.0,117.0,113.0,150.0,30.0,13.0,8.0,10.0,130.0,205.0
E01000042,Barking and Dagenham ,708,42.0,89.0,112.0,146.0,13.0,8.0,4.0,7.0,127.0,160.0
E01000045,Barking and Dagenham ,727,32.0,89.0,103.0,120.0,30.0,9.0,3.0,10.0,136.0,195.0
E01000046,Barking and Dagenham ,858,51.0,121.0,118.0,165.0,47.0,4.0,6.0,16.0,135.0,195.0
E01000072,Barking and Dagenham ,871,35.0,149.0,102.0,151.0,28.0,4.0,10.0,11.0,168.0,213.0
E01000054,Barking and Dagenham ,817,66.0,110.0,91.0,153.0,31.0,14.0,5.0,6.0,143.0,198.0
E01000055,Barking and Dagenham ,748,58.0,89.0,107.0,141.0,49.0,10.0,7.0,10.0,112.0,165.0
E01000056,Barking and Dagenham ,708,56.0,94.0,99.0,120.0,34.0,8.0,5.0,7.0,116.0,169.0
E01000058,Barking and Dagenham ,921,65.0,107.0,103.0,191.0,45.0,11.0,1.0,25.0,136.0,237.0
E01000095,Barking and Dagenham ,952,66.0,72.0,115.0,188.0,36.0,14.0,4.0,6.0,250.0,201.0
E01000040,Barking and Dagenham ,740,65.0,93.0,79.0,143.0,32.0,5.0,4.0,1.0,151.0,167.0
E01000043,Barking and Dagenham ,703,62.0,85.0,72.0,137.0,16.0,11.0,2.0,6.0,141.0,171.0
E01000050,Barking and Dagenham ,818,66.0,72.0,115.0,158.0,25.0,12.0,7.0,12.0,190.0,161.0
E01000052,Barking and Dagenham ,971,78.0,92.0,113.0,206.0,27.0,8.0,8.0,13.0,198.0,228.0
E01034475,Barking and Dagenham ,761,58.0,89.0,111.0,137.0,17.0,14.0,13.0,9.0,135.0,178.0
E01034476,Barking and Dagenham ,781,35.0,83.0,111.0,144.0,19.0,5.0,8.0,7.0,209.0,160.0
E01034477,Barking and Dagenham ,778,17.0,61.0,89.0,175.0,41.0,6.0,5.0,2.0,215.0,167.0
E01034478,Barking and Dagenham ,707,14.0,47.0,70.0,188.0,17.0,6.0,5.0,2.0,256.0,102.0
E01000053,Barking and Dagenham ,691,48.0,66.0,95.0,124.0,38.0,8.0,4.0,11.0,111.0,186.0
E01000087,Barking and Dagenham ,702,51.0,65.0,93.0,108.0,52.0,8.0,8.0,15.0,134.0,168.0
E01000088,Barking and Dagenham ,811,52.0,90.0,102.0,149.0,79.0,12.0,3.0,7.0,142.0,175.0
E01000089,Barking and Dagenham ,775,74.0,65.0,121.0,139.0,47.0,9.0,5.0,5.0,134.0,176.0
E01000090,Barking and Dagenham ,732,58.0,59.0,117.0,128.0,48.0,12.0,5.0,12.0,126.0,167.0
E01000049,Barking and Dagenham ,677,73.0,96.0,106.0,144.0,24.0,4.0,6.0,6.0,69.0,149.0
E01000051,Barking and Dagenham ,570,38.0,41.0,63.0,132.0,25.0,6.0,3.0,0.0,164.0,98.0
E01033587,Barking and Dagenham ,1246,79.0,85.0,183.0,239.0,31.0,18.0,3.0,17.0,380.0,211.0
E01034479,Barking and Dagenham ,856,89.0,81.0,158.0,167.0,21.0,9.0,5.0,11.0,160.0,155.0
E01000091,Barking and Dagenham ,802,51.0,129.0,118.0,172.0,28.0,5.0,4.0,19.0,129.0,147.0
E01000093,Barking and Dagenham ,693,67.0,75.0,87.0,133.0,19.0,7.0,5.0,12.0,120.0,168.0
E01000094,Barking and Dagenham ,1122,52.0,109.0,170.0,262.0,47.0,18.0,10.0,13.0,245.0,196.0
E01000096,Barking and Dagenham ,605,41.0,85.0,94.0,112.0,25.0,6.0,6.0,11.0,105.0,120.0
E01000019,Barking and Dagenham ,683,51.0,119.0,86.0,74.0,35.0,6.0,4.0,10.0,128.0,170.0
E01000020,Barking and Dagenham ,891,48.0,167.0,78.0,143.0,43.0,8.0,3.0,9.0,182.0,210.0
E01000097,Barking and Dagenham ,794,59.0,131.0,72.0,119.0,35.0,5.0,3.0,7.0,159.0,204.0
E01000098,Barking and Dagenham ,791,75.0,126.0,87.0,119.0,32.0,11.0,2.0,15.0,134.0,190.0
E01000099,Barking and Dagenham ,1300,83.0,195.0,159.0,205.0,72.0,10.0,7.0,21.0,287.0,261.0
E01032580,Barking and Dagenham ,637,54.0,105.0,84.0,75.0,23.0,9.0,4.0,6.0,140.0,137.0
E01000248,Barnet ,850,52.0,31.0,60.0,129.0,10.0,4.0,11.0,6.0,461.0,86.0
E01000249,Barnet ,787,35.0,37.0,69.0,109.0,18.0,4.0,1.0,7.0,433.0,74.0
E01000250,Barnet ,1314,125.0,73.0,148.0,185.0,19.0,7.0,2.0,4.0,588.0,163.0
E01000254,Barnet ,774,51.0,38.0,56.0,113.0,12.0,5.0,3.0,4.0,435.0,57.0
E01000292,Barnet ,686,42.0,33.0,47.0,83.0,13.0,3.0,5.0,6.0,368.0,86.0
E01000293,Barnet ,908,87.0,42.0,84.0,129.0,21.0,2.0,6.0,3.0,442.0,92.0
E01000167,Barnet ,667,52.0,74.0,96.0,69.0,11.0,4.0,3.0,2.0,218.0,138.0
E01000246,Barnet ,729,35.0,30.0,73.0,117.0,9.0,5.0,1.0,2.0,383.0,74.0
E01000247,Barnet ,904,51.0,60.0,107.0,105.0,19.0,2.0,3.0,6.0,445.0,106.0
E01000251,Barnet ,1009,40.0,79.0,116.0,176.0,11.0,3.0,4.0,8.0,444.0,128.0
E01000252,Barnet ,885,57.0,69.0,67.0,140.0,14.0,3.0,2.0,8.0,422.0,103.0
E01000166,Barnet ,712,30.0,74.0,86.0,99.0,12.0,6.0,1.0,4.0,285.0,115.0
E01000168,Barnet ,701,32.0,72.0,72.0,90.0,14.0,9.0,5.0,8.0,328.0,71.0
E01000169,Barnet ,830,34.0,69.0,77.0,135.0,14.0,4.0,5.0,7.0,362.0,123.0
E01000172,Barnet ,735,37.0,71.0,72.0,79.0,9.0,2.0,6.0,4.0,368.0,87.0
E01000285,Barnet ,696,50.0,55.0,73.0,106.0,9.0,6.0,0.0,5.0,295.0,97.0
E01000287,Barnet ,735,75.0,94.0,80.0,101.0,12.0,1.0,5.0,8.0,225.0,134.0
E01000288,Barnet ,765,67.0,39.0,78.0,103.0,10.0,5.0,5.0,7.0,348.0,103.0
E01000289,Barnet ,658,58.0,79.0,86.0,91.0,16.0,4.0,2.0,5.0,185.0,132.0
E01000291,Barnet ,735,57.0,67.0,93.0,85.0,11.0,10.0,2.0,9.0,274.0,127.0
E01000294,Barnet ,840,90.0,41.0,66.0,129.0,20.0,1.0,2.0,4.0,373.0,114.0
E01000267,Barnet ,837,37.0,67.0,96.0,117.0,17.0,7.0,4.0,4.0,369.0,119.0
E01000268,Barnet ,1003,64.0,72.0,107.0,177.0,12.0,1.0,6.0,8.0,413.0,143.0
E01000269,Barnet ,677,34.0,60.0,67.0,74.0,12.0,5.0,1.0,4.0,327.0,93.0
E01000270,Barnet ,756,34.0,63.0,78.0,99.0,15.0,5.0,1.0,1.0,362.0,98.0
E01000170,Barnet ,906,60.0,90.0,127.0,114.0,14.0,5.0,1.0,3.0,339.0,153.0
E01000171,Barnet ,1065,66.0,102.0,106.0,169.0,11.0,2.0,4.0,2.0,374.0,229.0
E01000173,Barnet ,818,54.0,82.0,93.0,85.0,16.0,4.0,3.0,2.0,372.0,107.0
E01000174,Barnet ,809,58.0,59.0,88.0,123.0,7.0,3.0,1.0,1.0,303.0,166.0
E01000175,Barnet ,1022,62.0,73.0,85.0,152.0,17.0,4.0,4.0,3.0,430.0,192.0
E01000228,Barnet ,703,25.0,47.0,63.0,92.0,14.0,6.0,4.0,4.0,327.0,121.0
E01000253,Barnet ,946,31.0,47.0,78.0,147.0,17.0,5.0,6.0,9.0,528.0,78.0
E01000279,Barnet ,604,11.0,48.0,54.0,70.0,7.0,2.0,2.0,4.0,362.0,44.0
E01000280,Barnet ,625,23.0,47.0,54.0,67.0,9.0,3.0,0.0,4.0,372.0,46.0
E01000286,Barnet ,775,75.0,73.0,84.0,119.0,10.0,3.0,1.0,2.0,276.0,132.0
E01000290,Barnet ,725,35.0,67.0,71.0,129.0,9.0,6.0,10.0,7.0,285.0,106.0
E01000271,Barnet ,770,38.0,59.0,79.0,98.0,7.0,4.0,3.0,4.0,391.0,87.0
E01000272,Barnet ,638,24.0,45.0,53.0,79.0,3.0,3.0,3.0,2.0,372.0,54.0
E01000273,Barnet ,808,46.0,61.0,87.0,100.0,13.0,2.0,6.0,6.0,406.0,81.0
E01000281,Barnet ,989,39.0,45.0,85.0,128.0,5.0,4.0,2.0,1.0,579.0,101.0
E01000282,Barnet ,886,43.0,62.0,86.0,113.0,9.0,1.0,1.0,3.0,474.0,94.0
E01000115,Barnet ,672,45.0,63.0,84.0,87.0,6.0,6.0,2.0,4.0,303.0,72.0
E01000116,Barnet ,831,70.0,91.0,98.0,92.0,8.0,2.0,2.0,4.0,345.0,119.0
E01000119,Barnet ,844,40.0,73.0,94.0,115.0,8.0,3.0,2.0,5.0,393.0,111.0
E01000120,Barnet ,709,35.0,81.0,72.0,95.0,15.0,0.0,0.0,4.0,325.0,82.0
E01000122,Barnet ,736,34.0,75.0,92.0,83.0,9.0,6.0,3.0,5.0,309.0,120.0
E01000117,Barnet ,816,55.0,81.0,79.0,104.0,6.0,3.0,4.0,3.0,348.0,133.0
E01000118,Barnet ,1002,79.0,101.0,117.0,119.0,17.0,4.0,2.0,5.0,389.0,169.0
E01000121,Barnet ,626,48.0,70.0,81.0,83.0,6.0,1.0,2.0,1.0,226.0,108.0
E01000123,Barnet ,974,53.0,85.0,95.0,132.0,10.0,3.0,1.0,8.0,413.0,174.0
E01000124,Barnet ,872,45.0,78.0,116.0,120.0,11.0,4.0,1.0,7.0,310.0,180.0
E01000265,Barnet ,920,68.0,88.0,107.0,120.0,10.0,2.0,3.0,7.0,312.0,203.0
E01000266,Barnet ,687,41.0,58.0,48.0,77.0,5.0,4.0,1.0,5.0,387.0,61.0
E01000274,Barnet ,941,67.0,98.0,102.0,115.0,14.0,6.0,7.0,3.0,371.0,158.0
E01000320,Barnet ,992,54.0,94.0,113.0,136.0,7.0,6.0,2.0,10.0,453.0,117.0
E01000322,Barnet ,898,76.0,57.0,111.0,109.0,19.0,3.0,1.0,3.0,359.0,160.0
E01000275,Barnet ,837,36.0,62.0,89.0,107.0,7.0,4.0,1.0,4.0,429.0,98.0
E01000277,Barnet ,811,28.0,66.0,91.0,138.0,8.0,1.0,5.0,4.0,384.0,86.0
E01000283,Barnet ,650,30.0,46.0,65.0,65.0,5.0,4.0,2.0,0.0,392.0,41.0
E01000284,Barnet ,939,58.0,76.0,110.0,137.0,10.0,3.0,3.0,5.0,386.0,151.0
E01000321,Barnet ,1078,61.0,81.0,110.0,137.0,19.0,5.0,3.0,8.0,500.0,154.0
E01000195,Barnet ,885,53.0,86.0,119.0,137.0,32.0,3.0,3.0,7.0,207.0,238.0
E01000229,Barnet ,786,48.0,81.0,112.0,121.0,8.0,6.0,1.0,9.0,244.0,156.0
E01000230,Barnet ,829,81.0,55.0,105.0,112.0,8.0,3.0,3.0,3.0,343.0,116.0
E01000231,Barnet ,880,31.0,76.0,106.0,158.0,11.0,5.0,2.0,6.0,344.0,141.0
E01000232,Barnet ,873,52.0,50.0,106.0,120.0,21.0,5.0,5.0,9.0,389.0,116.0
E01000233,Barnet ,1005,57.0,59.0,112.0,127.0,18.0,5.0,5.0,8.0,449.0,165.0
E01000186,Barnet ,842,56.0,60.0,115.0,113.0,15.0,5.0,5.0,1.0,371.0,101.0
E01000187,Barnet ,705,57.0,43.0,87.0,95.0,7.0,4.0,5.0,3.0,310.0,94.0
E01000188,Barnet ,730,36.0,47.0,71.0,96.0,13.0,7.0,5.0,10.0,363.0,82.0
E01000189,Barnet ,1242,58.0,75.0,142.0,215.0,29.0,8.0,11.0,19.0,528.0,157.0
E01000190,Barnet ,793,45.0,48.0,88.0,89.0,10.0,10.0,6.0,4.0,381.0,112.0
E01000191,Barnet ,670,47.0,51.0,74.0,81.0,8.0,2.0,3.0,3.0,314.0,87.0
E01000158,Barnet ,743,49.0,57.0,97.0,92.0,4.0,0.0,2.0,4.0,303.0,135.0
E01000159,Barnet ,886,51.0,84.0,107.0,87.0,11.0,4.0,2.0,3.0,394.0,143.0
E01000160,Barnet ,1061,29.0,55.0,129.0,137.0,14.0,8.0,1.0,6.0,527.0,155.0
E01000161,Barnet ,932,44.0,70.0,118.0,126.0,10.0,7.0,3.0,4.0,394.0,156.0
E01000162,Barnet ,699,53.0,58.0,120.0,69.0,10.0,2.0,0.0,4.0,275.0,108.0
E01000324,Barnet ,918,66.0,79.0,131.0,109.0,9.0,3.0,4.0,4.0,372.0,141.0
E01000256,Barnet ,875,41.0,91.0,87.0,97.0,7.0,2.0,0.0,16.0,387.0,147.0
E01000258,Barnet ,917,72.0,54.0,97.0,124.0,5.0,0.0,5.0,5.0,461.0,94.0
E01000263,Barnet ,759,31.0,55.0,49.0,85.0,15.0,3.0,4.0,4.0,471.0,42.0
E01000264,Barnet ,975,47.0,83.0,127.0,144.0,15.0,2.0,1.0,9.0,391.0,156.0
E01000255,Barnet ,764,49.0,86.0,60.0,89.0,13.0,6.0,2.0,4.0,340.0,115.0
E01000257,Barnet ,1047,57.0,95.0,85.0,169.0,13.0,9.0,1.0,10.0,457.0,151.0
E01000261,Barnet ,750,37.0,70.0,64.0,79.0,5.0,3.0,3.0,4.0,413.0,72.0
E01033911,Barnet ,908,18.0,79.0,72.0,112.0,10.0,9.0,3.0,8.0,486.0,111.0
E01033912,Barnet ,860,28.0,65.0,55.0,123.0,8.0,3.0,1.0,4.0,478.0,95.0
E01000192,Barnet ,950,78.0,67.0,107.0,138.0,26.0,7.0,6.0,15.0,370.0,136.0
E01000193,Barnet ,959,72.0,62.0,100.0,151.0,24.0,5.0,7.0,9.0,343.0,186.0
E01000194,Barnet ,853,68.0,67.0,130.0,112.0,16.0,5.0,4.0,3.0,263.0,185.0
E01000226,Barnet ,791,89.0,70.0,140.0,124.0,18.0,2.0,5.0,5.0,165.0,173.0
E01000227,Barnet ,929,53.0,64.0,85.0,159.0,17.0,3.0,2.0,6.0,387.0,153.0
E01000299,Barnet ,1025,73.0,61.0,116.0,141.0,8.0,8.0,0.0,6.0,428.0,184.0
E01000300,Barnet ,872,51.0,64.0,71.0,115.0,8.0,2.0,0.0,4.0,470.0,87.0
E01000302,Barnet ,848,62.0,47.0,78.0,112.0,8.0,3.0,2.0,9.0,405.0,122.0
E01000317,Barnet ,749,52.0,53.0,72.0,90.0,9.0,0.0,2.0,3.0,382.0,86.0
E01000318,Barnet ,860,73.0,55.0,95.0,101.0,16.0,3.0,1.0,4.0,370.0,142.0
E01000323,Barnet ,1222,110.0,94.0,115.0,186.0,7.0,5.0,4.0,11.0,455.0,235.0
E01000276,Barnet ,717,25.0,56.0,56.0,70.0,6.0,3.0,1.0,2.0,447.0,51.0
E01000278,Barnet ,655,25.0,38.0,59.0,70.0,7.0,1.0,0.0,2.0,401.0,52.0
E01000301,Barnet ,684,35.0,37.0,54.0,76.0,11.0,5.0,3.0,4.0,406.0,53.0
E01000303,Barnet ,714,48.0,31.0,65.0,92.0,10.0,2.0,2.0,4.0,402.0,58.0
E01000304,Barnet ,864,57.0,67.0,94.0,106.0,9.0,2.0,0.0,3.0,421.0,105.0
E01000130,Barnet ,921,88.0,90.0,151.0,151.0,15.0,2.0,3.0,6.0,205.0,210.0
E01000132,Barnet ,736,65.0,84.0,108.0,127.0,9.0,2.0,11.0,9.0,151.0,170.0
E01000133,Barnet ,734,77.0,81.0,120.0,94.0,15.0,4.0,3.0,8.0,168.0,164.0
E01000234,Barnet ,919,50.0,59.0,88.0,122.0,16.0,5.0,2.0,3.0,464.0,110.0
E01000235,Barnet ,884,86.0,79.0,121.0,126.0,14.0,3.0,5.0,19.0,250.0,181.0
E01000156,Barnet ,1002,48.0,79.0,124.0,81.0,11.0,1.0,4.0,1.0,484.0,169.0
E01000157,Barnet ,805,51.0,67.0,129.0,61.0,6.0,2.0,5.0,1.0,372.0,111.0
E01000163,Barnet ,768,51.0,104.0,139.0,73.0,5.0,0.0,2.0,4.0,215.0,175.0
E01000164,Barnet ,768,76.0,74.0,128.0,80.0,11.0,3.0,5.0,5.0,249.0,137.0
E01000165,Barnet ,843,46.0,78.0,118.0,111.0,17.0,5.0,2.0,5.0,318.0,143.0
E01000315,Barnet ,772,97.0,78.0,132.0,89.0,10.0,5.0,1.0,5.0,214.0,141.0
E01000197,Barnet ,1007,60.0,65.0,124.0,91.0,8.0,7.0,2.0,6.0,478.0,166.0
E01000295,Barnet ,878,49.0,51.0,108.0,79.0,10.0,6.0,1.0,2.0,488.0,84.0
E01000296,Barnet ,1006,46.0,69.0,111.0,109.0,17.0,3.0,2.0,3.0,490.0,156.0
E01000298,Barnet ,928,70.0,49.0,125.0,109.0,9.0,2.0,0.0,4.0,436.0,124.0
E01000127,Barnet ,692,83.0,69.0,98.0,101.0,13.0,4.0,4.0,3.0,153.0,164.0
E01000128,Barnet ,915,100.0,80.0,120.0,124.0,15.0,5.0,1.0,6.0,226.0,238.0
E01000129,Barnet ,719,77.0,71.0,119.0,122.0,15.0,7.0,4.0,9.0,130.0,165.0
E01000131,Barnet ,960,53.0,91.0,131.0,166.0,10.0,6.0,2.0,4.0,277.0,220.0
E01000134,Barnet ,804,90.0,71.0,111.0,147.0,9.0,2.0,5.0,6.0,186.0,177.0
E01033913,Barnet ,582,47.0,54.0,93.0,83.0,10.0,2.0,1.0,3.0,138.0,151.0
E01033914,Barnet ,774,89.0,71.0,138.0,142.0,10.0,6.0,7.0,7.0,124.0,180.0
E01000198,Barnet ,976,59.0,107.0,117.0,89.0,5.0,6.0,4.0,5.0,460.0,124.0
E01000199,Barnet ,699,23.0,54.0,78.0,51.0,4.0,1.0,1.0,2.0,421.0,64.0
E01000204,Barnet ,856,46.0,48.0,92.0,90.0,7.0,3.0,4.0,3.0,488.0,75.0
