Local authority code,Local authority name,LSOA11CD,LSOA name,Number of sales 2011,Number of sales 2021
E09000002,Barking and Dagenham,E01000089,Barking and Dagenham 020D,49,72
E09000002,Barking and Dagenham,E01000090,Barking and Dagenham 020E,45,45
E09000002,Barking and Dagenham,E01000091,Barking and Dagenham 022A,35,28
E09000002,Barking and Dagenham,E01000092,Barking and Dagenham 019E,48,197
E09000002,Barking and Dagenham,E01000093,Barking and Dagenham 022B,30,32
E09000002,Barking and Dagenham,E01000094,Barking and Dagenham 022C,32,115
E09000002,Barking and Dagenham,E01000095,Barking and Dagenham 018E,39,100
E09000002,Barking and Dagenham,E01000096,Barking and Dagenham 022D,18,25
E09000002,Barking and Dagenham,E01000097,Barking and Dagenham 023C,52,47
E09000002,Barking and Dagenham,E01000098,Barking and Dagenham 023D,49,40
E09000002,Barking and Dagenham,E01000099,Barking and Dagenham 023E,184,70
E09000002,Barking and Dagenham,E01000100,Barking and Dagenham 004B,35,44
E09000002,Barking and Dagenham,E01000101,Barking and Dagenham 004C,70,79
E09000002,Barking and Dagenham,E01000102,Barking and Dagenham 007G,59,97
E09000002,Barking and Dagenham,E01000103,Barking and Dagenham 014A,20,46
E09000002,Barking and Dagenham,E01000104,Barking and Dagenham 014B,26,44
E09000002,Barking and Dagenham,E01000105,Barking and Dagenham 014C,29,78
E09000002,Barking and Dagenham,E01000106,Barking and Dagenham 014D,26,76
E09000002,Barking and Dagenham,E01000107,Barking and Dagenham 010C,65,81
E09000002,Barking and Dagenham,E01000108,Barking and Dagenham 010D,62,85
E09000002,Barking and Dagenham,E01000109,Barking and Dagenham 004D,60,66
E09000002,Barking and Dagenham,E01000110,Barking and Dagenham 002C,59,74
E09000002,Barking and Dagenham,E01000111,Barking and Dagenham 002D,77,44
E09000002,Barking and Dagenham,E01000112,Barking and Dagenham 002E,65,78
E09000002,Barking and Dagenham,E01000113,Barking and Dagenham 002F,77,32
E09000002,Barking and Dagenham,E01000114,Barking and Dagenham 004E,84,69
E09000002,Barking and Dagenham,E01032580,Barking and Dagenham 023F,20,20
E09000002,Barking and Dagenham,E01033587,Barking and Dagenham 021E,27,198
E09000002,Barking and Dagenham,E01033588,Barking and Dagenham 021F,25,16
E09000003,Barnet,E01000115,Barnet 009A,47,100
E09000003,Barnet,E01000116,Barnet 009B,88,78
E09000003,Barnet,E01000117,Barnet 010A,98,131
E09000003,Barnet,E01000118,Barnet 010B,101,121
E09000003,Barnet,E01000119,Barnet 009C,57,54
E09000003,Barnet,E01000120,Barnet 009D,38,51
E09000003,Barnet,E01000121,Barnet 010C,16,43
E09000003,Barnet,E01000122,Barnet 009E,64,66
E09000003,Barnet,E01000123,Barnet 010D,93,121
E09000003,Barnet,E01000124,Barnet 010E,41,58
E09000003,Barnet,E01000125,Barnet 024A,178,41
E09000003,Barnet,E01000126,Barnet 026A,21,29
E09000003,Barnet,E01000127,Barnet 024B,34,43
E09000003,Barnet,E01000128,Barnet 024C,47,33
E09000003,Barnet,E01000129,Barnet 024D,10,12
E09000003,Barnet,E01000130,Barnet 021A,52,31
E09000003,Barnet,E01000131,Barnet 024E,59,50
E09000003,Barnet,E01000132,Barnet 021B,29,42
E09000003,Barnet,E01000133,Barnet 021C,29,32
E09000003,Barnet,E01000134,Barnet 024F,45,40
E09000003,Barnet,E01000135,Barnet 038A,168,85
E09000003,Barnet,E01000136,Barnet 038B,77,100
E09000003,Barnet,E01000137,Barnet 041A,75,39
E09000003,Barnet,E01000138,Barnet 040A,44,54
E09000003,Barnet,E01000139,Barnet 041B,76,60
E09000003,Barnet,E01000140,Barnet 041C,100,153
E09000003,Barnet,E01000141,Barnet 039A,50,50
E09000003,Barnet,E01000142,Barnet 040B,138,84
E09000003,Barnet,E01000143,Barnet 041D,32,17
E09000003,Barnet,E01000144,Barnet 038C,69,45
E09000003,Barnet,E01000145,Barnet 037A,38,40
E09000003,Barnet,E01000146,Barnet 038D,59,66
E09000003,Barnet,E01000147,Barnet 030A,20,50
E09000003,Barnet,E01000148,Barnet 030B,74,35
E09000003,Barnet,E01000150,Barnet 036A,86,59
E09000003,Barnet,E01000151,Barnet 026B,11,9
E09000003,Barnet,E01000152,Barnet 026C,10,64
E09000003,Barnet,E01000153,Barnet 026D,24,15
E09000003,Barnet,E01000154,Barnet 026E,20,38
E09000003,Barnet,E01000155,Barnet 030D,148,89
E09000003,Barnet,E01000156,Barnet 022A,102,98
E09000003,Barnet,E01000157,Barnet 022B,95,81
E09000003,Barnet,E01000158,Barnet 015A,90,62
E09000003,Barnet,E01000159,Barnet 015B,113,56
E09000003,Barnet,E01000160,Barnet 015C,157,100
E09000003,Barnet,E01000161,Barnet 015D,106,102
