LSOA21CD,Number of sales 2011_weighted,Number of sales 2021_weighted
E01000322,91.0,99.0
E01000323,96.0,125.0
E01000324,88.0,113.0
E01000325,47.0,97.0
E01000326,137.0,160.0
E01000327,76.0,85.0
E01000328,72.0,81.0
E01000329,47.0,122.0
E01000330,105.0,120.0
E01000331,61.0,95.0
E01000332,92.0,101.0
E01000333,92.0,157.0
E01000334,86.0,104.0
E01000335,29.0,79.0
E01000336,73.0,63.0
E01000337,47.0,95.0
E01000338,72.0,115.0
E01000339,46.0,121.0
E01000340,70.0,89.0
E01000341,47.0,158.0
E01000342,85.0,112.0
E01000343,64.0,111.0
E01000344,99.0,139.0
E01000345,76.0,127.0
E01000346,89.0,179.0
E01000347,93.0,151.0
E01000348,69.0,95.0
E01000349,72.0,146.0
E01000350,58.0,92.0
E01000351,85.0,169.0
E01000352,68.0,135.0
E01000353,70.0,124.0
E01000354,58.0,86.0
E01000355,81.0,100.0
E01000356,70.0,85.0
E01000357,46.0,52.0
E01000358,63.0,82.0
E01000359,54.0,85.0
E01000360,107.0,120.0
E01000361,57.0,138.0
E01000362,69.0,410.0
E01000363,55.0,98.0
E01000364,45.0,139.0
E01000365,105.0,132.0
E01000366,121.0,137.0
E01000367,53.0,44.0
E01000368,38.0,76.0
E01000369,60.0,67.0
E01000370,61.0,109.0
E01000371,102.0,125.0
E01000372,52.0,54.0
E01000373,7.0,50.0
E01000374,43.0,37.0
E01000375,76.0,190.0
E01000376,86.0,76.0
E01000377,86.0,115.0
E01000379,80.0,95.0
E01000380,65.0,110.0
E01000381,69.0,112.0
E01000382,77.0,121.0
E01000383,54.0,103.0
E01000384,99.0,176.0
E01000385,43.0,149.0
E01000386,39.0,57.0
E01000387,89.0,74.0
E01000388,60.0,107.0
E01000389,91.0,168.0
E01000390,47.0,122.0
E01000391,78.0,112.0
E01000392,33.0,65.0
E01000393,71.0,108.0
E01000394,84.0,102.0
E01000395,71.0,53.0
E01000396,71.0,79.0
E01000398,59.0,114.0
E01000399,62.0,112.0
E01000400,76.0,82.0
E01000401,68.0,80.0
E01000402,53.0,102.0
E01000403,78.0,81.0
E01000404,64.0,105.0
E01000405,42.0,92.0
E01000406,54.0,120.0
E01000407,67.0,300.0
E01000408,44.0,90.0
E01000409,80.0,88.0
E01000410,75.0,90.0
E01000411,79.0,123.0
E01000412,61.0,132.0
E01000413,59.0,105.0
E01000414,93.0,72.0
E01000415,60.0,62.0
E01000416,26.0,39.0
E01000417,70.0,69.0
E01000418,85.0,57.0
E01000419,57.0,85.0
E01000420,81.0,120.0
E01000421,57.0,90.0
E01000422,3.0,0.0
E01000423,77.0,103.0
E01000424,120.0,146.0
E01000425,62.0,86.0
E01000426,116.0,160.0
E01000427,140.0,156.0
E01000428,101.0,139.0
E01000429,58.0,35.0
E01000430,62.0,86.0
E01000431,17.0,15.0
E01000433,58.0,46.0
E01000434,17.0,23.0
E01000435,58.0,71.0
E01000436,52.0,95.0
E01000437,56.0,104.0
E01000438,51.0,121.0
E01000439,49.0,70.0
E01000440,63.0,76.0
E01000441,101.0,75.0
E01000442,66.0,127.0
E01000443,65.0,81.0
E01000444,105.0,94.0
E01000445,75.0,134.0
E01000446,77.0,144.0
E01000447,106.0,182.0
E01000448,74.0,105.0
E01000449,93.0,128.0
E01000450,64.0,101.0
E01000451,64.0,98.0
E01000452,70.0,104.0
E01000453,55.0,126.0
E01000454,52.0,96.0
E01000455,74.0,90.0
E01000456,47.0,94.0
E01000457,114.0,143.0
E01000458,88.0,127.0
E01000459,90.0,142.0
E01000460,69.0,98.0
E01000461,78.0,94.0
E01000462,86.0,166.0
E01000463,57.0,101.0
E01000464,20.0,6.0
E01000465,12.0,22.0
E01000466,15.0,11.0
E01000467,29.0,39.0
E01000468,51.0,69.0
E01000469,36.0,56.0
E01000470,106.0,96.0
E01000471,27.0,30.0
E01000472,52.0,226.0
E01000473,74.0,54.0
E01000474,23.0,25.0
E01000475,47.0,48.0
E01000476,29.0,40.0
E01000477,40.0,47.0
E01000478,28.0,67.0
E01000479,57.0,38.0
E01000480,78.0,65.0
E01000481,79.0,31.0
E01000483,62.0,36.0
E01000484,11.0,9.0
E01000485,32.0,23.0
E01000486,53.0,33.0
E01000487,51.0,54.0
E01000488,37.0,28.0
E01000489,51.0,55.0
E01000490,90.0,57.0
E01000491,108.0,80.0
E01000492,58.0,48.0
E01000493,62.0,82.0
E01000494,71.0,45.0
E01000495,67.0,44.0
E01000497,42.0,29.0
E01000498,31.0,20.0
E01000499,34.0,16.0
E01000501,67.0,20.0
E01000502,39.0,37.0
E01000503,72.0,52.0
E01000504,59.0,48.0
E01000505,38.0,23.0
E01000506,28.0,20.0
E01000507,40.0,51.0
E01000508,30.0,31.0
E01000509,12.0,15.0
E01000510,32.0,23.0
E01000511,52.0,34.0
E01000512,64.0,40.0
E01000513,45.0,41.0
E01000514,62.0,52.0
E01000515,40.0,33.0
E01000516,18.0,87.0
E01000517,34.0,38.0
E01000518,22.0,33.0
E01000519,61.0,26.0
E01000520,36.0,87.0
E01000521,58.0,18.0
E01000522,44.0,24.0
E01000523,63.0,70.0
E01000524,61.0,24.0
E01000525,44.0,28.0
E01000526,28.0,15.0
E01000527,39.0,43.0
E01000528,12.0,38.0
E01000530,90.0,96.0
E01000531,73.0,93.0
E01000532,101.0,101.0
E01000533,71.0,37.0
E01000534,62.0,104.0
E01000535,83.0,83.0
E01000536,58.0,45.0
E01000538,57.0,41.0
E01000539,56.0,57.0
E01000540,45.0,26.0
E01000541,22.0,36.0
E01000543,26.0,36.0
E01000544,46.0,46.0
E01000545,87.0,70.0
E01000546,87.0,70.0
E01000547,121.0,147.0
E01000548,100.0,118.0
E01000549,136.0,135.0
E01000550,52.0,79.0
E01000551,37.0,24.0
E01000552,5.0,15.0
E01000553,64.0,49.0
E01000554,74.0,100.0
E01000555,49.0,69.0
E01000556,38.0,50.0
E01000557,50.0,65.0
E01000558,81.0,46.0
E01000559,52.0,41.0
E01000560,65.0,45.0
E01000561,67.0,64.0
E01000562,42.0,34.0
E01000563,36.0,94.0
E01000564,48.0,17.0
E01000565,44.0,35.0
E01000566,50.0,51.0
E01000567,30.0,30.0
E01000568,68.0,15.0
E01000569,33.0,40.0
E01000570,45.0,20.0
E01000571,42.0,35.0
E01000572,38.0,34.0
E01000573,64.0,47.0
E01000574,52.0,33.0
E01000575,39.0,39.0
E01000576,65.0,48.0
E01000577,30.0,26.0
E01000578,87.0,55.0
E01000579,84.0,68.0
E01000580,119.0,95.0
E01000581,72.0,56.0
E01000582,143.0,108.0
E01000583,163.0,103.0
E01000584,81.0,87.0
E01000585,85.0,82.0
E01000586,154.0,126.0
E01000587,30.0,30.0
E01000589,41.0,345.0
E01000590,58.0,77.0
E01000591,48.0,48.0
